1'上半场比赛开始！！                   1'双方第1分钟均显得小心谨慎
1'首先开球的是贝蒂斯                   1'双方第1分钟均显得小心谨慎
1'贝蒂斯将球打到前场                   1'双方第1分钟均显得小心谨慎
1'巴萨送给对方一个角球                   1'双方第1分钟均显得小心谨慎
1'角球打了一个战术                   1'双方第1分钟均显得小心谨慎
2'右路起球送禁区                   1'双方第1分钟均显得小心谨慎
2'第一点被防守球员顶出来                   1'双方第1分钟均显得小心谨慎
2'贝蒂斯中场控球                   1'双方第1分钟均显得小心谨慎
2'连续的传递                   1'双方第1分钟均显得小心谨慎
2'巴萨拦截下来                   1'双方第1分钟均显得小心谨慎
2'给到左路                   1'双方第1分钟均显得小心谨慎
2'苏亚雷斯接球将球回敲                   1'双方第1分钟均显得小心谨慎
2'贝蒂斯前场断球                   1'双方第1分钟均显得小心谨慎
2'横向将球转移出来                   1'双方第1分钟均显得小心谨慎
3'左路带球推进                   1'双方第1分钟均显得小心谨慎
3'边路的传球被挡了一下                   1'双方第1分钟均显得小心谨慎
3'贝蒂斯底线低平球给到禁区                   1'双方第1分钟均显得小心谨慎
3'前点被巴萨破坏出来                   1'双方第1分钟均显得小心谨慎
18'将球摆好                   18'巴萨第18分钟取得领先，卡纳莱斯禁区弧顶对阿图尔犯规，梅西任意球直接射门入左上角
18'任意球直接打门！！                   18'巴萨第18分钟取得领先，卡纳莱斯禁区弧顶对阿图尔犯规，梅西任意球直接射门入左上角
18'0-1！！！                   18'巴萨第18分钟取得领先，卡纳莱斯禁区弧顶对阿图尔犯规，梅西任意球直接射门入左上角
18'梅西！！                   18'巴萨第18分钟取得领先，卡纳莱斯禁区弧顶对阿图尔犯规，梅西任意球直接射门入左上角
18'梅西任意球直接起左脚，球绕过人墙后直窜球门左上死角！！                   18'巴萨第18分钟取得领先，卡纳莱斯禁区弧顶对阿图尔犯规，梅西任意球直接射门入左上角
19'保-洛佩斯已经最大限度伸展身体，但是没能碰到球！！                   18'巴萨第18分钟取得领先，卡纳莱斯禁区弧顶对阿图尔犯规，梅西任意球直接射门入左上角
19'梅西这脚打得非常精彩                   18'巴萨第18分钟取得领先，卡纳莱斯禁区弧顶对阿图尔犯规，梅西任意球直接射门入左上角
19'目前巴萨客场1-0领先贝蒂斯                   18'巴萨第18分钟取得领先，卡纳莱斯禁区弧顶对阿图尔犯规，梅西任意球直接射门入左上角
20'朗格莱中场上抢犯规                   18'巴萨第18分钟取得领先，卡纳莱斯禁区弧顶对阿图尔犯规，梅西任意球直接射门入左上角
