5'卢多戈雷茨这边退防的很快                   5'开场仅5分钟，桑切斯禁区左侧传中，拉姆塞10码处倒钩射门偏出
5'阿森纳左路连续配合到了禁区                   5'开场仅5分钟，桑切斯禁区左侧传中，拉姆塞10码处倒钩射门偏出
5'挑传到中路！！                   5'开场仅5分钟，桑切斯禁区左侧传中，拉姆塞10码处倒钩射门偏出
6'科奎林倒钩打门将球打偏                   5'开场仅5分钟，桑切斯禁区左侧传中，拉姆塞10码处倒钩射门偏出
8'卢多戈雷茨中场拿球给到边路                   5'开场仅5分钟，桑切斯禁区左侧传中，拉姆塞10码处倒钩射门偏出
8'比赛的节奏双方踢的都不快                   5'开场仅5分钟，桑切斯禁区左侧传中，拉姆塞10码处倒钩射门偏出
8'纳塔奈尔左侧助攻上来                   5'开场仅5分钟，桑切斯禁区左侧传中，拉姆塞10码处倒钩射门偏出
50'阿森纳左路突破到底线                   49'卢多戈雷茨4分钟连入2球取得领先，第12分钟，万德森右路任意球传中，卡福混战中小禁区边缘用小腿挡射入网
50'卢多戈雷茨这边有身体接触                   49'卢多戈雷茨4分钟连入2球取得领先，第12分钟，万德森右路任意球传中，卡福混战中小禁区边缘用小腿挡射入网
50'裁判这边没有吹罚                   49'卢多戈雷茨4分钟连入2球取得领先，第12分钟，万德森右路任意球传中，卡福混战中小禁区边缘用小腿挡射入网
50'吉布斯这边有受伤                   49'卢多戈雷茨4分钟连入2球取得领先，第12分钟，万德森右路任意球传中，卡福混战中小禁区边缘用小腿挡射入网
50'先到场边治疗                   49'卢多戈雷茨4分钟连入2球取得领先，第12分钟，万德森右路任意球传中，卡福混战中小禁区边缘用小腿挡射入网
50'问题不大已经站了起来                   49'卢多戈雷茨4分钟连入2球取得领先，第12分钟，万德森右路任意球传中，卡福混战中小禁区边缘用小腿挡射入网
20'边路推进再传还是没有过去                   20'阿森纳第20分钟扳回一城，桑切斯直传，厄齐尔禁区左侧底线上回传，吉鲁前点漏过，无人防守的扎卡13码处扫射右下角入网，1-2
20'2-1！！！                   20'阿森纳第20分钟扳回一城，桑切斯直传，厄齐尔禁区左侧底线上回传，吉鲁前点漏过，无人防守的扎卡13码处扫射右下角入网，1-2
20'阿森纳快速扳回一球                   20'阿森纳第20分钟扳回一城，桑切斯直传，厄齐尔禁区左侧底线上回传，吉鲁前点漏过，无人防守的扎卡13码处扫射右下角入网，1-2
21'扎卡！！                   20'阿森纳第20分钟扳回一城，桑切斯直传，厄齐尔禁区左侧底线上回传，吉鲁前点漏过，无人防守的扎卡13码处扫射右下角入网，1-2
22'阿森纳左路直塞到底线，厄齐尔下底传回来，扎卡中路推射破门！！                   20'阿森纳第20分钟扳回一城，桑切斯直传，厄齐尔禁区左侧底线上回传，吉鲁前点漏过，无人防守的扎卡13码处扫射右下角入网，1-2
22'厄齐尔底线传回来那下有先出底线的嫌疑                   20'阿森纳第20分钟扳回一城，桑切斯直传，厄齐尔禁区左侧底线上回传，吉鲁前点漏过，无人防守的扎卡13码处扫射右下角入网，1-2
22'比赛21分钟已经打进3粒进球                   20'阿森纳第20分钟扳回一城，桑切斯直传，厄齐尔禁区左侧底线上回传，吉鲁前点漏过，无人防守的扎卡13码处扫射右下角入网，1-2
42'2-2！！！                   42'阿森纳第42分钟扳平，拉姆塞右路传中，吉鲁前点小禁区边缘抢在门将出击前头球破门，2-2
42'吉鲁！！！                   42'阿森纳第42分钟扳平，拉姆塞右路传中，吉鲁前点小禁区边缘抢在门将出击前头球破门，2-2
42'阿森纳扳平了比分                   42'阿森纳第42分钟扳平，拉姆塞右路传中，吉鲁前点小禁区边缘抢在门将出击前头球破门，2-2
42'拉姆塞右路起球送禁区，小禁区前沿吉鲁抢在门将之前头球攻门将球顶进！！                   42'阿森纳第42分钟扳平，拉姆塞右路传中，吉鲁前点小禁区边缘抢在门将出击前头球破门，2-2
