2'施特雷勒拉到右路拿球，送一记直传，冈萨雷斯斜插没有拿到球                   2'第2分钟，杰拉德禁区弧内射门被瓦茨利克没收
2'利物浦左路推进，恩里克开大脚出了边线                   2'第2分钟，杰拉德禁区弧内射门被瓦茨利克没收
2'斯特林右路拿球，与约翰逊连续配合到禁区右犄角                   2'第2分钟，杰拉德禁区弧内射门被瓦茨利克没收
3'法比安-弗雷解围不远，杰拉德禁区前沿迎球怒射打飞了                   2'第2分钟，杰拉德禁区弧内射门被瓦茨利克没收
3'利物浦继续来，斯特林的突破被对方萨法里与弗雷一个关门将球留下                   2'第2分钟，杰拉德禁区弧内射门被瓦茨利克没收
3'亨德森中场断球分左路                   2'第2分钟，杰拉德禁区弧内射门被瓦茨利克没收
4'杰拉德拉边传中，兰伯特回敲，跟进的亨德森打飞了                   2'第2分钟，杰拉德禁区弧内射门被瓦茨利克没收
5'乔阿伦中场接应一下交给斯科特尔                   2'第2分钟，杰拉德禁区弧内射门被瓦茨利克没收
5'斯特林左路的突破，萨法里倒地后手球犯规                   2'第2分钟，杰拉德禁区弧内射门被瓦茨利克没收
5'利物浦前场右路的任意球机会                   2'第2分钟，杰拉德禁区弧内射门被瓦茨利克没收
13'巴塞尔有机会，加什前场断球与祖菲打二过一                   13'稳守反击的巴塞尔首次射门出现在第13分钟，祖菲直传，加希禁区边缘外射门偏出
14'加什禁区外大力轰门，球越过了横梁                   13'稳守反击的巴塞尔首次射门出现在第13分钟，祖菲直传，加希禁区边缘外射门偏出
14'斯特林右路横扫门前，被萨法里解围出边线                   13'稳守反击的巴塞尔首次射门出现在第13分钟，祖菲直传，加希禁区边缘外射门偏出
14'斯特林拿球，对方三人包夹将他放倒                   13'稳守反击的巴塞尔首次射门出现在第13分钟，祖菲直传，加希禁区边缘外射门偏出
15'利物浦右路的任意球机会                   13'稳守反击的巴塞尔首次射门出现在第13分钟，祖菲直传，加希禁区边缘外射门偏出
15'杰拉德传前点，过不了萨法里                   13'稳守反击的巴塞尔首次射门出现在第13分钟，祖菲直传，加希禁区边缘外射门偏出
15'巴塞尔反击，萨哈卡准备推进被卢卡斯连人带球铲倒                   13'稳守反击的巴塞尔首次射门出现在第13分钟，祖菲直传，加希禁区边缘外射门偏出
16'主裁判口头警告卢卡斯动作不能太大                   13'稳守反击的巴塞尔首次射门出现在第13分钟，祖菲直传，加希禁区边缘外射门偏出
25'巴塞尔中场断球，控制一下                   25'巴塞尔第25分钟取得领先，祖菲回传，弗雷左路禁区边缘外劲射远角入网
25'巴塞尔先开纪录！                   25'巴塞尔第25分钟取得领先，祖菲回传，弗雷左路禁区边缘外劲射远角入网
25'进球的是20号法比安-弗雷                   25'巴塞尔第25分钟取得领先，祖菲回传，弗雷左路禁区边缘外劲射远角入网
26'法比安-弗雷禁区前沿扣过了卢卡斯后与祖菲打撞墙，弗雷左脚大力打球门右下角球进                   25'巴塞尔第25分钟取得领先，祖菲回传，弗雷左路禁区边缘外劲射远角入网
27'巴塞尔形势大好                   25'巴塞尔第25分钟取得领先，祖菲回传，弗雷左路禁区边缘外劲射远角入网
27'斯特林右路交给约翰逊                   25'巴塞尔第25分钟取得领先，祖菲回传，弗雷左路禁区边缘外劲射远角入网
27'约翰逊变向过人被萨法里轻松断下                   25'巴塞尔第25分钟取得领先，祖菲回传，弗雷左路禁区边缘外劲射远角入网
28'兰伯特前场是球分给斯特林，斯特林再直塞                   25'巴塞尔第25分钟取得领先，祖菲回传，弗雷左路禁区边缘外劲射远角入网
28'杰拉德后插上下底传中打在弗雷身上出了边线                   25'巴塞尔第25分钟取得领先，祖菲回传，弗雷左路禁区边缘外劲射远角入网
33'祖菲角球传得不错，恩里克顶到第一点                   33'巴塞尔第33分钟险些扩大比分，扎卡左路斜传远点，斯特雷勒小禁区边缘凌空扫射偏出
33'外围埃尔内尼斜传后点，加什头球攻门顶偏了                   33'巴塞尔第33分钟险些扩大比分，扎卡左路斜传远点，斯特雷勒小禁区边缘凌空扫射偏出
34'利物浦连射门的机会都难找，而巴塞尔却是轻松攻到门前                   33'巴塞尔第33分钟险些扩大比分，扎卡左路斜传远点，斯特雷勒小禁区边缘凌空扫射偏出
34'巴塞尔中场几人的配合相当娴熟                   33'巴塞尔第33分钟险些扩大比分，扎卡左路斜传远点，斯特雷勒小禁区边缘凌空扫射偏出
35'相反利物浦的中场推进的办法并不多                   33'巴塞尔第33分钟险些扩大比分，扎卡左路斜传远点，斯特雷勒小禁区边缘凌空扫射偏出
35'单前锋兰伯特没有得到有效的支援                   33'巴塞尔第33分钟险些扩大比分，扎卡左路斜传远点，斯特雷勒小禁区边缘凌空扫射偏出
35'恩里克挑传，无人接应                   33'巴塞尔第33分钟险些扩大比分，扎卡左路斜传远点，斯特雷勒小禁区边缘凌空扫射偏出
35'还好斯科特尔后场上抢成功交给了兰伯特                   33'巴塞尔第33分钟险些扩大比分，扎卡左路斜传远点，斯特雷勒小禁区边缘凌空扫射偏出
35'兰伯特护住球回传                   33'巴塞尔第33分钟险些扩大比分，扎卡左路斜传远点，斯特雷勒小禁区边缘凌空扫射偏出
36'上半场到目前为止的控球时间是利物浦55%、巴塞尔45%                   33'巴塞尔第33分钟险些扩大比分，扎卡左路斜传远点，斯特雷勒小禁区边缘凌空扫射偏出
36'杰拉德中路背身拿球往右路分，这线路上根本没有红衣的球员                   33'巴塞尔第33分钟险些扩大比分，扎卡左路斜传远点，斯特雷勒小禁区边缘凌空扫射偏出
61'利物浦出大问题了                   59'第59分钟，苏西传球，扎卡突破莫雷诺后禁区边缘外低射偏出近角
61'马科维奇被主裁判直接红牌罚下                   59'第59分钟，苏西传球，扎卡突破莫雷诺后禁区边缘外低射偏出近角
61'慢镜来看，马科维奇只是在带球中右手扬起带到了对方球员的面部                   59'第59分钟，苏西传球，扎卡突破莫雷诺后禁区边缘外低射偏出近角
62'带到了对方19号萨法里的脸部                   59'第59分钟，苏西传球，扎卡突破莫雷诺后禁区边缘外低射偏出近角
62'这真是屋漏偏逢连夜雨                   59'第59分钟，苏西传球，扎卡突破莫雷诺后禁区边缘外低射偏出近角
72'杰拉德突到禁区内倒地                   72'第72分钟，斯特林直传杰拉德，瓦茨利克出击将利物浦队长扑倒在禁区内，但裁判未予判罚引来主队球迷狂嘘不满
73'但裁判没有鸣哨吹点球                   72'第72分钟，斯特林直传杰拉德，瓦茨利克出击将利物浦队长扑倒在禁区内，但裁判未予判罚引来主队球迷狂嘘不满
75'莫雷诺左路空档传中，瓦茨利克将球摘下                   72'第72分钟，斯特林直传杰拉德，瓦茨利克出击将利物浦队长扑倒在禁区内，但裁判未予判罚引来主队球迷狂嘘不满
75'刚才利物浦换上了库蒂尼奥                   72'第72分钟，斯特林直传杰拉德，瓦茨利克出击将利物浦队长扑倒在禁区内，但裁判未予判罚引来主队球迷狂嘘不满
81'利物浦禁区前沿的任意球机会                   81'利物浦第81分钟扳平比分，杰拉德禁区边缘外任意球直接射门打中左上角立柱内侧入网，1-1
81'角度有点偏左                   81'利物浦第81分钟扳平比分，杰拉德禁区边缘外任意球直接射门打中左上角立柱内侧入网，1-1
81'杰拉德任意球直接破门！                   81'利物浦第81分钟扳平比分，杰拉德禁区边缘外任意球直接射门打中左上角立柱内侧入网，1-1
82'杰拉德任意球打出漂亮弧线球，球越过人墙直挂职球门左上角，球击中立柱内侧入网                   81'利物浦第81分钟扳平比分，杰拉德禁区边缘外任意球直接射门打中左上角立柱内侧入网，1-1
82'利物浦在悬崖边又看到了晋级的希望                   81'利物浦第81分钟扳平比分，杰拉德禁区边缘外任意球直接射门打中左上角立柱内侧入网，1-1
82'祖菲前场断下洛夫伦的球，洛夫伦绊人犯规                   81'利物浦第81分钟扳平比分，杰拉德禁区边缘外任意球直接射门打中左上角立柱内侧入网，1-1
83'巴塞尔获得一个距离球门大概28米的任意球机会                   81'利物浦第81分钟扳平比分，杰拉德禁区边缘外任意球直接射门打中左上角立柱内侧入网，1-1
83'祖菲任意球远射，打得太正了，米尼奥莱将球抱住                   81'利物浦第81分钟扳平比分，杰拉德禁区边缘外任意球直接射门打中左上角立柱内侧入网，1-1
