46'鲁能泰山队左路角球                   46'第46分钟，山东鲁能中场长传，西塞连停带过后单刀推射破门
46'塔尔德利主罚角球开到中路，吉尔在无人盯防下头球攻门，球进了                   46'第46分钟，山东鲁能中场长传，西塞连停带过后单刀推射破门
48'上半场比赛结束，上半场鲁能泰山队赁借吉尔的头球1-0暂停领先长春亚泰                   46'第46分钟，山东鲁能中场长传，西塞连停带过后单刀推射破门
46'鲁能泰山队进球啦！西塞！！2-0                   46'第46分钟，山东鲁能中场长传，西塞连停带过后单刀推射破门
46'真是闪电进球啊！                   46'第46分钟，山东鲁能中场长传，西塞连停带过后单刀推射破门
47'鲁能泰山队长传球！西塞插上抢点，过掉后卫，抢点打门球进！                   46'第46分钟，山东鲁能中场长传，西塞连停带过后单刀推射破门
47'长春亚泰队快速进攻！！！                   46'第46分钟，山东鲁能中场长传，西塞连停带过后单刀推射破门
47'点球！                   46'第46分钟，山东鲁能中场长传，西塞连停带过后单刀推射破门
48'张笑飞突破到禁区内，被戴琳放倒！ 主裁判果断出示黄牌                   46'第46分钟，山东鲁能中场长传，西塞连停带过后单刀推射破门
48'伊格哈罗主罚点球命中！                   46'第46分钟，山东鲁能中场长传，西塞连停带过后单刀推射破门
49'鲁能泰山队闪电进球！长春亚泰队扳回一球！                   46'第46分钟，山东鲁能中场长传，西塞连停带过后单刀推射破门
49'王栋传球到禁区内！被破坏出来                   46'第46分钟，山东鲁能中场长传，西塞连停带过后单刀推射破门
57'鲁能泰山队进球啦！！塔尔德利！3-1                   57'第57分钟，吴兴涵边路送助攻，塔尔德利晃倒门将后将球送入空门
57'西塞在前场断球，分到左路，吴兴涵横传禁区！塔尔德利抢到点转身打门球进                   57'第57分钟，吴兴涵边路送助攻，塔尔德利晃倒门将后将球送入空门
58'这一粒进球来得及时！能领先两球，可以稳定军心                   57'第57分钟，吴兴涵边路送助攻，塔尔德利晃倒门将后将球送入空门
