12'切沃球员帕洛斯基拼抢犯规,对手获得控球权.                   12'开场12分钟，马乔右路传中，梅尔滕斯头球高出
12'卡布拉尔为那不勒斯赢得一个任意球.                   12'开场12分钟，马乔右路传中，梅尔滕斯头球高出
12'那不勒斯球员梅尔滕斯大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是马乔.                   12'开场12分钟，马乔右路传中，梅尔滕斯头球高出
15'切沃球员德拉梅一脚直塞球给泰罗,但是边裁举旗显示后者已经越位.                   12'开场12分钟，马乔右路传中，梅尔滕斯头球高出
25'那不勒斯球员卡列洪大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是哈姆西克.                   25'第25分钟，卡列洪禁区左侧斜射，伊瓜因后点距门1米处没能打进
25'那不勒斯球员伊瓜因小禁区右侧尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是卡列洪.                   25'第25分钟，卡列洪禁区左侧斜射，伊瓜因后点距门1米处没能打进
26'切沃球员萨尔多拼抢犯规,对手获得控球权.                   25'第25分钟，卡列洪禁区左侧斜射，伊瓜因后点距门1米处没能打进
26'卡列洪为那不勒斯在左路,赢得一个任意球.                   25'第25分钟，卡列洪禁区左侧斜射，伊瓜因后点距门1米处没能打进
57'那不勒斯球员伊瓜因大禁区右侧左脚射门,被防守球员封堵.给他传球的是卡列洪.                   57'第57分钟，卡列洪传球，伊瓜因禁区右侧左脚射门被德拉梅封堵
58'哈特马吉为切沃赢得一个任意球.                   57'第57分钟，卡列洪传球，伊瓜因禁区右侧左脚射门被德拉梅封堵
58'那不勒斯球员弗雷罗拼抢犯规,对手获得控球权.                   57'第57分钟，卡列洪传球，伊瓜因禁区右侧左脚射门被德拉梅封堵
59'泰罗为切沃在左路,赢得一个任意球.                   57'第57分钟，卡列洪传球，伊瓜因禁区右侧左脚射门被德拉梅封堵
59'那不勒斯球员马乔拼抢犯规,对手获得控球权.                   57'第57分钟，卡列洪传球，伊瓜因禁区右侧左脚射门被德拉梅封堵
59'黄牌！那不勒斯球员马乔因为恶意犯规,被主裁判出示黄牌.                   57'第57分钟，卡列洪传球，伊瓜因禁区右侧左脚射门被德拉梅封堵
60'切沃球员B-塞萨尔拼抢犯规,对手获得控球权.                   57'第57分钟，卡列洪传球，伊瓜因禁区右侧左脚射门被德拉梅封堵
60'梅尔滕斯为那不勒斯在对方半场,赢得一个任意球.                   57'第57分钟，卡列洪传球，伊瓜因禁区右侧左脚射门被德拉梅封堵
85'那不勒斯球员因西涅大禁区右侧右脚射门,命中门柱横梁.给他传球的是梅尔滕斯.                   85'第85分钟，梅尔滕斯左路斜传，因西涅禁区右侧胸部停球凌空斜射击中横梁上沿弹出
86'切沃球员埃斯蒂加里维亚危险动作,对手获得控球权.                   85'第85分钟，梅尔滕斯左路斜传，因西涅禁区右侧胸部停球凌空斜射击中横梁上沿弹出
86'因勒为那不勒斯赢得一个任意球.                   85'第85分钟，梅尔滕斯左路斜传，因西涅禁区右侧胸部停球凌空斜射击中横梁上沿弹出
86'埃斯蒂加里维亚为切沃赢得一个任意球.                   85'第85分钟，梅尔滕斯左路斜传，因西涅禁区右侧胸部停球凌空斜射击中横梁上沿弹出
86'那不勒斯球员因勒拼抢犯规,对手获得控球权.                   85'第85分钟，梅尔滕斯左路斜传，因西涅禁区右侧胸部停球凌空斜射击中横梁上沿弹出
87'那不勒斯球员梅尔滕斯大禁区左侧左脚射门,被防守球员封堵.                   85'第85分钟，梅尔滕斯左路斜传，因西涅禁区右侧胸部停球凌空斜射击中横梁上沿弹出
87'B-塞萨尔将球处理出底线,那不勒斯获得角球.                   85'第85分钟，梅尔滕斯左路斜传，因西涅禁区右侧胸部停球凌空斜射击中横梁上沿弹出
88'进球啦！！！那不勒斯球员阿尔比奥尔大禁区中央右脚射门,球从左下角飞进球门,球进了! 那不勒斯 1-1 切沃.                   85'第85分钟，梅尔滕斯左路斜传，因西涅禁区右侧胸部停球凌空斜射击中横梁上沿弹出
46'哈特马吉为切沃在左路,赢得一个任意球.                   46'1分钟后，因西涅在门前11米处推射被普焦尼倒地没收
46'那不勒斯球员泽马伊利拼抢犯规,对手获得控球权.                   46'1分钟后，因西涅在门前11米处推射被普焦尼倒地没收
48'那不勒斯球员哈姆西克大禁区外左脚射门,被防守球员封堵.给他传球的是阿尔比奥尔.                   46'1分钟后，因西涅在门前11米处推射被普焦尼倒地没收
48'N-弗雷将球处理出底线,那不勒斯获得角球.                   46'1分钟后，因西涅在门前11米处推射被普焦尼倒地没收
48'那不勒斯球员阿尔比奥尔大禁区中央尝试右脚射门,可惜皮球高出球门.                   46'1分钟后，因西涅在门前11米处推射被普焦尼倒地没收
49'切沃球员N-弗雷一脚直塞球给帕洛斯基,但是边裁举旗显示后者已经越位.                   46'1分钟后，因西涅在门前11米处推射被普焦尼倒地没收
