2'中圈热刺开球！上半场比赛开始了！                   1'赛前为阿斯托里默哀1分钟
2'开球回给后场中路的桑切斯！                   1'赛前为阿斯托里默哀1分钟
2'桑切斯分给后场右路特里皮尔！                   1'赛前为阿斯托里默哀1分钟
2'特里皮尔吊向禁区内！                   1'赛前为阿斯托里默哀1分钟
3'球被禁区内的贝纳蒂亚头球解围！                   1'赛前为阿斯托里默哀1分钟
3'禁区外双方拼抢！                   1'赛前为阿斯托里默哀1分钟
3'埃里克森分球左路的孙兴慜！                   1'赛前为阿斯托里默哀1分钟
3'贝纳蒂亚再上前把球大脚解围！                   1'赛前为阿斯托里默哀1分钟
4'皮球来到热刺后场！                   1'赛前为阿斯托里默哀1分钟
4'戴尔把球控制！再回传门将洛里！                   1'赛前为阿斯托里默哀1分钟
4'洛里大脚开球到前场中路！                   1'赛前为阿斯托里默哀1分钟
4'这球直接给到了布冯！                   1'赛前为阿斯托里默哀1分钟
13'伊瓜因没能接上！皮球出了底线！                   13'第13分钟出现争议，埃里克森中路突进传球，凯恩禁区右侧拿球被基耶利尼封堵，但基耶利尼倒地时左臂触球，波兰主裁判马齐尼亚克不予理会
13'洛里大脚开出球门球！                   13'第13分钟出现争议，埃里克森中路突进传球，凯恩禁区右侧拿球被基耶利尼封堵，但基耶利尼倒地时左臂触球，波兰主裁判马齐尼亚克不予理会
13'给前场右侧！皮球被桑德罗破坏出边线！                   13'第13分钟出现争议，埃里克森中路突进传球，凯恩禁区右侧拿球被基耶利尼封堵，但基耶利尼倒地时左臂触球，波兰主裁判马齐尼亚克不予理会
13'特里皮尔发球给右路接应的埃里克森！                   13'第13分钟出现争议，埃里克森中路突进传球，凯恩禁区右侧拿球被基耶利尼封堵，但基耶利尼倒地时左臂触球，波兰主裁判马齐尼亚克不予理会
13'埃里克森的球被基耶利尼踢出边线！                   13'第13分钟出现争议，埃里克森中路突进传球，凯恩禁区右侧拿球被基耶利尼封堵，但基耶利尼倒地时左臂触球，波兰主裁判马齐尼亚克不予理会
13'特里皮尔继续发球给右路凯恩！                   13'第13分钟出现争议，埃里克森中路突进传球，凯恩禁区右侧拿球被基耶利尼封堵，但基耶利尼倒地时左臂触球，波兰主裁判马齐尼亚克不予理会
13'凯恩的球又被基耶利尼踢出边线！                   13'第13分钟出现争议，埃里克森中路突进传球，凯恩禁区右侧拿球被基耶利尼封堵，但基耶利尼倒地时左臂触球，波兰主裁判马齐尼亚克不予理会
