6'莫雷诺中场顶防犯规了                   6'第6分钟，斯图里奇传球，库迪尼奥禁区边缘的射门被封堵
6'库蒂尼奥中路拿球，射门被封堵                   6'第6分钟，斯图里奇传球，库迪尼奥禁区边缘的射门被封堵
6'克里希防线断球，过人发动反击                   6'第6分钟，斯图里奇传球，库迪尼奥禁区边缘的射门被封堵
7'席尔瓦斜传找约维蒂奇，被解围出边线                   6'第6分钟，斯图里奇传球，库迪尼奥禁区边缘的射门被封堵
8'克里希左路给禁区前，哲科低射打偏！                   6'第6分钟，斯图里奇传球，库迪尼奥禁区边缘的射门被封堵
8'费尔南多中场直接高球进禁区，被米尼奥莱拿到                   6'第6分钟，斯图里奇传球，库迪尼奥禁区边缘的射门被封堵
9'库蒂尼奥左路拿球，回敲，洛夫伦转移另一侧                   6'第6分钟，斯图里奇传球，库迪尼奥禁区边缘的射门被封堵
9'杰拉德长传找到斯特林，后者禁区内转身射门没打上力量                   6'第6分钟，斯图里奇传球，库迪尼奥禁区边缘的射门被封堵
46'亚亚图雷右路传中去后点，落点不好                   46'利物浦1分钟后展开反攻，杰拉德传球，斯特林点球点附近停球后背身弹射偏出右侧立柱
46'上半场比赛结束！                   46'利物浦1分钟后展开反攻，杰拉德传球，斯特林点球点附近停球后背身弹射偏出右侧立柱
46'下半场比赛开始！                   46'利物浦1分钟后展开反攻，杰拉德传球，斯特林点球点附近停球后背身弹射偏出右侧立柱
46'利物浦中圈开球                   46'利物浦1分钟后展开反攻，杰拉德传球，斯特林点球点附近停球后背身弹射偏出右侧立柱
46'乔艾伦拿球横敲，杰拉德转移右路                   46'利物浦1分钟后展开反攻，杰拉德传球，斯特林点球点附近停球后背身弹射偏出右侧立柱
47'斯特林拿球被德米凯利斯先破坏出界                   46'利物浦1分钟后展开反攻，杰拉德传球，斯特林点球点附近停球后背身弹射偏出右侧立柱
15'主裁示意禁区内利物浦球员争抢位置先犯规                   15'第15分钟，亚亚-图雷的远射被米尼奥莱轻松得到
