4'战术角球发出来，鲁能泰山队右路横传，郑铮抢点劲射，被颜骏凌扑出！！                   4'开场4分钟，客场作战的山东鲁能获得良机
4'郑铮这个位置打得这脚球太好了                   4'开场4分钟，客场作战的山东鲁能获得良机
4'安塔尔中后场拿球回传再转移到右路进攻                   4'开场4分钟，客场作战的山东鲁能获得良机
5'王彤右路大脚长传，王燊超挡出边线                   4'开场4分钟，客场作战的山东鲁能获得良机
5'界外球发出来，上海上港队大脚长传，杨程出禁区把球控下来                   4'开场4分钟，客场作战的山东鲁能获得良机
6'杨程大脚开球，杨旭在前场争顶推人犯规                   4'开场4分钟，客场作战的山东鲁能获得良机
6'蒿俊闵后场得球，右路快速反击                   4'开场4分钟，客场作战的山东鲁能获得良机
7'王刚下底横传，被对方破坏出底线                   4'开场4分钟，客场作战的山东鲁能获得良机
7'鲁能泰山队得到角球机会                   4'开场4分钟，客场作战的山东鲁能获得良机
7'蒿俊闵发角球到禁区内，杜威头球顶门！！看上去象进了，其实是打在了广告牌上打在球网后面！                   4'开场4分钟，客场作战的山东鲁能获得良机
8'杜威这个头球顶得很有力量，只可惜偏了一点儿                   8'第8分钟，山东鲁能再次获得角球，蒿俊闵弧线球准确送到前点，杜威摆脱防守大力头球攻门，球擦着立柱偏出
8'武磊中场拿球，横传转移                   8'第8分钟，山东鲁能再次获得角球，蒿俊闵弧线球准确送到前点，杜威摆脱防守大力头球攻门，球擦着立柱偏出
8'麦克布雷恩直传禁区，可惜几名队员都处在越位位置                   8'第8分钟，山东鲁能再次获得角球，蒿俊闵弧线球准确送到前点，杜威摆脱防守大力头球攻门，球擦着立柱偏出
8'眼看着皮球出了底线                   8'第8分钟，山东鲁能再次获得角球，蒿俊闵弧线球准确送到前点，杜威摆脱防守大力头球攻门，球擦着立柱偏出
9'王燊超左路抢球犯规，鲁能泰山队快速发出任意球走左路进攻                   8'第8分钟，山东鲁能再次获得角球，蒿俊闵弧线球准确送到前点，杜威摆脱防守大力头球攻门，球擦着立柱偏出
9'杜威长传球到前场，想给郑铮，对方控到球大脚破坏，打到郑铮身上出边线                   8'第8分钟，山东鲁能再次获得角球，蒿俊闵弧线球准确送到前点，杜威摆脱防守大力头球攻门，球擦着立柱偏出
10'洛夫在前场拿球，在几名队员围抢下还是把球回传                   8'第8分钟，山东鲁能再次获得角球，蒿俊闵弧线球准确送到前点，杜威摆脱防守大力头球攻门，球擦着立柱偏出
10'安塔尔接金敬道传球，分到右路                   8'第8分钟，山东鲁能再次获得角球，蒿俊闵弧线球准确送到前点，杜威摆脱防守大力头球攻门，球擦着立柱偏出
10'王彤右路接球，王燊超破坏出边线                   8'第8分钟，山东鲁能再次获得角球，蒿俊闵弧线球准确送到前点，杜威摆脱防守大力头球攻门，球擦着立柱偏出
11'鲁能泰山队右路斜传禁区，队友争顶下来，洛夫劲射放了高射炮                   8'第8分钟，山东鲁能再次获得角球，蒿俊闵弧线球准确送到前点，杜威摆脱防守大力头球攻门，球擦着立柱偏出
11'上海上港队左路进攻，挑传球直接出底线，提前量稍大了些                   8'第8分钟，山东鲁能再次获得角球，蒿俊闵弧线球准确送到前点，杜威摆脱防守大力头球攻门，球擦着立柱偏出
15'主裁判判给了鲁能泰山队角球机会                   15'第15分钟，山东鲁能角球进攻，蒿俊闵弧线球送入禁区，杜威跟进抢射偏出
15'蒿俊闵发角球到前点，杜威抢点打门，在对方的逼抢下球出底线                   15'第15分钟，山东鲁能角球进攻，蒿俊闵弧线球送入禁区，杜威跟进抢射偏出
16'上海上港队右路长传，郑铮争抢犯规                   15'第15分钟，山东鲁能角球进攻，蒿俊闵弧线球送入禁区，杜威跟进抢射偏出
17'任意球发出来，上海上港队横传右路，朱峥嵘没能停好球                   15'第15分钟，山东鲁能角球进攻，蒿俊闵弧线球送入禁区，杜威跟进抢射偏出
17'界外球发出来，武磊前场断球右路突破，被破坏出边线                   15'第15分钟，山东鲁能角球进攻，蒿俊闵弧线球送入禁区，杜威跟进抢射偏出
17'李运秋右路接队友传球，强突下底，在对方两人成夹下球出底线                   15'第15分钟，山东鲁能角球进攻，蒿俊闵弧线球送入禁区，杜威跟进抢射偏出
23'任意球发出来，上海上港队左路下底横传禁区，朱峥嵘抢点头球顶门！！稍偏了一点                   23'第23分钟，朱峥嵘边路突破被金敬道放倒，后者吃到黄牌
24'鲁能泰山队大脚开球到前场，颜骏凌没收                   23'第23分钟，朱峥嵘边路突破被金敬道放倒，后者吃到黄牌
25'李运秋右路接球回传，上海上港队挑传禁区，武磊越位                   23'第23分钟，朱峥嵘边路突破被金敬道放倒，后者吃到黄牌
25'鲁能泰山队长传前场，王刚头球过渡到禁区内，洛夫快速插上，被阿多挡在了身后                   23'第23分钟，朱峥嵘边路突破被金敬道放倒，后者吃到黄牌
26'伊比尼-伊赛左路突破横传禁区，麦克布雷恩抢点打门高出横梁                   23'第23分钟，朱峥嵘边路突破被金敬道放倒，后者吃到黄牌
