1'上半场开始了！                   1'曼城第1分钟利用传接球控制比赛
1'曼城率先开球！                   1'曼城第1分钟利用传接球控制比赛
3'曼城左侧进攻拿到角球！                   1'曼城第1分钟利用传接球控制比赛
3'战术角球给出来！                   1'曼城第1分钟利用传接球控制比赛
3'传中到后点被解围了！                   1'曼城第1分钟利用传接球控制比赛
35'曼城率先取得进球！                   35'曼城第35分钟打破僵局，京多安直传贝尔纳多，后者在小禁区前被布鲁马拉倒，裁判果断判罚极刑，阿圭罗主罚点球命中
35'总比分来到4比2！                   35'曼城第35分钟打破僵局，京多安直传贝尔纳多，后者在小禁区前被布鲁马拉倒，裁判果断判罚极刑，阿圭罗主罚点球命中
37'费尔曼长传前场！                   35'曼城第35分钟打破僵局，京多安直传贝尔纳多，后者在小禁区前被布鲁马拉倒，裁判果断判罚极刑，阿圭罗主罚点球命中
37'送给了埃德森！                   35'曼城第35分钟打破僵局，京多安直传贝尔纳多，后者在小禁区前被布鲁马拉倒，裁判果断判罚极刑，阿圭罗主罚点球命中
37'埃德森送到中场！                   35'曼城第35分钟打破僵局，京多安直传贝尔纳多，后者在小禁区前被布鲁马拉倒，裁判果断判罚极刑，阿圭罗主罚点球命中
37'斯坦布利得球远射！                   35'曼城第35分钟打破僵局，京多安直传贝尔纳多，后者在小禁区前被布鲁马拉倒，裁判果断判罚极刑，阿圭罗主罚点球命中
37'球打偏了！                   35'曼城第35分钟打破僵局，京多安直传贝尔纳多，后者在小禁区前被布鲁马拉倒，裁判果断判罚极刑，阿圭罗主罚点球命中
38'曼城右侧直传禁区！                   35'曼城第35分钟打破僵局，京多安直传贝尔纳多，后者在小禁区前被布鲁马拉倒，裁判果断判罚极刑，阿圭罗主罚点球命中
38'斯特林得球横传！                   35'曼城第35分钟打破僵局，京多安直传贝尔纳多，后者在小禁区前被布鲁马拉倒，裁判果断判罚极刑，阿圭罗主罚点球命中
