4'卡拉坎将球处理出底线,切尔西获得角球.                   3'切尔西连续3分钟获得3次角球，但均被雷丁解围
5'凯利将球处理出底线,切尔西获得角球.                   3'切尔西连续3分钟获得3次角球，但均被雷丁解围
6'哈特将球处理出底线,切尔西获得角球.                   3'切尔西连续3分钟获得3次角球，但均被雷丁解围
14'切尔西球员A-科尔大禁区外尝试左脚射门,可惜皮球高出右上角球门.给他传球的是马塔.                   14'第14分钟，马塔传球，阿什利-科尔左路远射偏出
15'加斯里为雷丁赢得一个任意球.                   14'第14分钟，马塔传球，阿什利-科尔左路远射偏出
15'切尔西球员兰帕德拼抢犯规,对手获得控球权.                   14'第14分钟，马塔传球，阿什利-科尔左路远射偏出
17'雷丁球员博格雷布尼亚克拼抢犯规,对手获得控球权.                   14'第14分钟，马塔传球，阿什利-科尔左路远射偏出
17'兰帕德为切尔西赢得一个任意球.                   14'第14分钟，马塔传球，阿什利-科尔左路远射偏出
22'凯利将球处理出底线,切尔西获得角球.                   22'第22分钟，奥斯卡传球，兰帕德禁区内的射门被封堵
23'切尔西球员兰帕德大禁区外右脚射门,被防守球员封堵.给他传球的是奥斯卡.                   22'第22分钟，奥斯卡传球，兰帕德禁区内的射门被封堵
24'雷丁球员博格雷布尼亚克拼抢犯规,对手获得控球权.                   22'第22分钟，奥斯卡传球，兰帕德禁区内的射门被封堵
24'卡希尔为切尔西赢得一个任意球.                   22'第22分钟，奥斯卡传球，兰帕德禁区内的射门被封堵
25'皮尔斯为雷丁赢得一个任意球.                   22'第22分钟，奥斯卡传球，兰帕德禁区内的射门被封堵
25'切尔西球员托雷斯拼抢犯规,对手获得控球权.                   22'第22分钟，奥斯卡传球，兰帕德禁区内的射门被封堵
37'雷丁球员哈特一脚直塞球给博格雷布尼亚克,但是边裁举旗显示后者已经越位.                   37'第37分钟，托雷斯传球，伯特兰德禁区弧边缘射门偏出
37'切尔西球员伯特兰德大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是托雷斯.                   37'第37分钟，托雷斯传球，伯特兰德禁区弧边缘射门偏出
40'博格雷布尼亚克为雷丁赢得一个任意球.                   37'第37分钟，托雷斯传球，伯特兰德禁区弧边缘射门偏出
40'切尔西球员拉米雷斯拼抢犯规,对手获得控球权.                   37'第37分钟，托雷斯传球，伯特兰德禁区弧边缘射门偏出
40'切尔西球员拉米雷斯被主裁判出示了一张黄牌.                   37'第37分钟，托雷斯传球，伯特兰德禁区弧边缘射门偏出
41'切尔西球员托雷斯大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是奥斯卡.                   41'第41分钟，马塔挑传，奥斯卡禁区右侧停球，托雷斯抢射离谱偏出
43'切尔西球员A-科尔大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是伯特兰德.                   41'第41分钟，马塔挑传，奥斯卡禁区右侧停球，托雷斯抢射离谱偏出
43'博格雷布尼亚克为雷丁在右路,赢得一个任意球.                   41'第41分钟，马塔挑传，奥斯卡禁区右侧停球，托雷斯抢射离谱偏出
43'切尔西球员伯特兰德拼抢犯规,对手获得控球权.                   41'第41分钟，马塔挑传，奥斯卡禁区右侧停球，托雷斯抢射离谱偏出
49'雷丁球员皮尔斯拼抢犯规,对手获得控球权.                   49'第49分钟，皮尔斯禁区前对托雷斯犯规，兰帕德25码处任意球直接射门被人墙挡出
49'托雷斯为切尔西在对方半场,赢得一个任意球.                   49'第49分钟，皮尔斯禁区前对托雷斯犯规，兰帕德25码处任意球直接射门被人墙挡出
50'切尔西球员兰帕德大禁区外右脚射门,被防守球员封堵.                   49'第49分钟，皮尔斯禁区前对托雷斯犯规，兰帕德25码处任意球直接射门被人墙挡出
52'切尔西球员伯特兰德大禁区右侧左脚射门,被防守球员封堵.给他传球的是阿兹皮里库塔.                   49'第49分钟，皮尔斯禁区前对托雷斯犯规，兰帕德25码处任意球直接射门被人墙挡出
52'马里亚帕为雷丁赢得一个任意球.                   49'第49分钟，皮尔斯禁区前对托雷斯犯规，兰帕德25码处任意球直接射门被人墙挡出
52'切尔西球员伯特兰德拼抢犯规,对手获得控球权.                   49'第49分钟，皮尔斯禁区前对托雷斯犯规，兰帕德25码处任意球直接射门被人墙挡出
52'博格雷布尼亚克为雷丁在左路,赢得一个任意球.                   49'第49分钟，皮尔斯禁区前对托雷斯犯规，兰帕德25码处任意球直接射门被人墙挡出
52'切尔西球员伊万诺维奇拼抢犯规,对手获得控球权.                   49'第49分钟，皮尔斯禁区前对托雷斯犯规，兰帕德25码处任意球直接射门被人墙挡出
66'进球啦！！！切尔西球员兰帕德大禁区中央头球,球从左上角飞进球门,球进了!助攻的是马塔. 雷丁 0-2 切尔西.                   66'切尔西第66分钟扩大比分，兰帕德直传，奥斯卡传中，哈特小禁区边缘抢在托雷斯之前解围
66'雷丁换人,李冯特雷换下迈克纳福                   66'切尔西第66分钟扩大比分，兰帕德直传，奥斯卡传中，哈特小禁区边缘抢在托雷斯之前解围
67'切尔西球员兰帕德大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是马塔.                   66'切尔西第66分钟扩大比分，兰帕德直传，奥斯卡传中，哈特小禁区边缘抢在托雷斯之前解围
67'切尔西球员兰帕德大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是马塔.                   67'第67分钟，马塔传球，兰帕德禁区前射门偏出
79'雷丁球员李冯特雷大禁区中央尝试头球,可惜皮球高出右上角球门.给他传球的是哈特.                   79'第79分钟，哈特任意球传中，勒-方德雷头球攻门偏出
79'马里亚帕为雷丁赢得一个任意球.                   79'第79分钟，哈特任意球传中，勒-方德雷头球攻门偏出
79'切尔西球员托雷斯拼抢犯规,对手获得控球权.                   79'第79分钟，哈特任意球传中，勒-方德雷头球攻门偏出
80'雷丁球员凯利拼抢犯规,对手获得控球权.                   79'第79分钟，哈特任意球传中，勒-方德雷头球攻门偏出
80'奥斯卡为切尔西赢得一个任意球.                   79'第79分钟，哈特任意球传中，勒-方德雷头球攻门偏出
81'阿克潘为雷丁赢得一个任意球.                   79'第79分钟，哈特任意球传中，勒-方德雷头球攻门偏出
81'切尔西球员拉米雷斯拼抢犯规,对手获得控球权.                   79'第79分钟，哈特任意球传中，勒-方德雷头球攻门偏出
81'雷丁球员阿克潘大禁区外尝试右脚射门,可惜皮球偏出球门.                   79'第79分钟，哈特任意球传中，勒-方德雷头球攻门偏出
82'切尔西卡希尔受伤倒地,比赛暂停                   79'第79分钟，哈特任意球传中，勒-方德雷头球攻门偏出
87'迈克莱利为雷丁赢得一个任意球.                   87'雷丁第87分钟扳回一城，埃克潘传球，卡希尔和伊万诺维奇双双漏人，勒-方德雷禁区左侧12码处射入近角，1-2
87'切尔西球员阿兹皮里库塔拼抢犯规,对手获得控球权.                   87'雷丁第87分钟扳回一城，埃克潘传球，卡希尔和伊万诺维奇双双漏人，勒-方德雷禁区左侧12码处射入近角，1-2
87'进球啦！！！雷丁球员李冯特雷大禁区左侧左脚射门,球从左下角飞进球门,球进了!助攻的是阿克潘. 雷丁 1-2 切尔西.                   87'雷丁第87分钟扳回一城，埃克潘传球，卡希尔和伊万诺维奇双双漏人，勒-方德雷禁区左侧12码处射入近角，1-2
90'切尔西球员兰帕德一脚直塞球给托雷斯,但是边裁举旗显示后者已经越位.                   87'雷丁第87分钟扳回一城，埃克潘传球，卡希尔和伊万诺维奇双双漏人，勒-方德雷禁区左侧12码处射入近角，1-2
90'+1'射门!!!切尔西球员拉米雷斯大禁区外右脚射门,被对方守门员横身扑出.给他传球的是伯特兰德.                   87'雷丁第87分钟扳回一城，埃克潘传球，卡希尔和伊万诺维奇双双漏人，勒-方德雷禁区左侧12码处射入近角，1-2
90'+2'切尔西换人,登巴-巴换下托雷斯                   87'雷丁第87分钟扳回一城，埃克潘传球，卡希尔和伊万诺维奇双双漏人，勒-方德雷禁区左侧12码处射入近角，1-2
90'+4'迈克莱利为雷丁赢得一个任意球.                   87'雷丁第87分钟扳回一城，埃克潘传球，卡希尔和伊万诺维奇双双漏人，勒-方德雷禁区左侧12码处射入近角，1-2
90'+4'切尔西球员贝纳永拼抢犯规,对手获得控球权.                   87'雷丁第87分钟扳回一城，埃克潘传球，卡希尔和伊万诺维奇双双漏人，勒-方德雷禁区左侧12码处射入近角，1-2
90'+5'进球啦！！！雷丁球员李冯特雷大禁区中央右脚射门,球从右上角飞进球门,球进了!助攻的是阿克潘. 雷丁 2-2 切尔西.                   87'雷丁第87分钟扳回一城，埃克潘传球，卡希尔和伊万诺维奇双双漏人，勒-方德雷禁区左侧12码处射入近角，1-2
90'+6'切尔西球员阿兹皮里库塔在禁区内摔倒了,但裁判判他假摔！                   87'雷丁第87分钟扳回一城，埃克潘传球，卡希尔和伊万诺维奇双双漏人，勒-方德雷禁区左侧12码处射入近角，1-2
90'+6'切尔西球员阿兹皮里库塔被主裁判出示了一张黄牌.                   87'雷丁第87分钟扳回一城，埃克潘传球，卡希尔和伊万诺维奇双双漏人，勒-方德雷禁区左侧12码处射入近角，1-2
90'+7'下半场结束,雷丁 2-2 切尔西                   87'雷丁第87分钟扳回一城，埃克潘传球，卡希尔和伊万诺维奇双双漏人，勒-方德雷禁区左侧12码处射入近角，1-2
