2'马夏尔右路拿球，内切遭遇逼抢，回传费莱尼                   2'开场仅2分钟，鲁尼任意球传中，斯马林禁区边缘内的头球攻门偏出
2'费莱尼再给拜利，拜利分球博格巴                   2'开场仅2分钟，鲁尼任意球传中，斯马林禁区边缘内的头球攻门偏出
3'伊布前场背身拿球，被布里托斯掀翻在地！                   2'开场仅2分钟，鲁尼任意球传中，斯马林禁区边缘内的头球攻门偏出
3'曼联获得前场中路的任意球机会！！                   2'开场仅2分钟，鲁尼任意球传中，斯马林禁区边缘内的头球攻门偏出
4'鲁尼任意球斜传禁区，斯莫林头球攻门，顶偏！！                   2'开场仅2分钟，鲁尼任意球传中，斯马林禁区边缘内的头球攻门偏出
4'扬马特右路拿球，强突被回防的卢克-肖放铲解围                   2'开场仅2分钟，鲁尼任意球传中，斯马林禁区边缘内的头球攻门偏出
4'球出底线，裁判给了曼联门球！！！                   2'开场仅2分钟，鲁尼任意球传中，斯马林禁区边缘内的头球攻门偏出
5'伊布前场中路拿球，分球左侧给马夏尔                   2'开场仅2分钟，鲁尼任意球传中，斯马林禁区边缘内的头球攻门偏出
5'马夏尔拿球强突，遭遇夹击，回传后场！                   2'开场仅2分钟，鲁尼任意球传中，斯马林禁区边缘内的头球攻门偏出
13'伊格哈洛！！！                   13'第13分钟，斯马林背身试图头球解围，德赫亚出击接高球却与斯马林相撞脱手，伊格哈洛禁区边缘射空门偏出
13'瓦伦西亚后场解围球到中圈，被沃特福德球员凌空垫传到禁区                   13'第13分钟，斯马林背身试图头球解围，德赫亚出击接高球却与斯马林相撞脱手，伊格哈洛禁区边缘射空门偏出
13'德赫亚出击，和斯莫林相撞双双倒地                   13'第13分钟，斯马林背身试图头球解围，德赫亚出击接高球却与斯马林相撞脱手，伊格哈洛禁区边缘射空门偏出
14'伊格哈洛停球，面对空门，推射，打偏啦！！                   13'第13分钟，斯马林背身试图头球解围，德赫亚出击接高球却与斯马林相撞脱手，伊格哈洛禁区边缘射空门偏出
14'非常好的机会，竟然踢偏，伊格哈洛自己都很无语啊                   13'第13分钟，斯马林背身试图头球解围，德赫亚出击接高球却与斯马林相撞脱手，伊格哈洛禁区边缘射空门偏出
