14'布雷斯特球员坎塔里拼抢犯规,对手获得控球权.                   14'开场14分钟，拉维奇赢得任意球，伊布主罚高出横梁
14'拉维齐为巴黎圣日耳曼在对方半场,赢得一个任意球.                   14'开场14分钟，拉维奇赢得任意球，伊布主罚高出横梁
15'巴黎圣日耳曼球员伊布大禁区外尝试右脚射门,可惜皮球高出球门.                   14'开场14分钟，拉维奇赢得任意球，伊布主罚高出横梁
16'布雷斯特球员拜塞拼抢犯规,对手获得控球权.                   14'开场14分钟，拉维奇赢得任意球，伊布主罚高出横梁
16'伊布为巴黎圣日耳曼在左路,赢得一个任意球.                   14'开场14分钟，拉维奇赢得任意球，伊布主罚高出横梁
17'射门!!!巴黎圣日耳曼球员伊布大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是加列特.                   14'开场14分钟，拉维奇赢得任意球，伊布主罚高出横梁
24'射门!!!布雷斯特球员门迪大禁区外右脚射门,被对方守门员横身扑出.给他传球的是Abdoulwhaid Sissoko.                   23'第23分钟，梅内传球，蒂亚戈-席尔瓦力压门迪大力头槌攻门被泰伯封出，伊布补射又被泰伯化解
26'射门!!!巴黎圣日耳曼球员梅内斯大禁区外右脚射门,被对方守门员横身扑出.给他传球的是马图伊迪.                   23'第23分钟，梅内传球，蒂亚戈-席尔瓦力压门迪大力头槌攻门被泰伯封出，伊布补射又被泰伯化解
26'布雷斯特球员巴沙特大禁区右侧左脚射门,被防守球员封堵.给他传球的是Abdoulwhaid Sissoko.                   23'第23分钟，梅内传球，蒂亚戈-席尔瓦力压门迪大力头槌攻门被泰伯封出，伊布补射又被泰伯化解
34'布雷斯特球员Abdoulwhaid Sissoko拼抢犯规,对手获得控球权.                   32'第32分钟，布雷斯特中场西索科双脚铲倒拉维奇，被直接红牌罚下
34'拉维齐为巴黎圣日耳曼赢得一个任意球.                   32'第32分钟，布雷斯特中场西索科双脚铲倒拉维奇，被直接红牌罚下
34'布雷斯特球员Abdoulwhaid Sissoko因为恶意犯规,被裁判直接红牌罚下.                   32'第32分钟，布雷斯特中场西索科双脚铲倒拉维奇，被直接红牌罚下
42'布雷斯特球员查夫尼拼抢犯规,对手获得控球权.                   41'第41分钟，梅内被放倒，伊布任意球险些破门，但泰伯在球门线上封出
42'梅内斯为巴黎圣日耳曼在对方半场,赢得一个任意球.                   41'第41分钟，梅内被放倒，伊布任意球险些破门，但泰伯在球门线上封出
