37'进球啦！！！埃尔切球员阿尔瓦卡尔左脚射门,球从右下角飞进球门,球进了! 巴列卡诺 0-1 埃尔切.                   37'第37分钟，阿尔巴卡尔右路30码处任意球射入右下角
39'埃尔切球员达米安-苏亚雷斯拼抢犯规,对手获得控球权.                   37'第37分钟，阿尔巴卡尔右路30码处任意球射入右下角
39'特拉索亚斯为巴列卡诺赢得一个任意球.                   37'第37分钟，阿尔巴卡尔右路30码处任意球射入右下角
40'埃尔切球员Rodrigues拼抢犯规,对手获得控球权.                   37'第37分钟，阿尔巴卡尔右路30码处任意球射入右下角
40'因苏亚为巴列卡诺赢得一个任意球.                   37'第37分钟，阿尔巴卡尔右路30码处任意球射入右下角
45'进球啦！！！巴列卡诺球员Gaël Kakuta大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是布雷诺. 巴列卡诺 1-1 埃尔切.                   45'巴列卡诺第45分钟一度扳平，布埃诺右路传中，卡库塔远点晃过一人后10码处射入近角
45'+1'上半场结束,巴列卡诺 1-1 埃尔切,稍事休息,我们一会来看看下半场两队的表现.                   45'巴列卡诺第45分钟一度扳平，布埃诺右路传中，卡库塔远点晃过一人后10码处射入近角
47'埃尔切球员隆班拼抢犯规,对手获得控球权.                   45'巴列卡诺第45分钟一度扳平，布埃诺右路传中，卡库塔远点晃过一人后10码处射入近角
47'布雷诺为巴列卡诺赢得一个任意球.                   45'巴列卡诺第45分钟一度扳平，布埃诺右路传中，卡库塔远点晃过一人后10码处射入近角
47'巴列卡诺球员特拉索亚斯一脚直塞球给因苏亚,但是边裁举旗显示后者已经越位.                   45'巴列卡诺第45分钟一度扳平，布埃诺右路传中，卡库塔远点晃过一人后10码处射入近角
48'埃尔切球员科罗大禁区外尝试左脚射门,可惜皮球高出球门.给他传球的是P-莫斯克拉.                   45'巴列卡诺第45分钟一度扳平，布埃诺右路传中，卡库塔远点晃过一人后10码处射入近角
69'埃尔切球员Rodrigues拼抢犯规,对手获得控球权.                   69'第69分钟，霍纳桑突破右侧角旗附近回传，莫斯奎拉右路25码处射出反弹球击中左侧立柱内侧后入网
69'因苏亚为巴列卡诺赢得一个任意球.                   69'第69分钟，霍纳桑突破右侧角旗附近回传，莫斯奎拉右路25码处射出反弹球击中左侧立柱内侧后入网
69'进球啦！！！埃尔切球员P-莫斯克拉大禁区外左脚射门,球从左下角飞进球门,球进了!助攻的是乔纳森. 巴列卡诺 1-3 埃尔切.                   69'第69分钟，霍纳桑突破右侧角旗附近回传，莫斯奎拉右路25码处射出反弹球击中左侧立柱内侧后入网
71'埃尔切换人,阿尔瓦罗换下维克多-罗德里格兹                   69'第69分钟，霍纳桑突破右侧角旗附近回传，莫斯奎拉右路25码处射出反弹球击中左侧立柱内侧后入网
71'埃尔切球员阿尔瓦罗拼抢犯规,对手获得控球权.                   69'第69分钟，霍纳桑突破右侧角旗附近回传，莫斯奎拉右路25码处射出反弹球击中左侧立柱内侧后入网
71'因苏亚为巴列卡诺在左路,赢得一个任意球.                   69'第69分钟，霍纳桑突破右侧角旗附近回传，莫斯奎拉右路25码处射出反弹球击中左侧立柱内侧后入网
71'黄牌！埃尔切球员阿尔瓦罗因为恶意犯规,被主裁判出示黄牌.                   69'第69分钟，霍纳桑突破右侧角旗附近回传，莫斯奎拉右路25码处射出反弹球击中左侧立柱内侧后入网
72'阿尔瓦卡尔将球处理出底线,巴列卡诺获得角球.                   69'第69分钟，霍纳桑突破右侧角旗附近回传，莫斯奎拉右路25码处射出反弹球击中左侧立柱内侧后入网
72'射门!!!巴列卡诺球员巴埃纳大禁区外右脚射门,被对方守门员横身扑出.                   69'第69分钟，霍纳桑突破右侧角旗附近回传，莫斯奎拉右路25码处射出反弹球击中左侧立柱内侧后入网
