13'都灵球员贝罗莫犯规,致使对方获得点球.                   13'第13分钟，梅尔滕斯禁区内挑球过人被贝洛莫绊倒，点球
13'点球,梅尔滕斯在禁区内被侵犯,那不勒斯获得点球.                   13'第13分钟，梅尔滕斯禁区内挑球过人被贝洛莫绊倒，点球
14'进球啦！！！那不勒斯球员伊瓜因右脚射门,球从左上角飞进球门,球进了! 那不勒斯 1-0 都灵.                   13'第13分钟，梅尔滕斯禁区内挑球过人被贝洛莫绊倒，点球
16'那不勒斯球员费尔南德斯拼抢犯规,对手获得控球权.                   13'第13分钟，梅尔滕斯禁区内挑球过人被贝洛莫绊倒，点球
16'巴雷托为都灵在对方半场,赢得一个任意球.                   13'第13分钟，梅尔滕斯禁区内挑球过人被贝洛莫绊倒，点球
22'那不勒斯球员伊瓜因大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是泽马伊利.                   22'第22分钟，伊瓜因禁区弧顶低射贴左门柱而出
23'维维斯为都灵在对方半场,赢得一个任意球.                   22'第22分钟，伊瓜因禁区弧顶低射贴左门柱而出
23'那不勒斯球员阿尔比奥尔拼抢犯规,对手获得控球权.                   22'第22分钟，伊瓜因禁区弧顶低射贴左门柱而出
25'都灵加齐受伤倒地,比赛暂停                   22'第22分钟，伊瓜因禁区弧顶低射贴左门柱而出
25'暂停结束,球员们重新开始比赛.                   22'第22分钟，伊瓜因禁区弧顶低射贴左门柱而出
30'那不勒斯球员哈姆西克大禁区外右脚射门,被防守球员封堵.给他传球的是泽马伊利.                   30'第30分钟出现争议，费德里科-费尔南德斯禁区内凌空补射击中格利克肘部，主裁判德马尔科在底线裁判马佐莱尼提醒下吹罚点球，都灵队员围住马佐莱尼抗议，认为格利克与对方距离太近，但点球无法改变，伊瓜因再次主罚骗过帕代利推进右下角，2比0，这是他代表那不勒斯首次梅开二度，也是今年3月(皇马对阵马洛卡)以来首次联赛梅开二度
30'格里克将球处理出底线,那不勒斯获得角球.                   30'第30分钟出现争议，费德里科-费尔南德斯禁区内凌空补射击中格利克肘部，主裁判德马尔科在底线裁判马佐莱尼提醒下吹罚点球，都灵队员围住马佐莱尼抗议，认为格利克与对方距离太近，但点球无法改变，伊瓜因再次主罚骗过帕代利推进右下角，2比0，这是他代表那不勒斯首次梅开二度，也是今年3月(皇马对阵马洛卡)以来首次联赛梅开二度
