1'比赛开始了，阿森纳开球                   1'阿森纳第1分钟占据主动，但水晶宫摆出铁桶阵
1'阿森纳从左侧向右侧进攻，水晶宫则是从右侧向左侧来攻                   1'阿森纳第1分钟占据主动，但水晶宫摆出铁桶阵
1'贝莱林回敲，切赫解围，272在给科斯切尔尼                   1'阿森纳第1分钟占据主动，但水晶宫摆出铁桶阵
2'左路科奎林给到埃尔内尼，右路贝莱林得球                   1'阿森纳第1分钟占据主动，但水晶宫摆出铁桶阵
2'埃尔内尼再回给加布里埃尔，枪手牢牢掌握控球权                   1'阿森纳第1分钟占据主动，但水晶宫摆出铁桶阵
3'右路进攻给到了374，传中德莱尼解围出来                   1'阿森纳第1分钟占据主动，但水晶宫摆出铁桶阵
3'加布里埃尔中路给到埃尔内尼，梳理一下，走左路                   1'阿森纳第1分钟占据主动，但水晶宫摆出铁桶阵
3'伊沃比给到272，中路直塞被断                   1'阿森纳第1分钟占据主动，但水晶宫摆出铁桶阵
4'左侧威克姆回撤接应，贝莱林犯规了                   1'阿森纳第1分钟占据主动，但水晶宫摆出铁桶阵
4'水晶宫左路定位球，起球到禁区外                   1'阿森纳第1分钟占据主动，但水晶宫摆出铁桶阵
4'博拉西耶左路下底，低传禁区中央                   1'阿森纳第1分钟占据主动，但水晶宫摆出铁桶阵
4'被解围出来，外围跟上再射，打在后卫身上                   1'阿森纳第1分钟占据主动，但水晶宫摆出铁桶阵
43'没什么好机会，在回给加布里埃尔                   43'阿森纳第43分钟险些破门，厄齐尔同桑切斯配合传球，前巴萨边锋送出直传，但厄齐尔小禁区前的捅射被亨尼西扑出
43'阿森纳进攻走中间                   43'阿森纳第43分钟险些破门，厄齐尔同桑切斯配合传球，前巴萨边锋送出直传，但厄齐尔小禁区前的捅射被亨尼西扑出
43'禁区内不错的配合，272和374踢墙配合                   43'阿森纳第43分钟险些破门，厄齐尔同桑切斯配合传球，前巴萨边锋送出直传，但厄齐尔小禁区前的捅射被亨尼西扑出
43'272杀入小禁区前，捅射被亨内西挡出来了                   43'阿森纳第43分钟险些破门，厄齐尔同桑切斯配合传球，前巴萨边锋送出直传，但厄齐尔小禁区前的捅射被亨尼西扑出
