1'利物浦开出皮球                   1'利物浦第1分钟占据主动，水晶宫回收防守
1'后场的长传，被顶了回来                   1'利物浦第1分钟占据主动，水晶宫回收防守
1'马蒂普后场横传范戴克                   1'利物浦第1分钟占据主动，水晶宫回收防守
1'给到亨德森                   1'利物浦第1分钟占据主动，水晶宫回收防守
1'中场的倒脚控制                   1'利物浦第1分钟占据主动，水晶宫回收防守
2'马内前场带球突破，被拦断                   1'利物浦第1分钟占据主动，水晶宫回收防守
2'斯佩罗尼后场大脚开出                   1'利物浦第1分钟占据主动，水晶宫回收防守
2'进攻来到了左路，扎哈带球稍大被米尔纳回给阿利松                   1'利物浦第1分钟占据主动，水晶宫回收防守
3'菲尔米诺中圈得球，分给左路凯塔                   1'利物浦第1分钟占据主动，水晶宫回收防守
3'回给范戴克                   1'利物浦第1分钟占据主动，水晶宫回收防守
3'继续过度到了右路                   1'利物浦第1分钟占据主动，水晶宫回收防守
4'米尔纳右路低平球，被拦断                   1'利物浦第1分钟占据主动，水晶宫回收防守
4'菲尔米诺左路和罗伯逊撞墙没过去                   1'利物浦第1分钟占据主动，水晶宫回收防守
4'罗伯逊得球传中，被门将斯佩罗尼没收                   1'利物浦第1分钟占据主动，水晶宫回收防守
24'扎哈换到右路，给到中圈                   24'水晶宫首次射门出现在第24分钟，扎哈反击中传中，阿尤头球攻门偏出
24'扎哈右路插上传中，出了禁区                   24'水晶宫首次射门出现在第24分钟，扎哈反击中传中，阿尤头球攻门偏出
24'汤森给到了禁区外围                   24'水晶宫首次射门出现在第24分钟，扎哈反击中传中，阿尤头球攻门偏出
24'汤森左路下底传中，米尔纳伸腿挡出界外                   24'水晶宫首次射门出现在第24分钟，扎哈反击中传中，阿尤头球攻门偏出
25'凯塔带球反击推进，禁区前被铲断                   24'水晶宫首次射门出现在第24分钟，扎哈反击中传中，阿尤头球攻门偏出
25'扎哈右路反击，罗伯逊上抢踢出界外                   24'水晶宫首次射门出现在第24分钟，扎哈反击中传中，阿尤头球攻门偏出
26'亨德森中路和菲尔米诺撞墙，被拦截出去                   24'水晶宫首次射门出现在第24分钟，扎哈反击中传中，阿尤头球攻门偏出
