6'罗马受伤倒地,比赛暂停                   5'开场5分钟，球场部分照明出现故障，主裁判罗基暂停比赛，并与双方队长商议
7'暂停结束,球员们重新开始比赛.                   5'开场5分钟，球场部分照明出现故障，主裁判罗基暂停比赛，并与双方队长商议
9'冈萨雷斯将球处理出底线,罗马获得角球.                   9'第9分钟，罗马在稍显昏暗的球场内取得领先
9'进球啦！！！罗马球员拉梅拉球门线跟前头球,球从中路飞进球门,球进了!助攻的是托蒂. 拉齐奥 0-1 罗马.                   9'第9分钟，罗马在稍显昏暗的球场内取得领先
11'坎德雷瓦为拉齐奥赢得一个任意球.                   9'第9分钟，罗马在稍显昏暗的球场内取得领先
11'罗马球员托蒂拼抢犯规,对手获得控球权.                   9'第9分钟，罗马在稍显昏暗的球场内取得领先
11'射门!!!拉齐奥球员埃尔纳内斯大禁区外左脚射门,被对方守门员横身扑出.                   9'第9分钟，罗马在稍显昏暗的球场内取得领先
14'迪亚斯将球处理出底线,罗马获得角球.                   14'第14分钟，托蒂右侧小角度抽射被马尔凯蒂封出
14'射门!!!罗马球员托蒂右侧远离球门处小角度右脚射门,被对方守门员横身扑出.                   14'第14分钟，托蒂右侧小角度抽射被马尔凯蒂封出
15'罗马球员奥斯瓦尔多大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是弗洛伦齐.                   14'第14分钟，托蒂右侧小角度抽射被马尔凯蒂封出
16'德罗西将球处理出底线,拉齐奥获得角球.                   14'第14分钟，托蒂右侧小角度抽射被马尔凯蒂封出
16'拉齐奥球员孔科拼抢犯规,对手获得控球权.                   14'第14分钟，托蒂右侧小角度抽射被马尔凯蒂封出
16'德罗西为罗马赢得一个任意球.                   14'第14分钟，托蒂右侧小角度抽射被马尔凯蒂封出
21'埃尔纳内斯为拉齐奥在对方半场,赢得一个任意球.                   21'第21分钟，孔科右路斜传，克洛泽点球点头球被戈伊科切亚托出左门柱，不过他越位在先
21'罗马球员弗洛伦齐拼抢犯规,对手获得控球权.                   21'第21分钟，孔科右路斜传，克洛泽点球点头球被戈伊科切亚托出左门柱，不过他越位在先
21'拉齐奥球员孔科一脚直塞球给克洛泽,但是边裁举旗显示后者已经越位.                   21'第21分钟，孔科右路斜传，克洛泽点球点头球被戈伊科切亚托出左门柱，不过他越位在先
23'拉齐奥球员埃尔纳内斯拼抢犯规,对手获得控球权.                   21'第21分钟，孔科右路斜传，克洛泽点球点头球被戈伊科切亚托出左门柱，不过他越位在先
23'巴尔扎雷蒂为罗马赢得一个任意球.                   21'第21分钟，孔科右路斜传，克洛泽点球点头球被戈伊科切亚托出左门柱，不过他越位在先
24'拉齐奥球员埃尔纳内斯拼抢犯规,对手获得控球权.                   21'第21分钟，孔科右路斜传，克洛泽点球点头球被戈伊科切亚托出左门柱，不过他越位在先
24'德罗西为罗马赢得一个任意球.                   21'第21分钟，孔科右路斜传，克洛泽点球点头球被戈伊科切亚托出左门柱，不过他越位在先
24'孔科将球处理出底线,罗马获得角球.                   21'第21分钟，孔科右路斜传，克洛泽点球点头球被戈伊科切亚托出左门柱，不过他越位在先
26'拉齐奥球员冈萨雷斯大禁区外右脚射门,被防守球员封堵.                   26'第26分钟，冈萨雷斯在门前20米处抽射偏出左门柱
26'皮里斯将球处理出底线,拉齐奥获得角球.                   26'第26分钟，冈萨雷斯在门前20米处抽射偏出左门柱
27'孔科为拉齐奥在右路,赢得一个任意球.                   26'第26分钟，冈萨雷斯在门前20米处抽射偏出左门柱
27'罗马球员巴尔扎雷蒂拼抢犯规,对手获得控球权.                   26'第26分钟，冈萨雷斯在门前20米处抽射偏出左门柱
28'皮里斯将球处理出底线,拉齐奥获得角球.                   26'第26分钟，冈萨雷斯在门前20米处抽射偏出左门柱
33'拉齐奥球员孔科大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是埃尔纳内斯.                   33'第33分钟，埃尔纳内斯左路任意球斜传，孔科前点距门8米处头球蹭高
35'罗马球员拉梅拉拼抢犯规,对手获得控球权.                   33'第33分钟，埃尔纳内斯左路任意球斜传，孔科前点距门8米处头球蹭高
35'埃尔纳内斯为拉齐奥在对方半场,赢得一个任意球.                   33'第33分钟，埃尔纳内斯左路任意球斜传，孔科前点距门8米处头球蹭高
35'进球啦！！！拉齐奥球员坎德雷瓦右脚射门,球从中路飞进球门,球进了! 拉齐奥 1-1 罗马.                   33'第33分钟，埃尔纳内斯左路任意球斜传，孔科前点距门8米处头球蹭高
36'罗马球员拉梅拉大禁区中央尝试左脚射门,可惜皮球高出球门.给他传球的是巴尔扎雷蒂.                   33'第33分钟，埃尔纳内斯左路任意球斜传，孔科前点距门8米处头球蹭高
40'迪亚斯将球处理出底线,罗马获得角球.                   40'第40分钟，卢利奇背后铲倒奥斯瓦尔多，被黄牌警告，托蒂右侧距门30米处主罚任意球吊向远角，马尔凯蒂飞身单手托出
41'拉齐奥球员克洛泽大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是坎德雷瓦.                   40'第40分钟，卢利奇背后铲倒奥斯瓦尔多，被黄牌警告，托蒂右侧距门30米处主罚任意球吊向远角，马尔凯蒂飞身单手托出
42'比亚瓦为拉齐奥赢得一个任意球.                   40'第40分钟，卢利奇背后铲倒奥斯瓦尔多，被黄牌警告，托蒂右侧距门30米处主罚任意球吊向远角，马尔凯蒂飞身单手托出
42'罗马球员奥斯瓦尔多拼抢犯规,对手获得控球权.                   40'第40分钟，卢利奇背后铲倒奥斯瓦尔多，被黄牌警告，托蒂右侧距门30米处主罚任意球吊向远角，马尔凯蒂飞身单手托出
42'坎德雷瓦为拉齐奥在右路,赢得一个任意球.                   40'第40分钟，卢利奇背后铲倒奥斯瓦尔多，被黄牌警告，托蒂右侧距门30米处主罚任意球吊向远角，马尔凯蒂飞身单手托出
42'罗马球员巴尔扎雷蒂拼抢犯规,对手获得控球权.                   40'第40分钟，卢利奇背后铲倒奥斯瓦尔多，被黄牌警告，托蒂右侧距门30米处主罚任意球吊向远角，马尔凯蒂飞身单手托出
43'拉齐奥球员埃尔纳内斯大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   40'第40分钟，卢利奇背后铲倒奥斯瓦尔多，被黄牌警告，托蒂右侧距门30米处主罚任意球吊向远角，马尔凯蒂飞身单手托出
43'进球啦！！！拉齐奥球员克洛泽大禁区中央左脚射门,球从中路飞进球门,球进了!助攻的是埃尔纳内斯. 拉齐奥 2-1 罗马.                   40'第40分钟，卢利奇背后铲倒奥斯瓦尔多，被黄牌警告，托蒂右侧距门30米处主罚任意球吊向远角，马尔凯蒂飞身单手托出
43'拉齐奥球员埃尔纳内斯大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   43'蓝鹰第43分钟反超比分
43'进球啦！！！拉齐奥球员克洛泽大禁区中央左脚射门,球从中路飞进球门,球进了!助攻的是埃尔纳内斯. 拉齐奥 2-1 罗马.                   43'蓝鹰第43分钟反超比分
45'皮里斯为罗马赢得一个任意球.                   43'蓝鹰第43分钟反超比分
45'拉齐奥球员毛里拼抢犯规,对手获得控球权.                   43'蓝鹰第43分钟反超比分
45'暂停结束,球员们重新开始比赛.                   43'蓝鹰第43分钟反超比分
45'拉齐奥毛里受伤倒地,比赛暂停                   43'蓝鹰第43分钟反超比分
45'+2'拉齐奥球员坎德雷瓦拼抢犯规,对手获得控球权.                   43'蓝鹰第43分钟反超比分
45'+2'奥斯瓦尔多为罗马在左路,赢得一个任意球.                   43'蓝鹰第43分钟反超比分
45'+2'黄牌！拉齐奥球员坎德雷瓦因为恶意犯规,被主裁判出示黄牌.                   43'蓝鹰第43分钟反超比分
45'+2'毛里为拉齐奥赢得一个任意球.                   43'蓝鹰第43分钟反超比分
45'+2'罗马球员德罗西拼抢犯规,对手获得控球权.                   43'蓝鹰第43分钟反超比分
45'+2'罗马球员德罗西因为在场上斗殴,被裁判直接红牌罚下.                   43'蓝鹰第43分钟反超比分
45'+3'拉齐奥毛里受伤倒地,比赛暂停                   43'蓝鹰第43分钟反超比分
45'+3'暂停结束,球员们重新开始比赛.                   43'蓝鹰第43分钟反超比分
45'+4'上半场结束,拉齐奥 2-1 罗马,稍事休息,我们一会来看看下半场两队的表现.                   43'蓝鹰第43分钟反超比分
45'罗马换人,塔赫特西迪斯换下拉梅拉                   43'蓝鹰第43分钟反超比分
46'拉齐奥球员孔科一脚直塞球给毛里,但是边裁举旗显示后者已经越位.                   43'蓝鹰第43分钟反超比分
46'进球啦！！！拉齐奥球员毛里大禁区中央右脚射门,球从右下角飞进球门,球进了! 拉齐奥 3-1 罗马.                   43'蓝鹰第43分钟反超比分
50'射门!!!拉齐奥球员埃尔纳内斯大禁区外左脚射门,被对方守门员横身扑出.给他传球的是冈萨雷斯.                   50'第50分钟，埃尔纳内斯左侧距门19米处左脚抽射击中布尔迪索变线，戈伊科切亚迅速反应托出近门柱
50'戈伊孔切亚将球处理出底线,拉齐奥获得角球.                   50'第50分钟，埃尔纳内斯左侧距门19米处左脚抽射击中布尔迪索变线，戈伊科切亚迅速反应托出近门柱
50'戈伊孔切亚将球处理出底线,拉齐奥获得角球.                   50'第50分钟，埃尔纳内斯左侧距门19米处左脚抽射击中布尔迪索变线，戈伊科切亚迅速反应托出近门柱
51'射门!!!拉齐奥球员埃尔纳内斯大禁区外左脚射门,被对方守门员横身扑出.                   50'第50分钟，埃尔纳内斯左侧距门19米处左脚抽射击中布尔迪索变线，戈伊科切亚迅速反应托出近门柱
52'拉齐奥球员毛里一脚直塞球给克洛泽,但是边裁举旗显示后者已经越位.                   50'第50分钟，埃尔纳内斯左侧距门19米处左脚抽射击中布尔迪索变线，戈伊科切亚迅速反应托出近门柱
