2'西汉姆联球员瓦斯特大禁区外尝试右脚射门,可惜皮球高出球门.                   2'第2分钟，路易斯后场对卡罗尔犯规，瓦兹特30码处任意球射门直接送上看台
7'切尔西球员登巴-巴大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是兰帕德.                   7'第7分钟，兰帕德直传，登巴-巴禁区边缘单刀推射离谱偏出
7'安迪-卡罗尔为西汉姆联在对方半场,赢得一个任意球.                   7'第7分钟，兰帕德直传，登巴-巴禁区边缘单刀推射离谱偏出
7'切尔西球员拉米雷斯拼抢犯规,对手获得控球权.                   7'第7分钟，兰帕德直传，登巴-巴禁区边缘单刀推射离谱偏出
8'西汉姆联球员柯林斯大禁区外尝试右脚射门,可惜皮球高出球门.                   7'第7分钟，兰帕德直传，登巴-巴禁区边缘单刀推射离谱偏出
10'大卫-路易斯将球处理出底线,西汉姆联获得角球.                   7'第7分钟，兰帕德直传，登巴-巴禁区边缘单刀推射离谱偏出
13'雷德将球处理出底线,切尔西获得角球.                   13'第13分钟，阿扎尔右路传中，登巴-巴前点小禁区内捅射被里德挡出底线
14'西汉姆联球员奥尼尔拼抢犯规,对手获得控球权.                   13'第13分钟，阿扎尔右路传中，登巴-巴前点小禁区内捅射被里德挡出底线
14'阿扎尔为切尔西在右路,赢得一个任意球.                   13'第13分钟，阿扎尔右路传中，登巴-巴前点小禁区内捅射被里德挡出底线
16'切尔西卡希尔受伤倒地,比赛暂停                   13'第13分钟，阿扎尔右路传中，登巴-巴前点小禁区内捅射被里德挡出底线
19'进球啦！！！切尔西球员兰帕德大禁区中央头球,球从右上角飞进球门,球进了!助攻的是阿扎尔. 切尔西 1-0 西汉姆联.                   19'切尔西第19分钟取得领先，马塔传球，阿扎尔25码处劲射被雅斯克莱宁勉强扑出，摩西禁区右侧传中被詹姆斯-科林斯挡出，阿扎尔精准传中，无人防守的兰帕德头球顶入他在切尔西的第200球
20'柯林斯将球处理出底线,切尔西获得角球.                   19'切尔西第19分钟取得领先，马塔传球，阿扎尔25码处劲射被雅斯克莱宁勉强扑出，摩西禁区右侧传中被詹姆斯-科林斯挡出，阿扎尔精准传中，无人防守的兰帕德头球顶入他在切尔西的第200球
21'西汉姆联球员迪亚姆拼抢犯规,对手获得控球权.                   19'切尔西第19分钟取得领先，马塔传球，阿扎尔25码处劲射被雅斯克莱宁勉强扑出，摩西禁区右侧传中被詹姆斯-科林斯挡出，阿扎尔精准传中，无人防守的兰帕德头球顶入他在切尔西的第200球
21'拉米雷斯为切尔西赢得一个任意球.                   19'切尔西第19分钟取得领先，马塔传球，阿扎尔25码处劲射被雅斯克莱宁勉强扑出，摩西禁区右侧传中被詹姆斯-科林斯挡出，阿扎尔精准传中，无人防守的兰帕德头球顶入他在切尔西的第200球
22'西汉姆联球员安迪-卡罗尔拼抢犯规,对手获得控球权.                   19'切尔西第19分钟取得领先，马塔传球，阿扎尔25码处劲射被雅斯克莱宁勉强扑出，摩西禁区右侧传中被詹姆斯-科林斯挡出，阿扎尔精准传中，无人防守的兰帕德头球顶入他在切尔西的第200球
22'大卫-路易斯为切尔西赢得一个任意球.                   19'切尔西第19分钟取得领先，马塔传球，阿扎尔25码处劲射被雅斯克莱宁勉强扑出，摩西禁区右侧传中被詹姆斯-科林斯挡出，阿扎尔精准传中，无人防守的兰帕德头球顶入他在切尔西的第200球
22'西汉姆联球员安迪-卡罗尔拼抢犯规,对手获得控球权.                   22'第22分钟，贾维斯左路传中，卡罗尔推倒路易斯后停球射门入网被判无效
22'大卫-路易斯为切尔西赢得一个任意球.                   22'第22分钟，贾维斯左路传中，卡罗尔推倒路易斯后停球射门入网被判无效
24'西汉姆联球员迪亚姆拼抢犯规,对手获得控球权.                   22'第22分钟，贾维斯左路传中，卡罗尔推倒路易斯后停球射门入网被判无效
24'兰帕德为切尔西赢得一个任意球.                   22'第22分钟，贾维斯左路传中，卡罗尔推倒路易斯后停球射门入网被判无效
24'西汉姆联球员安迪-卡罗尔拼抢犯规,对手获得控球权.                   22'第22分钟，贾维斯左路传中，卡罗尔推倒路易斯后停球射门入网被判无效
24'大卫-路易斯为切尔西赢得一个任意球.                   22'第22分钟，贾维斯左路传中，卡罗尔推倒路易斯后停球射门入网被判无效
28'西汉姆联球员迪亚姆拼抢犯规,对手获得控球权.                   28'第28分钟，迪亚梅禁区前对兰帕德犯规，路易斯25码处任意球低射右下角被雅斯克莱宁扑出
28'兰帕德为切尔西在对方半场,赢得一个任意球.                   28'第28分钟，迪亚梅禁区前对兰帕德犯规，路易斯25码处任意球低射右下角被雅斯克莱宁扑出
28'射门!!!切尔西球员大卫-路易斯大禁区外右脚射门,被对方守门员横身扑出.                   28'第28分钟，迪亚梅禁区前对兰帕德犯规，路易斯25码处任意球低射右下角被雅斯克莱宁扑出
29'雅斯克莱宁将球处理出底线,切尔西获得角球.                   28'第28分钟，迪亚梅禁区前对兰帕德犯规，路易斯25码处任意球低射右下角被雅斯克莱宁扑出
