2'郑铮右路横传                   2'不到2分钟穆里奇连续两次在左路形成突破，崔鹏犯规被主裁判口头警告
2'穆里奇得球左路快速反击，崔鹏背后犯规！！                   2'不到2分钟穆里奇连续两次在左路形成突破，崔鹏犯规被主裁判口头警告
2'不过主裁判手下留情，没有出牌                   2'不到2分钟穆里奇连续两次在左路形成突破，崔鹏犯规被主裁判口头警告
3'这确实是个吃牌的动作！如果过早吃牌，对后面的比赛影响还是比较大                   2'不到2分钟穆里奇连续两次在左路形成突破，崔鹏犯规被主裁判口头警告
3'穆里奇中场挑传球，埃尔克森越位！！！                   2'不到2分钟穆里奇连续两次在左路形成突破，崔鹏犯规被主裁判口头警告
3'鲁能泰山队右路横传球失误                   2'不到2分钟穆里奇连续两次在左路形成突破，崔鹏犯规被主裁判口头警告
3'广州恒大队直传反击，麦克格文把球抢断                   2'不到2分钟穆里奇连续两次在左路形成突破，崔鹏犯规被主裁判口头警告
4'崔鹏右翼直传球，大了些，虽然吕征速度快，还是没法追上                   2'不到2分钟穆里奇连续两次在左路形成突破，崔鹏犯规被主裁判口头警告
4'广州恒大队长传球，埃尔克森在前场争抢位置犯规                   2'不到2分钟穆里奇连续两次在左路形成突破，崔鹏犯规被主裁判口头警告
5'吕征中场抢到球！埃尔克森真壮啊！也真撞，把吕征撞倒                   2'不到2分钟穆里奇连续两次在左路形成突破，崔鹏犯规被主裁判口头警告
5'郑铮左路突破，横传禁区，杨旭把球回传一下！                   2'不到2分钟穆里奇连续两次在左路形成突破，崔鹏犯规被主裁判口头警告
5'吕征右睡突破挑传球，被断！                   2'不到2分钟穆里奇连续两次在左路形成突破，崔鹏犯规被主裁判口头警告
5'吕征好象还没热起来                   2'不到2分钟穆里奇连续两次在左路形成突破，崔鹏犯规被主裁判口头警告
5'吕征中场抢到球！埃尔克森真壮啊！也真撞，把吕征撞倒                   5'第5分钟，山东鲁能高球到禁区内，韩鹏与孙祥有碰撞，孙祥倒地两名曾经国家队友友好握了一下手
5'郑铮左路突破，横传禁区，杨旭把球回传一下！                   5'第5分钟，山东鲁能高球到禁区内，韩鹏与孙祥有碰撞，孙祥倒地两名曾经国家队友友好握了一下手
5'吕征右睡突破挑传球，被断！                   5'第5分钟，山东鲁能高球到禁区内，韩鹏与孙祥有碰撞，孙祥倒地两名曾经国家队友友好握了一下手
5'吕征好象还没热起来                   5'第5分钟，山东鲁能高球到禁区内，韩鹏与孙祥有碰撞，孙祥倒地两名曾经国家队友友好握了一下手
6'鲁能泰山队把球传到禁区！冯潇霆也不敢大意，把球开出边线                   5'第5分钟，山东鲁能高球到禁区内，韩鹏与孙祥有碰撞，孙祥倒地两名曾经国家队友友好握了一下手
7'界外球发出来传到禁区内，韩鹏争抢推倒了孙祥，险些踩在他的身上！                   5'第5分钟，山东鲁能高球到禁区内，韩鹏与孙祥有碰撞，孙祥倒地两名曾经国家队友友好握了一下手
7'不过两人还是很友好，握握手！                   5'第5分钟，山东鲁能高球到禁区内，韩鹏与孙祥有碰撞，孙祥倒地两名曾经国家队友友好握了一下手
7'广州恒大队右路长传，郑铮把球破坏                   5'第5分钟，山东鲁能高球到禁区内，韩鹏与孙祥有碰撞，孙祥倒地两名曾经国家队友友好握了一下手
8'鲁能泰山队左路攻到前场，外围远射！！被曾诚扑出！                   5'第5分钟，山东鲁能高球到禁区内，韩鹏与孙祥有碰撞，孙祥倒地两名曾经国家队友友好握了一下手
8'安塔尔中场得球，分到右路，交给吕征                   5'第5分钟，山东鲁能高球到禁区内，韩鹏与孙祥有碰撞，孙祥倒地两名曾经国家队友友好握了一下手
8'麦克格文大脚长传，鲁能泰山队前场投入的兵力还真不少！                   5'第5分钟，山东鲁能高球到禁区内，韩鹏与孙祥有碰撞，孙祥倒地两名曾经国家队友友好握了一下手
10'穆里奇带球突破，王彤阻挡犯规                   9'第9分钟，广州恒大右路策动进攻，张琳M分边右路空挡，冯俊彦第一时间传中到禁区中路，郑智插上无人盯防头球攻门，可惜高出了横梁稍许
10'广州恒大队得到前场左路任意球机会！                   9'第9分钟，广州恒大右路策动进攻，张琳M分边右路空挡，冯俊彦第一时间传中到禁区中路，郑智插上无人盯防头球攻门，可惜高出了横梁稍许
10'球发到禁区内，第一点被对方顶出来                   9'第9分钟，广州恒大右路策动进攻，张琳M分边右路空挡，冯俊彦第一时间传中到禁区中路，郑智插上无人盯防头球攻门，可惜高出了横梁稍许
10'界外球发出来，孔卡斜传禁区又被破坏！                   9'第9分钟，广州恒大右路策动进攻，张琳M分边右路空挡，冯俊彦第一时间传中到禁区中路，郑智插上无人盯防头球攻门，可惜高出了横梁稍许
11'穆里奇把球分到右路，广州恒大队横传禁区！郑智的头球高出横梁！                   9'第9分钟，广州恒大右路策动进攻，张琳M分边右路空挡，冯俊彦第一时间传中到禁区中路，郑智插上无人盯防头球攻门，可惜高出了横梁稍许
11'刚才为鲁能泰山队打门的是王永珀！双方各有一次有威胁的攻门啦！！！                   9'第9分钟，广州恒大右路策动进攻，张琳M分边右路空挡，冯俊彦第一时间传中到禁区中路，郑智插上无人盯防头球攻门，可惜高出了横梁稍许
12'广州恒大队右路长传，埃尔克森推人犯规                   9'第9分钟，广州恒大右路策动进攻，张琳M分边右路空挡，冯俊彦第一时间传中到禁区中路，郑智插上无人盯防头球攻门，可惜高出了横梁稍许
12'鲁能泰山队后场任意球                   9'第9分钟，广州恒大右路策动进攻，张琳M分边右路空挡，冯俊彦第一时间传中到禁区中路，郑智插上无人盯防头球攻门，可惜高出了横梁稍许
12'球发到前场，对方把球破坏出来！                   9'第9分钟，广州恒大右路策动进攻，张琳M分边右路空挡，冯俊彦第一时间传中到禁区中路，郑智插上无人盯防头球攻门，可惜高出了横梁稍许
12'孔卡要快速反击，安塔尔战术犯规！                   9'第9分钟，广州恒大右路策动进攻，张琳M分边右路空挡，冯俊彦第一时间传中到禁区中路，郑智插上无人盯防头球攻门，可惜高出了横梁稍许
13'穆里奇突破倒在地上！主裁判并没有吹！                   13'第13分钟，韩鹏中场一次犯规踢倒了黄博文，主裁判再次口头警告韩鹏
13'穆里奇倒在地上，有假摔的意思！主裁判给穆里奇出示黄牌！                   13'第13分钟，韩鹏中场一次犯规踢倒了黄博文，主裁判再次口头警告韩鹏
14'黄博文是场控球，韩鹏争抢与之对脚了！                   13'第13分钟，韩鹏中场一次犯规踢倒了黄博文，主裁判再次口头警告韩鹏
14'裁判吹了韩鹏的犯规！                   13'第13分钟，韩鹏中场一次犯规踢倒了黄博文，主裁判再次口头警告韩鹏
14'任意球发出来，孙祥左翼斜传，直接出底线！                   13'第13分钟，韩鹏中场一次犯规踢倒了黄博文，主裁判再次口头警告韩鹏
15'郜林和穆里奇配合失误！                   13'第13分钟，韩鹏中场一次犯规踢倒了黄博文，主裁判再次口头警告韩鹏
16'鲁能泰山队中场横传配合！崔鹏交到右路给了吕征                   13'第13分钟，韩鹏中场一次犯规踢倒了黄博文，主裁判再次口头警告韩鹏
16'吕征突破横传门前！！！韩鹏插上准备打门了，但被卡断了！                   13'第13分钟，韩鹏中场一次犯规踢倒了黄博文，主裁判再次口头警告韩鹏
16'安塔尔中场放倒了孔卡！坚决地将其放倒！黄牌                   13'第13分钟，韩鹏中场一次犯规踢倒了黄博文，主裁判再次口头警告韩鹏
15'郜林和穆里奇配合失误！                   15'第15分钟，安塔尔中场一次凶狠拦截孔卡，主裁判马上出手一张黄牌
16'鲁能泰山队中场横传配合！崔鹏交到右路给了吕征                   15'第15分钟，安塔尔中场一次凶狠拦截孔卡，主裁判马上出手一张黄牌
16'吕征突破横传门前！！！韩鹏插上准备打门了，但被卡断了！                   15'第15分钟，安塔尔中场一次凶狠拦截孔卡，主裁判马上出手一张黄牌
16'安塔尔中场放倒了孔卡！坚决地将其放倒！黄牌                   15'第15分钟，安塔尔中场一次凶狠拦截孔卡，主裁判马上出手一张黄牌
17'安塔尔后场斜长传，想给吕征，还是大了些！                   15'第15分钟，安塔尔中场一次凶狠拦截孔卡，主裁判马上出手一张黄牌
18'孔卡中场挑传禁区！穆里奇插上垫射，偏出！                   15'第15分钟，安塔尔中场一次凶狠拦截孔卡，主裁判马上出手一张黄牌
18'广州恒大队这次配合不错，临门一脚差点！                   15'第15分钟，安塔尔中场一次凶狠拦截孔卡，主裁判马上出手一张黄牌
18'鲁能泰山队左路长传球，王永珀越位                   15'第15分钟，安塔尔中场一次凶狠拦截孔卡，主裁判马上出手一张黄牌
