8'萨格勒布中场拿球                   8'开场8分钟，拜仁左路传中打在后卫左手上，主裁判没有中断比赛
8'拜仁这边抢球犯规了                   8'开场8分钟，拜仁左路传中打在后卫左手上，主裁判没有中断比赛
8'萨格勒布左路推进没有传好                   8'开场8分钟，拜仁左路传中打在后卫左手上，主裁判没有中断比赛
10'拜仁左路起球送禁区内                   8'开场8分钟，拜仁左路传中打在后卫左手上，主裁判没有中断比赛
10'皮瓦里奇中路手臂张开了                   8'开场8分钟，拜仁左路传中打在后卫左手上，主裁判没有中断比赛
10'拜仁这边投诉说手球了                   8'开场8分钟，拜仁左路传中打在后卫左手上，主裁判没有中断比赛
10'但这球裁判并没有吹                   8'开场8分钟，拜仁左路传中打在后卫左手上，主裁判没有中断比赛
10'慢镜头来看，这球确实手球了                   8'开场8分钟，拜仁左路传中打在后卫左手上，主裁判没有中断比赛
10'这球手臂有一个明显的张开动作                   8'开场8分钟，拜仁左路传中打在后卫左手上，主裁判没有中断比赛
11'博阿滕禁区外围远射                   8'开场8分钟，拜仁左路传中打在后卫左手上，主裁判没有中断比赛
11'爱德华多侧扑将球扑出                   8'开场8分钟，拜仁左路传中打在后卫左手上，主裁判没有中断比赛
11'拜仁这边牢牢的控制住比赛的节奏                   8'开场8分钟，拜仁左路传中打在后卫左手上，主裁判没有中断比赛
11'萨格勒布现在只能全力的去防守                   8'开场8分钟，拜仁左路传中打在后卫左手上，主裁判没有中断比赛
14'1-0！！                   14'拜仁第14分钟取得领先
14'道格拉斯-科斯塔！！                   14'拜仁第14分钟取得领先
15'贝尔纳特中场断球后迅速打了一个反击，科斯塔前场接球后到了左侧禁区内，突然低射近角，爱德华多这边判断上出现失误，拜仁1-0领先！                   14'拜仁第14分钟取得领先
15'爱德华多这次的失误不应该啊，近角没有完全的封死                   14'拜仁第14分钟取得领先
22'本科维奇后场接球，头球点了一下，自己没有站好，蒂亚戈前插后将球拿到，禁区内面对门将横敲，莱万多夫斯基推空门得分！                   22'第22分钟，本科维奇后场头球解围失误，蒂亚戈断球突入禁区左侧低传，莱万在门前9米处轻松推射入网，2比0
