1'上半场比赛开始！！                   1'双方第1分钟寸土必争，对抗激烈
1'首先开球的是多特蒙德                   1'双方第1分钟寸土必争，对抗激烈
2'多特蒙德前场拿球给到左路                   1'双方第1分钟寸土必争，对抗激烈
2'没有机会将球回敲                   1'双方第1分钟寸土必争，对抗激烈
3'比赛开始后双方的节奏并不快                   1'双方第1分钟寸土必争，对抗激烈
3'摩纳哥前场拿球                   1'双方第1分钟寸土必争，对抗激烈
3'边路传球给到中间                   1'双方第1分钟寸土必争，对抗激烈
3'魏格尔这边铲球犯规                   1'双方第1分钟寸土必争，对抗激烈
3'摩纳哥拿球到底线                   1'双方第1分钟寸土必争，对抗激烈
3'没有传出来                   1'双方第1分钟寸土必争，对抗激烈
4'多特蒙德反击的机会                   1'双方第1分钟寸土必争，对抗激烈
4'长传给到禁区前沿                   1'双方第1分钟寸土必争，对抗激烈
4'找奥巴梅扬                   1'双方第1分钟寸土必争，对抗激烈
4'没有拿住                   1'双方第1分钟寸土必争，对抗激烈
16'点球！！                   16'摩纳哥第16分钟错失良机，帕帕斯塔索普洛斯禁区边缘拉扯姆巴佩犯规，意大利裁判奥萨托判罚极刑，法比尼奥主罚点球却射偏出左侧立柱
16'摩纳哥获得点球                   16'摩纳哥第16分钟错失良机，帕帕斯塔索普洛斯禁区边缘拉扯姆巴佩犯规，意大利裁判奥萨托判罚极刑，法比尼奥主罚点球却射偏出左侧立柱
16' 帕帕斯塔索普洛斯得到一张黄牌！                   16'摩纳哥第16分钟错失良机，帕帕斯塔索普洛斯禁区边缘拉扯姆巴佩犯规，意大利裁判奥萨托判罚极刑，法比尼奥主罚点球却射偏出左侧立柱
17'摩纳哥挑传到禁区前沿，姆巴佩前插被拉倒，裁判果断吹罚点球！！                   16'摩纳哥第16分钟错失良机，帕帕斯塔索普洛斯禁区边缘拉扯姆巴佩犯规，意大利裁判奥萨托判罚极刑，法比尼奥主罚点球却射偏出左侧立柱
17'这球判的有点严啊                   16'摩纳哥第16分钟错失良机，帕帕斯塔索普洛斯禁区边缘拉扯姆巴佩犯规，意大利裁判奥萨托判罚极刑，法比尼奥主罚点球却射偏出左侧立柱
17'法比尼奥来主罚点球                   16'摩纳哥第16分钟错失良机，帕帕斯塔索普洛斯禁区边缘拉扯姆巴佩犯规，意大利裁判奥萨托判罚极刑，法比尼奥主罚点球却射偏出左侧立柱
17'法比尼奥助跑！！                   16'摩纳哥第16分钟错失良机，帕帕斯塔索普洛斯禁区边缘拉扯姆巴佩犯规，意大利裁判奥萨托判罚极刑，法比尼奥主罚点球却射偏出左侧立柱
17'推射！！                   16'摩纳哥第16分钟错失良机，帕帕斯塔索普洛斯禁区边缘拉扯姆巴佩犯规，意大利裁判奥萨托判罚极刑，法比尼奥主罚点球却射偏出左侧立柱
17'打偏了！！！！                   16'摩纳哥第16分钟错失良机，帕帕斯塔索普洛斯禁区边缘拉扯姆巴佩犯规，意大利裁判奥萨托判罚极刑，法比尼奥主罚点球却射偏出左侧立柱
17'没进！！                   16'摩纳哥第16分钟错失良机，帕帕斯塔索普洛斯禁区边缘拉扯姆巴佩犯规，意大利裁判奥萨托判罚极刑，法比尼奥主罚点球却射偏出左侧立柱
17'法比尼奥点球推射左路，比尔基判断对了方向                   16'摩纳哥第16分钟错失良机，帕帕斯塔索普洛斯禁区边缘拉扯姆巴佩犯规，意大利裁判奥萨托判罚极刑，法比尼奥主罚点球却射偏出左侧立柱
18'但这球擦着立柱出了底线                   16'摩纳哥第16分钟错失良机，帕帕斯塔索普洛斯禁区边缘拉扯姆巴佩犯规，意大利裁判奥萨托判罚极刑，法比尼奥主罚点球却射偏出左侧立柱
18'法比尼奥的压力也是很大啊                   16'摩纳哥第16分钟错失良机，帕帕斯塔索普洛斯禁区边缘拉扯姆巴佩犯规，意大利裁判奥萨托判罚极刑，法比尼奥主罚点球却射偏出左侧立柱
19'0-1！！！                   16'摩纳哥第16分钟错失良机，帕帕斯塔索普洛斯禁区边缘拉扯姆巴佩犯规，意大利裁判奥萨托判罚极刑，法比尼奥主罚点球却射偏出左侧立柱
19'摩纳哥这边还是先破门了！！                   16'摩纳哥第16分钟错失良机，帕帕斯塔索普洛斯禁区边缘拉扯姆巴佩犯规，意大利裁判奥萨托判罚极刑，法比尼奥主罚点球却射偏出左侧立柱
31'多特前场拿球给到右路                   31'多特蒙德第31分钟错过机会，香川真司传球右路，金特尔突破拉吉后传回中路，香川真司小禁区前射门偏出
31'队友接球后突破到里面                   31'多特蒙德第31分钟错过机会，香川真司传球右路，金特尔突破拉吉后传回中路，香川真司小禁区前射门偏出
31'横敲给到中路                   31'多特蒙德第31分钟错过机会，香川真司传球右路，金特尔突破拉吉后传回中路，香川真司小禁区前射门偏出
31'香川真司推射没有吃准部位                   31'多特蒙德第31分钟错过机会，香川真司传球右路，金特尔突破拉吉后传回中路，香川真司小禁区前射门偏出
31'球直接偏出了门框                   31'多特蒙德第31分钟错过机会，香川真司传球右路，金特尔突破拉吉后传回中路，香川真司小禁区前射门偏出
31'这球也是非常的可惜                   31'多特蒙德第31分钟错过机会，香川真司传球右路，金特尔突破拉吉后传回中路，香川真司小禁区前射门偏出
32'摩纳哥中场拿球送直塞                   31'多特蒙德第31分钟错过机会，香川真司传球右路，金特尔突破拉吉后传回中路，香川真司小禁区前射门偏出
32'这球没有给过去                   31'多特蒙德第31分钟错过机会，香川真司传球右路，金特尔突破拉吉后传回中路，香川真司小禁区前射门偏出
33'摩纳哥将球给到右路                   31'多特蒙德第31分钟错过机会，香川真司传球右路，金特尔突破拉吉后传回中路，香川真司小禁区前射门偏出
33'多特这边也是重兵防守                   31'多特蒙德第31分钟错过机会，香川真司传球右路，金特尔突破拉吉后传回中路，香川真司小禁区前射门偏出
33'多特这边反击机会                   31'多特蒙德第31分钟错过机会，香川真司传球右路，金特尔突破拉吉后传回中路，香川真司小禁区前射门偏出
33'出球还是有些慢                   31'多特蒙德第31分钟错过机会，香川真司传球右路，金特尔突破拉吉后传回中路，香川真司小禁区前射门偏出
33'左路下底给到禁区                   31'多特蒙德第31分钟错过机会，香川真司传球右路，金特尔突破拉吉后传回中路，香川真司小禁区前射门偏出
33'门前包抄的点没有碰到                   31'多特蒙德第31分钟错过机会，香川真司传球右路，金特尔突破拉吉后传回中路，香川真司小禁区前射门偏出
34'多特这边禁区弧顶挑传                   31'多特蒙德第31分钟错过机会，香川真司传球右路，金特尔突破拉吉后传回中路，香川真司小禁区前射门偏出
34'队友接球后面对出击的门将                   31'多特蒙德第31分钟错过机会，香川真司传球右路，金特尔突破拉吉后传回中路，香川真司小禁区前射门偏出
34'捅射打偏了！！                   31'多特蒙德第31分钟错过机会，香川真司传球右路，金特尔突破拉吉后传回中路，香川真司小禁区前射门偏出
34'这球边裁先举旗了                   31'多特蒙德第31分钟错过机会，香川真司传球右路，金特尔突破拉吉后传回中路，香川真司小禁区前射门偏出
34'越位！！                   31'多特蒙德第31分钟错过机会，香川真司传球右路，金特尔突破拉吉后传回中路，香川真司小禁区前射门偏出
57'1-2！！！                   57'多特蒙德第57分钟扳回一城，格雷罗左路传中，奥巴梅扬脚后跟妙传，香川真司小禁区内面对出击的苏巴西奇横敲，登贝莱近距离打入空门，1-2
57'登贝莱！！                   57'多特蒙德第57分钟扳回一城，格雷罗左路传中，奥巴梅扬脚后跟妙传，香川真司小禁区内面对出击的苏巴西奇横敲，登贝莱近距离打入空门，1-2
58'格雷罗左路接球给到禁区，队友倒地做球给到香川真司，苏巴西奇出击先被香川真司捅了出来，登贝莱补射空门得分！！                   57'多特蒙德第57分钟扳回一城，格雷罗左路传中，奥巴梅扬脚后跟妙传，香川真司小禁区内面对出击的苏巴西奇横敲，登贝莱近距离打入空门，1-2
58'多特这边也是扳回一球                   57'多特蒙德第57分钟扳回一城，格雷罗左路传中，奥巴梅扬脚后跟妙传，香川真司小禁区内面对出击的苏巴西奇横敲，登贝莱近距离打入空门，1-2
59'勒马尔这边得到一张黄牌！！                   57'多特蒙德第57分钟扳回一城，格雷罗左路传中，奥巴梅扬脚后跟妙传，香川真司小禁区内面对出击的苏巴西奇横敲，登贝莱近距离打入空门，1-2
59'边路防守的时候犯规                   57'多特蒙德第57分钟扳回一城，格雷罗左路传中，奥巴梅扬脚后跟妙传，香川真司小禁区内面对出击的苏巴西奇横敲，登贝莱近距离打入空门，1-2
59'多特这边前场右路的任意球                   57'多特蒙德第57分钟扳回一城，格雷罗左路传中，奥巴梅扬脚后跟妙传，香川真司小禁区内面对出击的苏巴西奇横敲，登贝莱近距离打入空门，1-2
