2'卡利亚里开场不久就险些在边路制造威胁                   2'开场2分钟，利希施泰纳传中，略伦特头球没顶上力量，落入前皇马门将阿丹怀中
3'卡利亚里中场传接球失误~                   2'开场2分钟，利希施泰纳传中，略伦特头球没顶上力量，落入前皇马门将阿丹怀中
3'比达尔抢断之后交给皮尔洛~后者大范围转移                   2'开场2分钟，利希施泰纳传中，略伦特头球没顶上力量，落入前皇马门将阿丹怀中
4'卡利亚里前场断球~                   2'开场2分钟，利希施泰纳传中，略伦特头球没顶上力量，落入前皇马门将阿丹怀中
4'马克苏想给队友推个直线                   2'开场2分钟，利希施泰纳传中，略伦特头球没顶上力量，落入前皇马门将阿丹怀中
4'不过后卫禁区前的防守阵型未乱~很快就将球反抢回来                   2'开场2分钟，利希施泰纳传中，略伦特头球没顶上力量，落入前皇马门将阿丹怀中
5'年轻的另一面22:04 转会市场有点靠谱的资讯不---太多啦，纳音格兰、莱万多夫斯基等等~                   2'开场2分钟，利希施泰纳传中，略伦特头球没顶上力量，落入前皇马门将阿丹怀中
18'一日尤文终生黑白22:19 马尔基西奥卖的了3000w？？---尤文这是要比肩波尔图的节奏~~~                   18'第18分钟，孔蒂在门前23米处主罚任意球打在人墙上
18'基耶利尼禁区前沿的犯规给了对方一个定位球                   18'第18分钟，孔蒂在门前23米处主罚任意球打在人墙上
18'这个位置的定位球威胁不小啊                   18'第18分钟，孔蒂在门前23米处主罚任意球打在人墙上
19'一日尤文终生黑白22:21 莫耶斯应该是来看乔帝的，回头发现这小孩骨骼惊奇，5000w买走了。---乔文科？5000w？曼联人又不傻                   18'第18分钟，孔蒂在门前23米处主罚任意球打在人墙上
19'孔蒂的定位球打门被人墙挡出                   18'第18分钟，孔蒂在门前23米处主罚任意球打在人墙上
19'球弹到了皮萨诺面前~抡腿就打！偏了                   18'第18分钟，孔蒂在门前23米处主罚任意球打在人墙上
20'利希施泰纳下底传中落点却不太好~                   18'第18分钟，孔蒂在门前23米处主罚任意球打在人墙上
20'今天尤文打得有些简单粗暴了                   18'第18分钟，孔蒂在门前23米处主罚任意球打在人墙上
20'好配合~~~                   18'第18分钟，孔蒂在门前23米处主罚任意球打在人墙上
20'尤文前场不停歇的三传两递~                   18'第18分钟，孔蒂在门前23米处主罚任意球打在人墙上
20'最后利希施泰纳倒地传中~阿丹出击将球截获                   18'第18分钟，孔蒂在门前23米处主罚任意球打在人墙上
21'卡利亚里断球反击~                   18'第18分钟，孔蒂在门前23米处主罚任意球打在人墙上
21'只获得了一个角球                   18'第18分钟，孔蒂在门前23米处主罚任意球打在人墙上
21'有了~                   18'第18分钟，孔蒂在门前23米处主罚任意球打在人墙上
25'卡利亚里快速转移到了左边路                   25'第25分钟，卡利亚里如法炮制，科苏右侧开出角球，孔蒂在门前10米处冲顶掠过横梁
25'远射~~~                   25'第25分钟，卡利亚里如法炮制，科苏右侧开出角球，孔蒂在门前10米处冲顶掠过横梁
25'卡利亚里队的远射被尤文的球员挡了一下出了底线                   25'第25分钟，卡利亚里如法炮制，科苏右侧开出角球，孔蒂在门前10米处冲顶掠过横梁
25'又是角球                   25'第25分钟，卡利亚里如法炮制，科苏右侧开出角球，孔蒂在门前10米处冲顶掠过横梁
25'布冯头有点大了                   25'第25分钟，卡利亚里如法炮制，科苏右侧开出角球，孔蒂在门前10米处冲顶掠过横梁
25'传后点~~好险！！！                   25'第25分钟，卡利亚里如法炮制，科苏右侧开出角球，孔蒂在门前10米处冲顶掠过横梁
26'又被孔蒂抢到~~~头球砸向球门！                   25'第25分钟，卡利亚里如法炮制，科苏右侧开出角球，孔蒂在门前10米处冲顶掠过横梁
26'只稍稍高出一点点                   25'第25分钟，卡利亚里如法炮制，科苏右侧开出角球，孔蒂在门前10米处冲顶掠过横梁
26'尤文秃寺22:29 我去。居然墙上了。。肯定啊，尤文需要玛利亚来接班卡莫拉内西---卡莫？这都是啥时候的老黄历了                   25'第25分钟，卡利亚里如法炮制，科苏右侧开出角球，孔蒂在门前10米处冲顶掠过横梁
27'球还在尤文的后场转悠                   25'第25分钟，卡利亚里如法炮制，科苏右侧开出角球，孔蒂在门前10米处冲顶掠过横梁
27'又是一脚远射~皮尼拉！！！                   25'第25分钟，卡利亚里如法炮制，科苏右侧开出角球，孔蒂在门前10米处冲顶掠过横梁
27'打了一个低平球，偏出了右侧立柱                   25'第25分钟，卡利亚里如法炮制，科苏右侧开出角球，孔蒂在门前10米处冲顶掠过横梁
28'略伦特跟特维斯的头球配合~略伦特越位了                   25'第25分钟，卡利亚里如法炮制，科苏右侧开出角球，孔蒂在门前10米处冲顶掠过横梁
28'阿丹开出后场定位球~~                   25'第25分钟，卡利亚里如法炮制，科苏右侧开出角球，孔蒂在门前10米处冲顶掠过横梁
31'孔蒂在场边有些坐不住了                   31'尤文第31分钟追平比分，利希施泰纳右路挑传，略伦特在门前9米处头球入右上角，1比1
31'略伦特！！！                   31'尤文第31分钟追平比分，利希施泰纳右路挑传，略伦特在门前9米处头球入右上角，1比1
