1'上半场比赛开始了！                   1'双方第1分钟均小心谨慎
1'上半场由阿斯顿维拉率先中圈开球                   1'双方第1分钟均小心谨慎
1'萨科交给莫雷诺，再回传给萨科                   1'双方第1分钟均小心谨慎
2'克莱恩右路助攻上来，面对西索科，下底传中，传大了                   1'双方第1分钟均小心谨慎
2'球到了另一端，莫雷诺护球被巴库纳绊倒                   1'双方第1分钟均小心谨慎
2'利物浦获得左翼的任意球机会                   1'双方第1分钟均小心谨慎
3'萨科交给科洛图雷，亨德森接应                   1'双方第1分钟均小心谨慎
3'西索科提上来将球解围出边线                   1'双方第1分钟均小心谨慎
3'球分到右路，克莱恩的横传被古埃耶拦截出边线                   1'双方第1分钟均小心谨慎
4'库蒂尼奥左路来了，埃姆雷坎接应回传                   1'双方第1分钟均小心谨慎
4'萨科直传，库蒂尼奥脚后跟传球，斯图里奇做墙传球也是脚后跟，打太花哨了                   1'双方第1分钟均小心谨慎
25'利物浦获得左路的任意球机会                   25'利物浦第25分钟扩大比分，米尔纳左路任意球传中，萨科头球攻门落空却干扰了邦恩的出击判断，皮球直接转入远角，2-0
25'米尔纳准备主罚                   25'利物浦第25分钟扩大比分，米尔纳左路任意球传中，萨科头球攻门落空却干扰了邦恩的出击判断，皮球直接转入远角，2-0
25'米尔纳任意球旋向后门柱，马克布恩出击打空了，球直接窜入球门右下角！                   25'利物浦第25分钟扩大比分，米尔纳左路任意球传中，萨科头球攻门落空却干扰了邦恩的出击判断，皮球直接转入远角，2-0
26'此时此刻值得来杯嘉士伯！                   25'利物浦第25分钟扩大比分，米尔纳左路任意球传中，萨科头球攻门落空却干扰了邦恩的出击判断，皮球直接转入远角，2-0
26'利物浦获得梦幻开局                   25'利物浦第25分钟扩大比分，米尔纳左路任意球传中，萨科头球攻门落空却干扰了邦恩的出击判断，皮球直接转入远角，2-0
27'库蒂尼奥左路内切，交给埃姆雷坎                   25'利物浦第25分钟扩大比分，米尔纳左路任意球传中，萨科头球攻门落空却干扰了邦恩的出击判断，皮球直接转入远角，2-0
28'亨德森分左路的莫雷诺                   25'利物浦第25分钟扩大比分，米尔纳左路任意球传中，萨科头球攻门落空却干扰了邦恩的出击判断，皮球直接转入远角，2-0
