27'进球啦！！！法兰克福球员梅耶尔大禁区中央头球,球从中路飞进球门,球进了!助攻的是施滕德拉. 法兰克福 1-0 帕德伯恩.                   27'第27分钟，施g德拉传球，迈尔顶进本赛季第19球
29'帕德伯恩球员库奇克拼抢犯规,对手获得控球权.                   27'第27分钟，施g德拉传球，迈尔顶进本赛季第19球
29'赞布拉诺为法兰克福赢得一个任意球.                   27'第27分钟，施g德拉传球，迈尔顶进本赛季第19球
29'射门!!!法兰克福球员塞费罗维奇大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是梅耶尔.                   27'第27分钟，施g德拉传球，迈尔顶进本赛季第19球
42'进球啦！！！法兰克福球员施滕德拉大禁区右侧右脚射门,球从左下角飞进球门,球进了!助攻的是梅耶尔. 法兰克福 2-0 帕德伯恩.                   42'第42分钟，迈尔投桃报李，助攻施g德拉得分
43'帕德伯恩球员哈特茨拼抢犯规,对手获得控球权.                   42'第42分钟，迈尔投桃报李，助攻施g德拉得分
43'艾格纳为法兰克福在右路,赢得一个任意球.                   42'第42分钟，迈尔投桃报李，助攻施g德拉得分
44'帕德伯恩球员Alban Meha大禁区外尝试左脚射门,可惜皮球稍稍高出球门.给他传球的是马里奥-弗兰契奇.                   42'第42分钟，迈尔投桃报李，助攻施g德拉得分
45'帕德伯恩球员哈特茨拼抢犯规,对手获得控球权.                   42'第42分钟，迈尔投桃报李，助攻施g德拉得分
45'艾格纳为法兰克福在右路,赢得一个任意球.                   42'第42分钟，迈尔投桃报李，助攻施g德拉得分
45'+1'赞布拉诺将球处理出底线,帕德伯恩获得角球.                   42'第42分钟，迈尔投桃报李，助攻施g德拉得分
45'+2'帕德伯恩球员库奇克拼抢犯规,对手获得控球权.                   42'第42分钟，迈尔投桃报李，助攻施g德拉得分
45'+2'赞布拉诺为法兰克福赢得一个任意球.                   42'第42分钟，迈尔投桃报李，助攻施g德拉得分
45'+2'黄牌！帕德伯恩球员库奇克因为恶意犯规,被主裁判出示黄牌.                   42'第42分钟，迈尔投桃报李，助攻施g德拉得分
45'+3'帕德伯恩球员库奇克拼抢犯规,对手获得控球权.                   42'第42分钟，迈尔投桃报李，助攻施g德拉得分
45'+3'钱德勒为法兰克福在对方半场,赢得一个任意球.                   42'第42分钟，迈尔投桃报李，助攻施g德拉得分
45'+4'上半场结束,法兰克福 2-0 帕德伯恩,稍事休息,我们一会来看看下半场两队的表现.                   42'第42分钟，迈尔投桃报李，助攻施g德拉得分
45'帕德伯恩换人,卡松加换下萨格利克                   42'第42分钟，迈尔投桃报李，助攻施g德拉得分
45'帕德伯恩换人,拉基奇换下库奇克                   42'第42分钟，迈尔投桃报李，助攻施g德拉得分
82'进球啦！！！法兰克福球员巴尔德斯大禁区右侧右脚射门,球从中路偏上飞进球门,球进了!助攻的是乾貴士. 法兰克福 4-0 帕德伯恩.                   82'第82分钟，乾贵士再度助攻，因伤缺阵6个月后复出的巴尔德斯弧线球中的，这是他5年来德甲首球，他脱下球衣庆祝吃到黄牌
82'黄牌！法兰克福球员巴尔德斯因为进球后脱衣庆祝,被主裁判出示黄牌.                   82'第82分钟，乾贵士再度助攻，因伤缺阵6个月后复出的巴尔德斯弧线球中的，这是他5年来德甲首球，他脱下球衣庆祝吃到黄牌
84'帕德伯恩球员拉基奇拼抢犯规,对手获得控球权.                   82'第82分钟，乾贵士再度助攻，因伤缺阵6个月后复出的巴尔德斯弧线球中的，这是他5年来德甲首球，他脱下球衣庆祝吃到黄牌
84'特拉普为法兰克福赢得一个任意球.                   82'第82分钟，乾贵士再度助攻，因伤缺阵6个月后复出的巴尔德斯弧线球中的，这是他5年来德甲首球，他脱下球衣庆祝吃到黄牌
84'黄牌！帕德伯恩球员拉基奇因为恶意犯规,被主裁判出示黄牌.                   82'第82分钟，乾贵士再度助攻，因伤缺阵6个月后复出的巴尔德斯弧线球中的，这是他5年来德甲首球，他脱下球衣庆祝吃到黄牌
85'帕德伯恩球员哈特茨拼抢犯规,对手获得控球权.                   82'第82分钟，乾贵士再度助攻，因伤缺阵6个月后复出的巴尔德斯弧线球中的，这是他5年来德甲首球，他脱下球衣庆祝吃到黄牌
85'艾格纳为法兰克福赢得一个任意球.                   82'第82分钟，乾贵士再度助攻，因伤缺阵6个月后复出的巴尔德斯弧线球中的，这是他5年来德甲首球，他脱下球衣庆祝吃到黄牌
