5'周云右路起球送到后点找萨利赫                   5'第5分钟，陆博飞主罚角球到禁区后点，刘建业禁区边缘迎球劲射，可惜高出了横梁
5'赵鹏头球蹭了一下出了底线                   5'第5分钟，陆博飞主罚角球到禁区后点，刘建业禁区边缘迎球劲射，可惜高出了横梁
5'陆博飞角球开出给到后点                   5'第5分钟，陆博飞主罚角球到禁区后点，刘建业禁区边缘迎球劲射，可惜高出了横梁
5'乱战中被解围出禁区                   5'第5分钟，陆博飞主罚角球到禁区后点，刘建业禁区边缘迎球劲射，可惜高出了横梁
6'大禁区右侧，刘建业跟上就是一脚，球是稍稍高出横梁！                   5'第5分钟，陆博飞主罚角球到禁区后点，刘建业禁区边缘迎球劲射，可惜高出了横梁
6'刘建业最近的远射功夫是相当了得                   5'第5分钟，陆博飞主罚角球到禁区后点，刘建业禁区边缘迎球劲射，可惜高出了横梁
6'孙祥左路底线拿球                   5'第5分钟，陆博飞主罚角球到禁区后点，刘建业禁区边缘迎球劲射，可惜高出了横梁
6'低平球回敲送到禁区内                   5'第5分钟，陆博飞主罚角球到禁区后点，刘建业禁区边缘迎球劲射，可惜高出了横梁
6'这球被舜天球员断抢下来                   5'第5分钟，陆博飞主罚角球到禁区后点，刘建业禁区边缘迎球劲射，可惜高出了横梁
7'恒大中场长传给到穆里奇                   5'第5分钟，陆博飞主罚角球到禁区后点，刘建业禁区边缘迎球劲射，可惜高出了横梁
7'穆里奇带球出现了失误                   5'第5分钟，陆博飞主罚角球到禁区后点，刘建业禁区边缘迎球劲射，可惜高出了横梁
7'舜天队的反击，速度并不快                   5'第5分钟，陆博飞主罚角球到禁区后点，刘建业禁区边缘迎球劲射，可惜高出了横梁
7'陆博飞右路起球被前点的球员挡了一下                   5'第5分钟，陆博飞主罚角球到禁区后点，刘建业禁区边缘迎球劲射，可惜高出了横梁
8'舜天队将球回敲到中场组织                   5'第5分钟，陆博飞主罚角球到禁区后点，刘建业禁区边缘迎球劲射，可惜高出了横梁
8'孙可右路得球，横向带了几步后远射                   5'第5分钟，陆博飞主罚角球到禁区后点，刘建业禁区边缘迎球劲射，可惜高出了横梁
8'曾诚很稳的将球得到                   5'第5分钟，陆博飞主罚角球到禁区后点，刘建业禁区边缘迎球劲射，可惜高出了横梁
8'耶夫蒂奇中场抢球对郑智犯规                   5'第5分钟，陆博飞主罚角球到禁区后点，刘建业禁区边缘迎球劲射，可惜高出了横梁
