1'阿森纳首发：切赫/加布里埃尔-保利斯塔、科斯切尔尼、霍尔丁/张伯伦、拉姆塞、扎卡、蒙雷亚尔/厄齐尔、吉鲁、桑切斯                   1'米堡第1分钟借助主场之利围攻阿森纳，里德比特和内格雷多的远射相继偏出
1'比赛开始啦！                   1'米堡第1分钟借助主场之利围攻阿森纳，里德比特和内格雷多的远射相继偏出
2'中路桑切斯分到外围张伯伦！                   1'米堡第1分钟借助主场之利围攻阿森纳，里德比特和内格雷多的远射相继偏出
2'再分身前厄齐尔！                   1'米堡第1分钟借助主场之利围攻阿森纳，里德比特和内格雷多的远射相继偏出
3'传中！小禁区前沿！吉鲁甩头攻门！                   1'米堡第1分钟借助主场之利围攻阿森纳，里德比特和内格雷多的远射相继偏出
3'被门将没收！                   1'米堡第1分钟借助主场之利围攻阿森纳，里德比特和内格雷多的远射相继偏出
3'大脚开出来！                   1'米堡第1分钟借助主场之利围攻阿森纳，里德比特和内格雷多的远射相继偏出
3'前场左侧拼抢！张伯伦犯规了！                   1'米堡第1分钟借助主场之利围攻阿森纳，里德比特和内格雷多的远射相继偏出
3'裁判出示黄牌！                   1'米堡第1分钟借助主场之利围攻阿森纳，里德比特和内格雷多的远射相继偏出
4'前场米德尔斯堡任意球！                   1'米堡第1分钟借助主场之利围攻阿森纳，里德比特和内格雷多的远射相继偏出
4'给到中路德彼特！外前带！直接远射了！                   1'米堡第1分钟借助主场之利围攻阿森纳，里德比特和内格雷多的远射相继偏出
4'飞出右侧底线！                   1'米堡第1分钟借助主场之利围攻阿森纳，里德比特和内格雷多的远射相继偏出
23'米德后场后场右侧任意球！                   23'第23分钟，拉米雷斯任意球混战中禁区左侧传中，德隆小禁区边缘头球破门因越位在先被判无效
23'大脚开到前场右路！吉鲁这边争顶犯规！                   23'第23分钟，拉米雷斯任意球混战中禁区左侧传中，德隆小禁区边缘头球破门因越位在先被判无效
23'快发！禁区左路传中！                   23'第23分钟，拉米雷斯任意球混战中禁区左侧传中，德隆小禁区边缘头球破门因越位在先被判无效
23'内格雷多插上头球！有了！                   23'第23分钟，拉米雷斯任意球混战中禁区左侧传中，德隆小禁区边缘头球破门因越位在先被判无效
23'可惜越位啦。。。                   23'第23分钟，拉米雷斯任意球混战中禁区左侧传中，德隆小禁区边缘头球破门因越位在先被判无效
24'切赫大脚开出来！                   23'第23分钟，拉米雷斯任意球混战中禁区左侧传中，德隆小禁区边缘头球破门因越位在先被判无效
24'前场左路桑切斯直塞！蒙雷亚尔分身旁张伯伦！                   23'第23分钟，拉米雷斯任意球混战中禁区左侧传中，德隆小禁区边缘头球破门因越位在先被判无效
24'往前突！直接带出底线啊！                   23'第23分钟，拉米雷斯任意球混战中禁区左侧传中，德隆小禁区边缘头球破门因越位在先被判无效
25'扎卡中场争顶拉人犯规了！                   23'第23分钟，拉米雷斯任意球混战中禁区左侧传中，德隆小禁区边缘头球破门因越位在先被判无效
25'米德前场任意球！挑传中路！科斯切尔尼解围出来！                   23'第23分钟，拉米雷斯任意球混战中禁区左侧传中，德隆小禁区边缘头球破门因越位在先被判无效
26'大禁区前沿！克莱顿右脚射了！                   23'第23分钟，拉米雷斯任意球混战中禁区左侧传中，德隆小禁区边缘头球破门因越位在先被判无效
26'飞出底线！                   23'第23分钟，拉米雷斯任意球混战中禁区左侧传中，德隆小禁区边缘头球破门因越位在先被判无效
26'大脚开出来！                   23'第23分钟，拉米雷斯任意球混战中禁区左侧传中，德隆小禁区边缘头球破门因越位在先被判无效
26'后场中路扎卡解围给到切赫！再分右路~！                   23'第23分钟，拉米雷斯任意球混战中禁区左侧传中，德隆小禁区边缘头球破门因越位在先被判无效
42'直接打入球门左侧啊！死角！                   42'阿森纳最终在第42分钟打破僵局，克莱顿禁区前对扎卡犯规，桑切斯禁区弧顶外任意球直接射门，皮球绕过人墙入网，古赞毫无反应
42'阿森纳暂时１－０领先！                   42'阿森纳最终在第42分钟打破僵局，克莱顿禁区前对扎卡犯规，桑切斯禁区弧顶外任意球直接射门，皮球绕过人墙入网，古赞毫无反应
42'继续回到比赛！                   42'阿森纳最终在第42分钟打破僵局，克莱顿禁区前对扎卡犯规，桑切斯禁区弧顶外任意球直接射门，皮球绕过人墙入网，古赞毫无反应
43'大禁区前沿左侧保利斯塔直接被放倒！                   42'阿森纳最终在第42分钟打破僵局，克莱顿禁区前对扎卡犯规，桑切斯禁区弧顶外任意球直接射门，皮球绕过人墙入网，古赞毫无反应
43'吹了保利斯塔犯规！                   42'阿森纳最终在第42分钟打破僵局，克莱顿禁区前对扎卡犯规，桑切斯禁区弧顶外任意球直接射门，皮球绕过人墙入网，古赞毫无反应
43'米德也是任意球机会！                   42'阿森纳最终在第42分钟打破僵局，克莱顿禁区前对扎卡犯规，桑切斯禁区弧顶外任意球直接射门，皮球绕过人墙入网，古赞毫无反应
43'凯莱顿右脚打门！被人墙挡出！                   42'阿森纳最终在第42分钟打破僵局，克莱顿禁区前对扎卡犯规，桑切斯禁区弧顶外任意球直接射门，皮球绕过人墙入网，古赞毫无反应
43'张伯伦大脚解围出边线！                   42'阿森纳最终在第42分钟打破僵局，克莱顿禁区前对扎卡犯规，桑切斯禁区弧顶外任意球直接射门，皮球绕过人墙入网，古赞毫无反应
44'前场左侧厄齐尔这边争抢犯规！                   42'阿森纳最终在第42分钟打破僵局，克莱顿禁区前对扎卡犯规，桑切斯禁区弧顶外任意球直接射门，皮球绕过人墙入网，古赞毫无反应
44'还是前场左侧任意球！                   42'阿森纳最终在第42分钟打破僵局，克莱顿禁区前对扎卡犯规，桑切斯禁区弧顶外任意球直接射门，皮球绕过人墙入网，古赞毫无反应
44'长传禁区中路！蒙雷亚尔出脚解围！                   42'阿森纳最终在第42分钟打破僵局，克莱顿禁区前对扎卡犯规，桑切斯禁区弧顶外任意球直接射门，皮球绕过人墙入网，古赞毫无反应
45'外围左侧分中路扎卡！再横敲桑切斯这边！                   42'阿森纳最终在第42分钟打破僵局，克莱顿禁区前对扎卡犯规，桑切斯禁区弧顶外任意球直接射门，皮球绕过人墙入网，古赞毫无反应
45'往前带！直接传中！禁区中路吉鲁分张伯伦！                   42'阿森纳最终在第42分钟打破僵局，克莱顿禁区前对扎卡犯规，桑切斯禁区弧顶外任意球直接射门，皮球绕过人墙入网，古赞毫无反应
45'没机会起脚啊！                   42'阿森纳最终在第42分钟打破僵局，克莱顿禁区前对扎卡犯规，桑切斯禁区弧顶外任意球直接射门，皮球绕过人墙入网，古赞毫无反应
72'抱歉啊！时间一直没走！                   71'阿森纳第71分钟再次领先，桑切斯左路传中，拉姆塞胸部停球摆渡，厄齐尔小禁区左上角外右脚第一时间抽射近角入网，2-1
73'没有注意到！现在比赛继续！                   71'阿森纳第71分钟再次领先，桑切斯左路传中，拉姆塞胸部停球摆渡，厄齐尔小禁区左上角外右脚第一时间抽射近角入网，2-1
73'比赛已经来到73分钟！                   71'阿森纳第71分钟再次领先，桑切斯左路传中，拉姆塞胸部停球摆渡，厄齐尔小禁区左上角外右脚第一时间抽射近角入网，2-1
73'左侧霍尔丁横敲中圈扎卡！                   71'阿森纳第71分钟再次领先，桑切斯左路传中，拉姆塞胸部停球摆渡，厄齐尔小禁区左上角外右脚第一时间抽射近角入网，2-1
73'再回传身后门将！                   71'阿森纳第71分钟再次领先，桑切斯左路传中，拉姆塞胸部停球摆渡，厄齐尔小禁区左上角外右脚第一时间抽射近角入网，2-1
73'大脚开出去！右侧特劳德拿下！                   71'阿森纳第71分钟再次领先，桑切斯左路传中，拉姆塞胸部停球摆渡，厄齐尔小禁区左上角外右脚第一时间抽射近角入网，2-1
74'回防的蒙雷亚尔把球断下！                   71'阿森纳第71分钟再次领先，桑切斯左路传中，拉姆塞胸部停球摆渡，厄齐尔小禁区左上角外右脚第一时间抽射近角入网，2-1
74'再分身后扎卡！转移到右路科斯切尔尼这边！                   71'阿森纳第71分钟再次领先，桑切斯左路传中，拉姆塞胸部停球摆渡，厄齐尔小禁区左上角外右脚第一时间抽射近角入网，2-1
