45'西汉姆右路起球送禁区                   45'曼联大巴在赛前遭遇主队球迷拦截袭击，比赛因而推迟45分钟进行
45'卡罗尔侧身凌空被干扰                   45'曼联大巴在赛前遭遇主队球迷拦截袭击，比赛因而推迟45分钟进行
45'卡罗尔这边投诉对方有犯规                   45'曼联大巴在赛前遭遇主队球迷拦截袭击，比赛因而推迟45分钟进行
45'但裁判并没有理会                   45'曼联大巴在赛前遭遇主队球迷拦截袭击，比赛因而推迟45分钟进行
46'鲁尼起球送禁区                   45'曼联大巴在赛前遭遇主队球迷拦截袭击，比赛因而推迟45分钟进行
46'马夏尔停球下来                   45'曼联大巴在赛前遭遇主队球迷拦截袭击，比赛因而推迟45分钟进行
46'这球给停远了                   45'曼联大巴在赛前遭遇主队球迷拦截袭击，比赛因而推迟45分钟进行
46'里德这边马上直接一个大脚将球解围出来                   45'曼联大巴在赛前遭遇主队球迷拦截袭击，比赛因而推迟45分钟进行
46'上半场补时1分钟！                   45'曼联大巴在赛前遭遇主队球迷拦截袭击，比赛因而推迟45分钟进行
46'萨科中场拿球被断                   45'曼联大巴在赛前遭遇主队球迷拦截袭击，比赛因而推迟45分钟进行
46'曼联左路策动进攻                   45'曼联大巴在赛前遭遇主队球迷拦截袭击，比赛因而推迟45分钟进行
46'马夏尔跟拉什福德做撞墙到禁区                   45'曼联大巴在赛前遭遇主队球迷拦截袭击，比赛因而推迟45分钟进行
47'马夏尔摔倒到禁区内                   45'曼联大巴在赛前遭遇主队球迷拦截袭击，比赛因而推迟45分钟进行
47'裁判给了一个很明确的手势，没有点球！！                   45'曼联大巴在赛前遭遇主队球迷拦截袭击，比赛因而推迟45分钟进行
47'西汉姆前场拿球转移到边路                   45'曼联大巴在赛前遭遇主队球迷拦截袭击，比赛因而推迟45分钟进行
47'罗霍这边将球断抢下来                   45'曼联大巴在赛前遭遇主队球迷拦截袭击，比赛因而推迟45分钟进行
46'下半场比赛开始！！                   45'曼联大巴在赛前遭遇主队球迷拦截袭击，比赛因而推迟45分钟进行
46'下半场比赛由曼联开球                   45'曼联大巴在赛前遭遇主队球迷拦截袭击，比赛因而推迟45分钟进行
46'拉什福德左路突破被侵犯                   45'曼联大巴在赛前遭遇主队球迷拦截袭击，比赛因而推迟45分钟进行
46'曼联前场左路的任意球机会                   45'曼联大巴在赛前遭遇主队球迷拦截袭击，比赛因而推迟45分钟进行
47'鲁尼任意球送中路                   45'曼联大巴在赛前遭遇主队球迷拦截袭击，比赛因而推迟45分钟进行
47'第一点被西汉姆联顶了出来                   45'曼联大巴在赛前遭遇主队球迷拦截袭击，比赛因而推迟45分钟进行
47'马夏尔摔倒到禁区内                   47'开场仅2分钟，卡罗尔头球摆渡，兰奇尼倒钩射门偏出
47'裁判给了一个很明确的手势，没有点球！！                   47'开场仅2分钟，卡罗尔头球摆渡，兰奇尼倒钩射门偏出
