7'球丢了，被周海滨抢断！！                   7'第7分钟，卡尔德克对于郑铮犯规，被主裁判黄牌警告
7'鲁能的反击，郑铮左路拿球                   7'第7分钟，卡尔德克对于郑铮犯规，被主裁判黄牌警告
7'加速强突，身后回防的卡尔德克拉人犯规！！                   7'第7分钟，卡尔德克对于郑铮犯规，被主裁判黄牌警告
7'卡尔德克被主裁判出示了黄牌警告！！                   7'第7分钟，卡尔德克对于郑铮犯规，被主裁判黄牌警告
8'这也是本场比赛的第一张黄牌！！                   7'第7分钟，卡尔德克对于郑铮犯规，被主裁判黄牌警告
9'南松中场拿球，佩莱上抢犯规！！                   7'第7分钟，卡尔德克对于郑铮犯规，被主裁判黄牌警告
9'力帆的前场进攻，费尔南多右路拿球                   7'第7分钟，卡尔德克对于郑铮犯规，被主裁判黄牌警告
10'变向摆脱郑铮，突破到了禁区                   7'第7分钟，卡尔德克对于郑铮犯规，被主裁判黄牌警告
10'低平球横传球到门前，第一点被防守球员解围出来                   7'第7分钟，卡尔德克对于郑铮犯规，被主裁判黄牌警告
13'鲁能右路强突，郑又荣回防，将球解围出边线！                   13'第13分钟，张弛突破回做，蒿俊闵弧线球做球，佩莱禁区内垫射，球擦着立柱偏出
14'蒿俊闵右路拿球，内切后斜传禁区                   13'第13分钟，张弛突破回做，蒿俊闵弧线球做球，佩莱禁区内垫射，球擦着立柱偏出
14'碰到郑又荣变向到门前！！                   13'第13分钟，张弛突破回做，蒿俊闵弧线球做球，佩莱禁区内垫射，球擦着立柱偏出
14'佩莱的抢点推射，打偏！！                   13'第13分钟，张弛突破回做，蒿俊闵弧线球做球，佩莱禁区内垫射，球擦着立柱偏出
14'这球相当有威胁，差一点点啊！！                   13'第13分钟，张弛突破回做，蒿俊闵弧线球做球，佩莱禁区内垫射，球擦着立柱偏出
15'陈雷右路拿球，强突横传找彭欣力                   13'第13分钟，张弛突破回做，蒿俊闵弧线球做球，佩莱禁区内垫射，球擦着立柱偏出
16'被鲁能球员破坏出边线！！！                   13'第13分钟，张弛突破回做，蒿俊闵弧线球做球，佩莱禁区内垫射，球擦着立柱偏出
16'力帆前场进攻，赢得任意球机会！！                   13'第13分钟，张弛突破回做，蒿俊闵弧线球做球，佩莱禁区内垫射，球擦着立柱偏出
16'任意球斜传到禁区，刘宇插上抢点！！                   13'第13分钟，张弛突破回做，蒿俊闵弧线球做球，佩莱禁区内垫射，球擦着立柱偏出
16'被鲁能球员破坏出边线！！！                   16'第16分钟，郑又荣任意球传中，后点的刘宇准备抢点，但是在与蒿俊闵接触后倒在禁区内，主裁判并未判罚点球
16'力帆前场进攻，赢得任意球机会！！                   16'第16分钟，郑又荣任意球传中，后点的刘宇准备抢点，但是在与蒿俊闵接触后倒在禁区内，主裁判并未判罚点球
16'任意球斜传到禁区，刘宇插上抢点！！                   16'第16分钟，郑又荣任意球传中，后点的刘宇准备抢点，但是在与蒿俊闵接触后倒在禁区内，主裁判并未判罚点球
17'再和身后回防的蒿俊闵相撞后倒地                   16'第16分钟，郑又荣任意球传中，后点的刘宇准备抢点，但是在与蒿俊闵接触后倒在禁区内，主裁判并未判罚点球
17'球被王大雷出击将球拿到！！                   16'第16分钟，郑又荣任意球传中，后点的刘宇准备抢点，但是在与蒿俊闵接触后倒在禁区内，主裁判并未判罚点球
18'力帆抗议，认为蒿俊闵身后有推人犯规，裁判没理会                   16'第16分钟，郑又荣任意球传中，后点的刘宇准备抢点，但是在与蒿俊闵接触后倒在禁区内，主裁判并未判罚点球
18'金敬道前场拿球，强突被郑又荣放倒在地！1                   16'第16分钟，郑又荣任意球传中，后点的刘宇准备抢点，但是在与蒿俊闵接触后倒在禁区内，主裁判并未判罚点球
19'郑铮左路拿球，横传给到周海滨                   16'第16分钟，郑又荣任意球传中，后点的刘宇准备抢点，但是在与蒿俊闵接触后倒在禁区内，主裁判并未判罚点球
19'周海滨过顶球找金敬道                   16'第16分钟，郑又荣任意球传中，后点的刘宇准备抢点，但是在与蒿俊闵接触后倒在禁区内，主裁判并未判罚点球
19'金敬道再给右路的张驰，力量轻了点，被断了                   16'第16分钟，郑又荣任意球传中，后点的刘宇准备抢点，但是在与蒿俊闵接触后倒在禁区内，主裁判并未判罚点球
34'力帆的前场进攻，彭欣力的直塞球打身后                   34'第34分钟，费尔南多射门被后卫挡出底线
34'吴庆插上拿球，一扣摆脱上来放铲的张驰                   34'第34分钟，费尔南多射门被后卫挡出底线
34'横切后，回传费尔南多                   34'第34分钟，费尔南多射门被后卫挡出底线
