4'切尔西边路传球到禁区内                   3'第3分钟，许尔勒右路传中，斯泽斯尼及时出击抢在埃托奥之前扑出皮球
4'斯泽斯尼扑球出现了脱手                   3'第3分钟，许尔勒右路传中，斯泽斯尼及时出击抢在埃托奥之前扑出皮球
4'埃托奥补射没有抢到点                   3'第3分钟，许尔勒右路传中，斯泽斯尼及时出击抢在埃托奥之前扑出皮球
5'许尔勒前场拿球越位了                   3'第3分钟，许尔勒右路传中，斯泽斯尼及时出击抢在埃托奥之前扑出皮球
5'切尔西进球了！！                   3'第3分钟，许尔勒右路传中，斯泽斯尼及时出击抢在埃托奥之前扑出皮球
5'埃托奥！！                   3'第3分钟，许尔勒右路传中，斯泽斯尼及时出击抢在埃托奥之前扑出皮球
6'许尔勒弧顶拿球分球给到右路的埃托奥，埃托奥禁区内拿球一扣晃开防守球员打远角破门！                   3'第3分钟，许尔勒右路传中，斯泽斯尼及时出击抢在埃托奥之前扑出皮球
6'开场仅仅5分钟，切尔西就取得了领先                   3'第3分钟，许尔勒右路传中，斯泽斯尼及时出击抢在埃托奥之前扑出皮球
5'许尔勒前场拿球越位了                   5'切尔西第5分钟取得领先，许尔勒反击中传球，埃托奥禁区右侧扣过张伯伦后16码处左脚弧线球射入远角
5'切尔西进球了！！                   5'切尔西第5分钟取得领先，许尔勒反击中传球，埃托奥禁区右侧扣过张伯伦后16码处左脚弧线球射入远角
5'埃托奥！！                   5'切尔西第5分钟取得领先，许尔勒反击中传球，埃托奥禁区右侧扣过张伯伦后16码处左脚弧线球射入远角
6'许尔勒弧顶拿球分球给到右路的埃托奥，埃托奥禁区内拿球一扣晃开防守球员打远角破门！                   5'切尔西第5分钟取得领先，许尔勒反击中传球，埃托奥禁区右侧扣过张伯伦后16码处左脚弧线球射入远角
6'开场仅仅5分钟，切尔西就取得了领先                   5'切尔西第5分钟取得领先，许尔勒反击中传球，埃托奥禁区右侧扣过张伯伦后16码处左脚弧线球射入远角
7'2-0！！                   5'切尔西第5分钟取得领先，许尔勒反击中传球，埃托奥禁区右侧扣过张伯伦后16码处左脚弧线球射入远角
7'许尔勒！！！                   5'切尔西第5分钟取得领先，许尔勒反击中传球，埃托奥禁区右侧扣过张伯伦后16码处左脚弧线球射入远角
8'切尔西中场断球成功，许尔勒前场接球后到禁区内，低射破门，斯泽斯尼几乎没有反应！！                   5'切尔西第5分钟取得领先，许尔勒反击中传球，埃托奥禁区右侧扣过张伯伦后16码处左脚弧线球射入远角
8'怪怪女Min：刚开始就进球了，分分钟啊【还进了2个。。】                   5'切尔西第5分钟取得领先，许尔勒反击中传球，埃托奥禁区右侧扣过张伯伦后16码处左脚弧线球射入远角
7'2-0！！                   7'切尔西第7分钟扩大比分，马蒂奇抢断卡索拉后传球，许尔勒禁区右侧18码处射入远角，2-0
7'许尔勒！！！                   7'切尔西第7分钟扩大比分，马蒂奇抢断卡索拉后传球，许尔勒禁区右侧18码处射入远角，2-0
8'切尔西中场断球成功，许尔勒前场接球后到禁区内，低射破门，斯泽斯尼几乎没有反应！！                   7'切尔西第7分钟扩大比分，马蒂奇抢断卡索拉后传球，许尔勒禁区右侧18码处射入远角，2-0
8'怪怪女Min：刚开始就进球了，分分钟啊【还进了2个。。】                   7'切尔西第7分钟扩大比分，马蒂奇抢断卡索拉后传球，许尔勒禁区右侧18码处射入远角，2-0
9'埃托奥受伤倒地了                   7'切尔西第7分钟扩大比分，马蒂奇抢断卡索拉后传球，许尔勒禁区右侧18码处射入远角，2-0
9'应该大腿拉伤了                   7'切尔西第7分钟扩大比分，马蒂奇抢断卡索拉后传球，许尔勒禁区右侧18码处射入远角，2-0
10'看样子要换人了                   7'切尔西第7分钟扩大比分，马蒂奇抢断卡索拉后传球，许尔勒禁区右侧18码处射入远角，2-0
10'托雷斯要上了                   7'切尔西第7分钟扩大比分，马蒂奇抢断卡索拉后传球，许尔勒禁区右侧18码处射入远角，2-0
10'切尔西换人，埃托奥下，托雷斯上！                   7'切尔西第7分钟扩大比分，马蒂奇抢断卡索拉后传球，许尔勒禁区右侧18码处射入远角，2-0
10'开场10分钟，剧情很丰富啊                   7'切尔西第7分钟扩大比分，马蒂奇抢断卡索拉后传球，许尔勒禁区右侧18码处射入远角，2-0
10'看样子要换人了                   10'第10分钟，托雷斯替换受伤的埃托奥出场
10'托雷斯要上了                   10'第10分钟，托雷斯替换受伤的埃托奥出场
10'切尔西换人，埃托奥下，托雷斯上！                   10'第10分钟，托雷斯替换受伤的埃托奥出场
10'开场10分钟，剧情很丰富啊                   10'第10分钟，托雷斯替换受伤的埃托奥出场
11'阿森纳左路的防守被完爆现在                   10'第10分钟，托雷斯替换受伤的埃托奥出场
11'吉布斯左路的防守将球破坏                   10'第10分钟，托雷斯替换受伤的埃托奥出场
12'用户eveg4xb3ig： 神马个情况，还想回去看呢，这才几分钟啊！【我也想知道这是什么情况】                   10'第10分钟，托雷斯替换受伤的埃托奥出场
13'【互动话题】本人主角是温格，结果10分钟 ，切尔西进2球，许尔勒风头出尽，埃托奥则是功成身退                   10'第10分钟，托雷斯替换受伤的埃托奥出场
13'萨尼亚来到中路防守了                   10'第10分钟，托雷斯替换受伤的埃托奥出场
13'结果犯规了                   10'第10分钟，托雷斯替换受伤的埃托奥出场
13'切尔西任意球送禁区内，威胁不大                   10'第10分钟，托雷斯替换受伤的埃托奥出场
24'天知道的北极胖企鹅：这就三球领先了？？还罚下一人？？刚开场20分钟啊。。【就是啊】                   24'第24分钟，维尔马伦替换波多尔斯基出场
24'阿森纳换人，波多尔斯基被换下，维尔马伦上！                   24'第24分钟，维尔马伦替换波多尔斯基出场
24'感觉比赛的悬念瞬间就消失了                   24'第24分钟，维尔马伦替换波多尔斯基出场
25'切尔西中场长传，威胁不大                   24'第24分钟，维尔马伦替换波多尔斯基出场
25'sunszg：温格的表情，唉！恨死魔力鸟了【谁也没想到会这么发展】                   24'第24分钟，维尔马伦替换波多尔斯基出场
26'特里左路助攻上来                   24'第24分钟，维尔马伦替换波多尔斯基出场
26'底线附近将球回敲                   24'第24分钟，维尔马伦替换波多尔斯基出场
26'奥斯卡边路传球送禁区内                   24'第24分钟，维尔马伦替换波多尔斯基出场
26'第一点被阿森纳解围出来                   24'第24分钟，维尔马伦替换波多尔斯基出场
55'罗西基边路送直塞，给大了                   55'10人应战的阿森纳无力反攻，第36分钟，罗西基传球，卡索拉禁区前射门被封堵
