4'威纳尔杜姆前场分左侧                   4'开场仅4分钟，菲尔米诺直传，阿诺德禁区右侧在鲍尔防守下摔倒，裁判未予判罚
5'莫雷诺转移右路，菲尔米诺停球送底线                   4'开场仅4分钟，菲尔米诺直传，阿诺德禁区右侧在鲍尔防守下摔倒，裁判未予判罚
5'阿诺德插上得球，在底线附近被稍微拉了一下倒地了                   4'开场仅4分钟，菲尔米诺直传，阿诺德禁区右侧在鲍尔防守下摔倒，裁判未予判罚
5'这个球裁判没有吹罚                   4'开场仅4分钟，菲尔米诺直传，阿诺德禁区右侧在鲍尔防守下摔倒，裁判未予判罚
6'利物浦后场断球反击送前场右侧                   4'开场仅4分钟，菲尔米诺直传，阿诺德禁区右侧在鲍尔防守下摔倒，裁判未予判罚
6'萨拉赫飞速跟进，巴特兰不敢出击，大面开阔地啊                   4'开场仅4分钟，菲尔米诺直传，阿诺德禁区右侧在鲍尔防守下摔倒，裁判未予判罚
6'单刀的搓射，打偏了啊                   4'开场仅4分钟，菲尔米诺直传，阿诺德禁区右侧在鲍尔防守下摔倒，裁判未予判罚
7'沙奇里右路突破，追尾了                   4'开场仅4分钟，菲尔米诺直传，阿诺德禁区右侧在鲍尔防守下摔倒，裁判未予判罚
7'撞倒了莫雷诺                   4'开场仅4分钟，菲尔米诺直传，阿诺德禁区右侧在鲍尔防守下摔倒，裁判未予判罚
41'比赛到了40分钟，比分还是0-0                   41'第41分钟，因斯禁区左侧回传后继续前插，维纳尔杜姆12码处射门被封堵后偏转，因斯禁区左侧小角度射上角入网因越位在先被判无效
41'菲尔米诺左路做禁区左侧，英斯得球倒三角                   41'第41分钟，因斯禁区左侧回传后继续前插，维纳尔杜姆12码处射门被封堵后偏转，因斯禁区左侧小角度射上角入网因越位在先被判无效
42'中路的队友跟进射门被封堵，英斯再拿球爆射破门                   41'第41分钟，因斯禁区左侧回传后继续前插，维纳尔杜姆12码处射门被封堵后偏转，因斯禁区左侧小角度射上角入网因越位在先被判无效
42'但是英斯被吹了越位                   41'第41分钟，因斯禁区左侧回传后继续前插，维纳尔杜姆12码处射门被封堵后偏转，因斯禁区左侧小角度射上角入网因越位在先被判无效
42'迪乌夫界外一脚踢倒了莫雷诺，吃到了黄牌                   41'第41分钟，因斯禁区左侧回传后继续前插，维纳尔杜姆12码处射门被封堵后偏转，因斯禁区左侧小角度射上角入网因越位在先被判无效
44'阿诺德带球回传身后，利物浦有球员倒地了                   41'第41分钟，因斯禁区左侧回传后继续前插，维纳尔杜姆12码处射门被封堵后偏转，因斯禁区左侧小角度射上角入网因越位在先被判无效
44'亨德森是被沙奇里踢了一脚啊                   41'第41分钟，因斯禁区左侧回传后继续前插，维纳尔杜姆12码处射门被封堵后偏转，因斯禁区左侧小角度射上角入网因越位在先被判无效
87'范戴克 分边前场右路克莱因                   87'第87分钟，维纳尔杜姆禁区右侧传中，皮特斯明显手球拦挡未被判罚
88'起高球到中路，被恩迪亚耶挡出                   87'第87分钟，维纳尔杜姆禁区右侧传中，皮特斯明显手球拦挡未被判罚
89'萨拉赫右侧角球开出，维纳尔杜姆脚后跟一磕                   87'第87分钟，维纳尔杜姆禁区右侧传中，皮特斯明显手球拦挡未被判罚
89' 球被挡了出来                   87'第87分钟，维纳尔杜姆禁区右侧传中，皮特斯明显手球拦挡未被判罚
89'萨拉赫得球向前给了一脚直塞球，给到大禁区右侧                   87'第87分钟，维纳尔杜姆禁区右侧传中，皮特斯明显手球拦挡未被判罚
90'范戴克战术犯规，吃到了黄牌                   87'第87分钟，维纳尔杜姆禁区右侧传中，皮特斯明显手球拦挡未被判罚
90'刚刚皮特斯关键位置，用手拦截了威纳尔杜姆的传球啊                   87'第87分钟，维纳尔杜姆禁区右侧传中，皮特斯明显手球拦挡未被判罚
52'索比要上场了                   51'伤停补时多达6分钟，米尔纳角球混战中右路传中，维纳尔杜姆12码处头球攻门高出
52'因迪因伤被换下                   51'伤停补时多达6分钟，米尔纳角球混战中右路传中，维纳尔杜姆12码处头球攻门高出
54' 前场右路利物浦边线球                   51'伤停补时多达6分钟，米尔纳角球混战中右路传中，维纳尔杜姆12码处头球攻门高出
54' 给到中场右路的范迪克！横敲一下                   51'伤停补时多达6分钟，米尔纳角球混战中右路传中，维纳尔杜姆12码处头球攻门高出
54'莫雷诺边路传中，被恩迪亚耶挡出边线                   51'伤停补时多达6分钟，米尔纳角球混战中右路传中，维纳尔杜姆12码处头球攻门高出
