36'0-1！！！                   36'第36分钟，莫德斯特做球，帕托禁区外弧线球射远角得手
36'帕托！！！                   36'第36分钟，莫德斯特做球，帕托禁区外弧线球射远角得手
37'帕托前场跟莫德斯特做撞墙配合，禁区弧顶帕托推射远端，球擦着立柱飞入球门！！！                   36'第36分钟，莫德斯特做球，帕托禁区外弧线球射远角得手
37'这球角度非常的刁钻                   36'第36分钟，莫德斯特做球，帕托禁区外弧线球射远角得手
37'权健右路挑传给到禁区                   36'第36分钟，莫德斯特做球，帕托禁区外弧线球射远角得手
37'莫德斯特停球后直接抽射                   36'第36分钟，莫德斯特做球，帕托禁区外弧线球射远角得手
38'球打在了边网上                   36'第36分钟，莫德斯特做球，帕托禁区外弧线球射远角得手
38'莫德斯特也是在找状态                   36'第36分钟，莫德斯特做球，帕托禁区外弧线球射远角得手
38'延边富德左路带球到了禁区里                   36'第36分钟，莫德斯特做球，帕托禁区外弧线球射远角得手
38'一扣晃开防守球员后将球回敲                   36'第36分钟，莫德斯特做球，帕托禁区外弧线球射远角得手
39'禁区外围跟进的打门将球打高                   36'第36分钟，莫德斯特做球，帕托禁区外弧线球射远角得手
39'这球也是没有压住                   36'第36分钟，莫德斯特做球，帕托禁区外弧线球射远角得手
50'延边富德中场拿球                   50'第5分钟，延边富德获得反击机会，斯蒂夫接到长传球后单挑刘奕鸣，斯蒂夫冷静扣过防守后小角度爆射偏出
50'长传找斯蒂夫                   50'第5分钟，延边富德获得反击机会，斯蒂夫接到长传球后单挑刘奕鸣，斯蒂夫冷静扣过防守后小角度爆射偏出
50'斯蒂夫这边没有将球停下                   50'第5分钟，延边富德获得反击机会，斯蒂夫接到长传球后单挑刘奕鸣，斯蒂夫冷静扣过防守后小角度爆射偏出
51'富德右路起球送禁区弧顶                   50'第5分钟，延边富德获得反击机会，斯蒂夫接到长传球后单挑刘奕鸣，斯蒂夫冷静扣过防守后小角度爆射偏出
51'斯蒂夫停球没有办法打门                   50'第5分钟，延边富德获得反击机会，斯蒂夫接到长传球后单挑刘奕鸣，斯蒂夫冷静扣过防守后小角度爆射偏出
