1'切尔西后场控球                   1'切尔西第1分钟就全力施压
1'南安普顿今天客场作战打的不保守啊                   1'切尔西第1分钟就全力施压
2'南安普顿在前场就展开了积极的逼抢                   1'切尔西第1分钟就全力施压
2'南安普顿在右边路控球，组织进攻                   1'切尔西第1分钟就全力施压
2'南安普顿在中场的传递出现失误。                   1'切尔西第1分钟就全力施压
3'切尔西在后场拦截后把球交给中场的小法                   1'切尔西第1分钟就全力施压
3'小法把球转移到右边路给队友                   1'切尔西第1分钟就全力施压
3'南安普顿的中场拦截做的很好                   1'切尔西第1分钟就全力施压
3'切尔西没法把球传递到前锋线上                   1'切尔西第1分钟就全力施压
4'威廉在中路突破到禁区弧顶，把球分给左侧包抄的阿斯皮利奎塔                   1'切尔西第1分钟就全力施压
4'阿斯皮利奎塔禁区角上直接抽射！！高出横梁                   1'切尔西第1分钟就全力施压
11'角球发到禁区里，双方都没有碰到皮球！                   11'切尔西第11分钟取得领先，伊万诺维奇右路传中，无人防守的迭戈-科斯塔小禁区边缘头球破门
11'切尔西反击，阿扎尔中路带球突破                   11'切尔西第11分钟取得领先，伊万诺维奇右路传中，无人防守的迭戈-科斯塔小禁区边缘头球破门
11'科斯塔进球了！！！1-0                   11'切尔西第11分钟取得领先，伊万诺维奇右路传中，无人防守的迭戈-科斯塔小禁区边缘头球破门
11'此时此刻值得来杯嘉士伯                   11'切尔西第11分钟取得领先，伊万诺维奇右路传中，无人防守的迭戈-科斯塔小禁区边缘头球破门
12'阿扎尔禁区里把球分到禁区右侧的伊万诺维奇，边路起球传到门前，科斯塔无人盯防，头球把球砸进球门！！                   11'切尔西第11分钟取得领先，伊万诺维奇右路传中，无人防守的迭戈-科斯塔小禁区边缘头球破门
13'南安普顿也在左边路一次突破，传到禁区里，马内的的抽射被库尔图瓦扑出！！                   11'切尔西第11分钟取得领先，伊万诺维奇右路传中，无人防守的迭戈-科斯塔小禁区边缘头球破门
14'马内这脚射门打的比较正，库尔图瓦的扑救非常漂亮啊                   11'切尔西第11分钟取得领先，伊万诺维奇右路传中，无人防守的迭戈-科斯塔小禁区边缘头球破门
14'南安普顿右边路继续控球，传中到禁区里，塔迪奇拿球转身推射左上角，球稍稍高出横梁                   11'切尔西第11分钟取得领先，伊万诺维奇右路传中，无人防守的迭戈-科斯塔小禁区边缘头球破门
14'南安普顿这一波进攻非常漂亮，也很有威胁                   11'切尔西第11分钟取得领先，伊万诺维奇右路传中，无人防守的迭戈-科斯塔小禁区边缘头球破门
47'马蒂奇躲过了裁判的黄牌，他如果再吃黄牌就被罚下了                   47'南安普敦2分钟后险些扳平，塔迪奇禁区左侧回传，马内12码处扫射被库尔图瓦扑出
47'不过慢镜头看确实应该给黄牌啊！                   47'南安普敦2分钟后险些扳平，塔迪奇禁区左侧回传，马内12码处扫射被库尔图瓦扑出
47'南安普顿任意球一拨一射，阿尔德韦雷尔德的远射，被门将扑出！                   47'南安普敦2分钟后险些扳平，塔迪奇禁区左侧回传，马内12码处扫射被库尔图瓦扑出
48'禁区里马内倒挂金钩射门，又被后卫用身体挡住！                   47'南安普敦2分钟后险些扳平，塔迪奇禁区左侧回传，马内12码处扫射被库尔图瓦扑出
49'南安普顿后场长传找朗，但球传的太大了                   47'南安普敦2分钟后险些扳平，塔迪奇禁区左侧回传，马内12码处扫射被库尔图瓦扑出
50'切尔西左边路起球斜传，队友禁区里接应时越位！                   47'南安普敦2分钟后险些扳平，塔迪奇禁区左侧回传，马内12码处扫射被库尔图瓦扑出
50'双方在中场的争夺很激烈啊！                   47'南安普敦2分钟后险些扳平，塔迪奇禁区左侧回传，马内12码处扫射被库尔图瓦扑出
50'南安普顿瓦亚马右边路起球传出高弧度的球，被门将没收                   47'南安普敦2分钟后险些扳平，塔迪奇禁区左侧回传，马内12码处扫射被库尔图瓦扑出
