3'鲁能泰山队长传球找西塞！对方两人包夹把球开到中场                   3'第3分钟，郑铮突破后底线传中，吴兴涵甩头破门
3'鲁能泰山队进球啦！吴兴涵！1-0                   3'第3分钟，郑铮突破后底线传中，吴兴涵甩头破门
3'比赛刚刚开始啊！鲁能泰山队已经进球啦！                   3'第3分钟，郑铮突破后底线传中，吴兴涵甩头破门
4'郑铮左路强突下底横传禁区！！吴兴涵抢点头球顶门，皮球从后点入网！                   3'第3分钟，郑铮突破后底线传中，吴兴涵甩头破门
4'后场鲁能泰山队断球，左路反击！戈麦斯将球破坏出边线                   3'第3分钟，郑铮突破后底线传中，吴兴涵甩头破门
5'中场鲁能泰山队把球回传后场，球出边线！送给河南建业队前场界外球机会                   3'第3分钟，郑铮突破后底线传中，吴兴涵甩头破门
5'界外球发出来，顾操头球顶了一下，出界                   3'第3分钟，郑铮突破后底线传中，吴兴涵甩头破门
6'郑铮发出界外球！对方断球，右路反击，传禁区！吉尔将球破坏                   3'第3分钟，郑铮突破后底线传中，吴兴涵甩头破门
6'由于鲁能泰山队过早进球，会打乱贾指导的部署！！铁桶阵不得不变                   3'第3分钟，郑铮突破后底线传中，吴兴涵甩头破门
6'界外球发到禁区内，鲁能泰山队把球顶出来                   3'第3分钟，郑铮突破后底线传中，吴兴涵甩头破门
53'任意球直接打门，被王大雷扑出来！柯钊补射球进！                   53'第53分钟，冯卓毅射门被挡出，柯钊补射破门
53'目前比分是2-1！                   53'第53分钟，冯卓毅射门被挡出，柯钊补射破门
53'前场鲁能泰山队丢球，王彤反抢犯规                   53'第53分钟，冯卓毅射门被挡出，柯钊补射破门
54'上半场鲁能泰山队开场三分钟进球！而下半场河南建业队又很快进球，反超比分                   53'第53分钟，冯卓毅射门被挡出，柯钊补射破门
54'巴索戈在前场抢球出界，                   53'第53分钟，冯卓毅射门被挡出，柯钊补射破门
56'刘彬彬前场得球，内切回传                   53'第53分钟，冯卓毅射门被挡出，柯钊补射破门
56'鲁能泰山队斜传球到禁区内，西塞头球回顶！                   53'第53分钟，冯卓毅射门被挡出，柯钊补射破门
56'蒿俊闵在胶场得球，回传给吉尔！鲁能泰山队全压出来啦                   53'第53分钟，冯卓毅射门被挡出，柯钊补射破门
89'鲁能泰山队进球啦！！塔尔德利！3-2                   89'第89分钟，塔尔德利禁区前原地摆腿射门打入死角，完成准绝杀
89'准绝杀啊！                   89'第89分钟，塔尔德利禁区前原地摆腿射门打入死角，完成准绝杀
90'蒿俊闵接球传给塔尔德利，塔尔德利抬脚就打，皮球直奔死角！                   89'第89分钟，塔尔德利禁区前原地摆腿射门打入死角，完成准绝杀
90'塔尔德利梅开二度！比赛进入补时！                   89'第89分钟，塔尔德利禁区前原地摆腿射门打入死角，完成准绝杀
90'下半场要补时 4 分钟                   89'第89分钟，塔尔德利禁区前原地摆腿射门打入死角，完成准绝杀
91'郑铮左路抢球犯规！                   89'第89分钟，塔尔德利禁区前原地摆腿射门打入死角，完成准绝杀
91'河南建业队中前场任意球机会                   89'第89分钟，塔尔德利禁区前原地摆腿射门打入死角，完成准绝杀
91'马加特站了起来！在指挥球员！                   89'第89分钟，塔尔德利禁区前原地摆腿射门打入死角，完成准绝杀
91'任意球发到禁区内！主裁判哨响！越位！                   89'第89分钟，塔尔德利禁区前原地摆腿射门打入死角，完成准绝杀
91'三名队员都越位了啦！                   89'第89分钟，塔尔德利禁区前原地摆腿射门打入死角，完成准绝杀
92'今天我对助理裁判也是服了！！对越位判罚非常准确！                   89'第89分钟，塔尔德利禁区前原地摆腿射门打入死角，完成准绝杀
46'上半场要补时 1 分钟                   46'开场1分钟，山东鲁能发动进攻，西塞边路拿球形成突破，在角度极小情况下劲射击中边网
46'郑铮左路横传禁区！萨拉赫顶出底线                   46'开场1分钟，山东鲁能发动进攻，西塞边路拿球形成突破，在角度极小情况下劲射击中边网
46'鲁能泰山队得到角球机会                   46'开场1分钟，山东鲁能发动进攻，西塞边路拿球形成突破，在角度极小情况下劲射击中边网
46'崔巍发角球到禁区内！戈麦斯头球解围                   46'开场1分钟，山东鲁能发动进攻，西塞边路拿球形成突破，在角度极小情况下劲射击中边网
47'不等山东队发出界外球！主裁判哨响！                   46'开场1分钟，山东鲁能发动进攻，西塞边路拿球形成突破，在角度极小情况下劲射击中边网
47'上半场比赛结束，双方战成1-1                   46'开场1分钟，山东鲁能发动进攻，西塞边路拿球形成突破，在角度极小情况下劲射击中边网
46'下半场比赛开始                   46'开场1分钟，山东鲁能发动进攻，西塞边路拿球形成突破，在角度极小情况下劲射击中边网
