2'莫德里奇前场拿球，分边给到卡瓦哈尔                   2'开场不到2分钟，马塞洛斜传，贝尔10码处凌空停球后转身抽射偏出
2'卡瓦哈尔横传给到本泽马，本泽马再给贝尔                   2'开场不到2分钟，马塞洛斜传，贝尔10码处凌空停球后转身抽射偏出
2'贝尔拿球内切，大范围转移球给到左路的马塞洛                   2'开场不到2分钟，马塞洛斜传，贝尔10码处凌空停球后转身抽射偏出
2'马塞洛左路斜传球到禁区，贝尔胸部停球，转身凌空抽射，打飞                   2'开场不到2分钟，马塞洛斜传，贝尔10码处凌空停球后转身抽射偏出
3'佩佩后场拿球，横传给到拉莫斯                   2'开场不到2分钟，马塞洛斜传，贝尔10码处凌空停球后转身抽射偏出
4'拉莫斯直塞交给马塞洛，马塞洛再传找本泽马                   2'开场不到2分钟，马塞洛斜传，贝尔10码处凌空停球后转身抽射偏出
4'纳瓦罗转身卡住身位，将球拦截                   2'开场不到2分钟，马塞洛斜传，贝尔10码处凌空停球后转身抽射偏出
4'纳瓦罗右路拿球强突，拉莫斯中线位置防守，放倒纳瓦罗，犯规                   2'开场不到2分钟，马塞洛斜传，贝尔10码处凌空停球后转身抽射偏出
5'皇马前场进攻，莫德里奇斜塞给到贝尔                   2'开场不到2分钟，马塞洛斜传，贝尔10码处凌空停球后转身抽射偏出
5'贝尔转身再给本泽马，本泽马横传中间找C罗                   2'开场不到2分钟，马塞洛斜传，贝尔10码处凌空停球后转身抽射偏出
5'C罗抢点捅射，击中左侧立柱弹回                   2'开场不到2分钟，马塞洛斜传，贝尔10码处凌空停球后转身抽射偏出
5'贝尔跟进补射，打在后卫身上弹出底线                   2'开场不到2分钟，马塞洛斜传，贝尔10码处凌空停球后转身抽射偏出
15'伊斯科左路拿球，内切后过度给到席尔瓦                   15'第15分钟，摩德里奇25码处劲射被马里尼奥扑出，本泽马补射破门因越位在先被判无效
15'皇马进球了，本泽马，不过越位在先，无效！！！                   15'第15分钟，摩德里奇25码处劲射被马里尼奥扑出，本泽马补射破门因越位在先被判无效
16'马塞洛左路斜传球到禁区，第一点被莱万特球员解围，莫德里奇禁区外得球直接抽射，被马里诺扑出，本泽马跟进补射打进，可惜越位在先，进球无效                   15'第15分钟，摩德里奇25码处劲射被马里尼奥扑出，本泽马补射破门因越位在先被判无效
