2'尤文图斯比达尔受伤倒地,比赛暂停                   1'第1分钟，那不勒斯压住尤文进攻
4'暂停结束,球员们重新开始比赛.                   1'第1分钟，那不勒斯压住尤文进攻
4'基耶利尼将球处理出底线,那不勒斯获得角球.                   1'第1分钟，那不勒斯压住尤文进攻
10'射门!!!那不勒斯球员哈姆西克大禁区右侧左脚射门,被对方守门员横身扑出.给他传球的是亨里克.                   10'第10分钟，卡列洪直传，恩里克突入禁区右侧回敲，哈姆西克前点距门9米处左脚推射被布冯单手托出横梁
10'布冯将球处理出底线,那不勒斯获得角球.                   10'第10分钟，卡列洪直传，恩里克突入禁区右侧回敲，哈姆西克前点距门9米处左脚推射被布冯单手托出横梁
10'那不勒斯球员因勒手球犯规,对手获得球权.                   10'第10分钟，卡列洪直传，恩里克突入禁区右侧回敲，哈姆西克前点距门9米处左脚推射被布冯单手托出横梁
11'尤文图斯球员皮尔洛一脚直塞球给奥斯瓦尔多,但是边裁举旗显示后者已经越位.                   10'第10分钟，卡列洪直传，恩里克突入禁区右侧回敲，哈姆西克前点距门9米处左脚推射被布冯单手托出横梁
29'射门!!!那不勒斯球员卡列洪大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是因西涅.                   29'第29分钟，因西涅左路传中，卡列洪禁区右侧距门14米处大力斜射被布冯封出近门柱
29'布冯将球处理出底线,那不勒斯获得角球.                   29'第29分钟，因西涅左路传中，卡列洪禁区右侧距门14米处大力斜射被布冯封出近门柱
29'那不勒斯球员因西涅大禁区外右脚射门,被防守球员封堵.                   29'第29分钟，因西涅左路传中，卡列洪禁区右侧距门14米处大力斜射被布冯封出近门柱
31'皮尔洛为尤文图斯在对方半场,赢得一个任意球.                   29'第29分钟，因西涅左路传中，卡列洪禁区右侧距门14米处大力斜射被布冯封出近门柱
31'那不勒斯球员哈姆西克拼抢犯规,对手获得控球权.                   29'第29分钟，因西涅左路传中，卡列洪禁区右侧距门14米处大力斜射被布冯封出近门柱
31'尤文图斯球员皮尔洛大禁区外右脚射门,被防守球员封堵.                   29'第29分钟，因西涅左路传中，卡列洪禁区右侧距门14米处大力斜射被布冯封出近门柱
37'进球啦！！！那不勒斯球员卡列洪球门线跟前右脚射门,球从左下角飞进球门,球进了!助攻的是因西涅. 那不勒斯 1-0 尤文图斯.                   37'那不勒斯第37分钟取得领先
44'尤文图斯球员奥斯瓦尔多大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是利希施泰纳.                   44'第44分钟，利希施泰纳右路传中，奥斯瓦尔多在门前10米处倒钩偏出左门柱
45'+1'尤文图斯球员基耶利尼大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是洛伦特.                   44'第44分钟，利希施泰纳右路传中，奥斯瓦尔多在门前10米处倒钩偏出左门柱
45'+1'上半场结束,那不勒斯 1-0 尤文图斯,稍事休息,我们一会来看看下半场两队的表现.                   44'第44分钟，利希施泰纳右路传中，奥斯瓦尔多在门前10米处倒钩偏出左门柱
47'尤文图斯球员洛伦特拼抢犯规,对手获得控球权.                   44'第44分钟，利希施泰纳右路传中，奥斯瓦尔多在门前10米处倒钩偏出左门柱
47'阿尔比奥尔为那不勒斯赢得一个任意球.                   44'第44分钟，利希施泰纳右路传中，奥斯瓦尔多在门前10米处倒钩偏出左门柱
53'尤文图斯换人,伊斯拉换下阿萨莫阿                   52'第52分钟，恩里克长传过顶，卡列洪右肋形成单刀，但被误判为越位
54'尤文图斯球员利希施泰纳拼抢犯规,对手获得控球权.                   52'第52分钟，恩里克长传过顶，卡列洪右肋形成单刀，但被误判为越位
54'雷纳为那不勒斯赢得一个任意球.                   52'第52分钟，恩里克长传过顶，卡列洪右肋形成单刀，但被误判为越位
54'黄牌！尤文图斯球员利希施泰纳因为恶意犯规,被主裁判出示黄牌.                   52'第52分钟，恩里克长传过顶，卡列洪右肋形成单刀，但被误判为越位
55'尤文图斯球员博格巴拼抢犯规,对手获得控球权.                   52'第52分钟，恩里克长传过顶，卡列洪右肋形成单刀，但被误判为越位
