11'鲁能泰山队进球啦！！佩莱！1-0                   10'第10分钟，山东鲁能率先打破僵局，郑铮斜四十五度传中，佩莱凌空抽射破门
12'鲁能泰山队左路斜传禁区！！佩莱抢点垫射成功！！！！                   10'第10分钟，山东鲁能率先打破僵局，郑铮斜四十五度传中，佩莱凌空抽射破门
12'广州富力队长传球到禁区！！韩镕泽没收                   10'第10分钟，山东鲁能率先打破僵局，郑铮斜四十五度传中，佩莱凌空抽射破门
12'韩镕泽发球！鲁能泰山队长传球找佩莱！                   10'第10分钟，山东鲁能率先打破僵局，郑铮斜四十五度传中，佩莱凌空抽射破门
12'佩莱没能接到，对方解围不远！！佩莱抢点打门！！高啦！！                   10'第10分钟，山东鲁能率先打破僵局，郑铮斜四十五度传中，佩莱凌空抽射破门
13'广州富力队把球交到在                   10'第10分钟，山东鲁能率先打破僵局，郑铮斜四十五度传中，佩莱凌空抽射破门
13'雷纳迪尼奥横传球！再长传球到前场右路！                   10'第10分钟，山东鲁能率先打破僵局，郑铮斜四十五度传中，佩莱凌空抽射破门
13'下底横传禁区，吉尔将球顶出来！                   10'第10分钟，山东鲁能率先打破僵局，郑铮斜四十五度传中，佩莱凌空抽射破门
60'雷纳迪尼奥发任意球直接打门！皮球穿过人墙，从右侧门柱打入！                   60'广州富力第60分钟扳回一分，雷纳尔迪尼奥任意球直接射门打入死角
60'这球是越过了人墙，直接入网！                   60'广州富力第60分钟扳回一分，雷纳尔迪尼奥任意球直接射门打入死角
60'蒿俊闵中场得，分到左路！                   60'广州富力第60分钟扳回一分，雷纳尔迪尼奥任意球直接射门打入死角
61'吴兴涵长传球！韩镕泽没收                   60'广州富力第60分钟扳回一分，雷纳尔迪尼奥任意球直接射门打入死角
61'雷纳迪尼奥挑传球，吉尔顶出来！                   60'广州富力第60分钟扳回一分，雷纳尔迪尼奥任意球直接射门打入死角
62'吴兴涵传中球，被破坏出底线                   60'广州富力第60分钟扳回一分，雷纳尔迪尼奥任意球直接射门打入死角
62'鲁能泰山队得到角球机会                   60'广州富力第60分钟扳回一分，雷纳尔迪尼奥任意球直接射门打入死角
62'鲁能泰山队要换人，崔鹏在场边活动！                   60'广州富力第60分钟扳回一分，雷纳尔迪尼奥任意球直接射门打入死角
62'塔尔德利发出战术角球！队友回传，塔尔德利挑传禁区后点，对方顶出底线                   60'广州富力第60分钟扳回一分，雷纳尔迪尼奥任意球直接射门打入死角
63'继续角球                   60'广州富力第60分钟扳回一分，雷纳尔迪尼奥任意球直接射门打入死角
63'蒿俊闵发角球到禁区内！对方顶了一下！                   60'广州富力第60分钟扳回一分，雷纳尔迪尼奥任意球直接射门打入死角
63'广州富力后场断球，戴琳铲抢横传球！没能过去！                   60'广州富力第60分钟扳回一分，雷纳尔迪尼奥任意球直接射门打入死角
63'雷纳迪尼奥长传球到禁区内右侧，吉尔破坏                   60'广州富力第60分钟扳回一分，雷纳尔迪尼奥任意球直接射门打入死角
55'托希奇左路带球突破，被三人包夹！                   55'第10分钟，山东鲁能率先打破僵局，蒿俊闵带球过中场后将球分边，郑铮快速插上后送出斜四十五度传中，佩莱反越位成功不停球直接凌空垫射破门，佩莱打入个人本赛季第12个进球，与塔尔德利并列山东鲁能队内第一射手
55'没人接应啊，托希奇传球失误                   55'第10分钟，山东鲁能率先打破僵局，蒿俊闵带球过中场后将球分边，郑铮快速插上后送出斜四十五度传中，佩莱反越位成功不停球直接凌空垫射破门，佩莱打入个人本赛季第12个进球，与塔尔德利并列山东鲁能队内第一射手
55'乌索在前场抢球犯规！                   55'第10分钟，山东鲁能率先打破僵局，蒿俊闵带球过中场后将球分边，郑铮快速插上后送出斜四十五度传中，佩莱反越位成功不停球直接凌空垫射破门，佩莱打入个人本赛季第12个进球，与塔尔德利并列山东鲁能队内第一射手
