5'进球啦！！！桑德兰球员弗莱彻球门线跟前头球,球从左下角飞进球门,球进了!助攻的是约翰逊. 桑德兰 1-0 纽卡斯尔.                   5'开场仅5分钟，亚当-约翰逊战术角球禁区右侧传中，史蒂文-弗莱彻远点头球破门
5'黄牌！桑德兰球员弗莱彻因为进球后脱衣庆祝,被主裁判出示黄牌.                   5'开场仅5分钟，亚当-约翰逊战术角球禁区右侧传中，史蒂文-弗莱彻远点头球破门
6'纽卡斯尔球员卡巴耶拼抢犯规,对手获得控球权.                   5'开场仅5分钟，亚当-约翰逊战术角球禁区右侧传中，史蒂文-弗莱彻远点头球破门
6'弗莱彻为桑德兰赢得一个任意球.                   5'开场仅5分钟，亚当-约翰逊战术角球禁区右侧传中，史蒂文-弗莱彻远点头球破门
8'S-拉尔森为桑德兰赢得一个任意球.                   5'开场仅5分钟，亚当-约翰逊战术角球禁区右侧传中，史蒂文-弗莱彻远点头球破门
8'纽卡斯尔球员桑顿拼抢犯规,对手获得控球权.                   5'开场仅5分钟，亚当-约翰逊战术角球禁区右侧传中，史蒂文-弗莱彻远点头球破门
84'纽卡斯尔球员本-阿尔法大禁区外左脚射门,被防守球员封堵.给他传球的是德布希.                   84'桑德兰第84分钟再度超出，阿尔蒂多尔传球，利物浦租借前锋博里尼20码处劲射破门
84'弗莱彻为桑德兰赢得一个任意球.                   84'桑德兰第84分钟再度超出，阿尔蒂多尔传球，利物浦租借前锋博里尼20码处劲射破门
84'纽卡斯尔球员Cheick Tioté拼抢犯规,对手获得控球权.                   84'桑德兰第84分钟再度超出，阿尔蒂多尔传球，利物浦租借前锋博里尼20码处劲射破门
84'进球啦！！！桑德兰球员博里尼大禁区外右脚射门,球从右上角飞进球门,球进了!助攻的是阿尔蒂多尔. 桑德兰 2-1 纽卡斯尔.                   84'桑德兰第84分钟再度超出，阿尔蒂多尔传球，利物浦租借前锋博里尼20码处劲射破门
86'纽卡斯尔换人,萨米-阿梅奥比换下库弗兰                   84'桑德兰第84分钟再度超出，阿尔蒂多尔传球，利物浦租借前锋博里尼20码处劲射破门
