1'上半场比赛开始！                   1'比利时劲旅第1分钟借助主场之利在右路施压，但曼联防线并未给对手任何机会
1'卡拉分前场左侧！直接被曼联队员挡出边线！                   1'比利时劲旅第1分钟借助主场之利在右路施压，但曼联防线并未给对手任何机会
1'左路努伊丁克挑传中路！没机会！回传后场阿皮亚！                   1'比利时劲旅第1分钟借助主场之利在右路施压，但曼联防线并未给对手任何机会
2'直接被断了！分身前伊布！遭遇逼抢！碰出界了！                   1'比利时劲旅第1分钟借助主场之利在右路施压，但曼联防线并未给对手任何机会
3'努伊丁克长传冲吊禁区！左侧！直接抽射！被拜利挡出边线！                   1'比利时劲旅第1分钟借助主场之利在右路施压，但曼联防线并未给对手任何机会
3'比赛继续！                   1'比利时劲旅第1分钟借助主场之利在右路施压，但曼联防线并未给对手任何机会
3'左路传中特林！左脚直接打了！被解围出去！                   1'比利时劲旅第1分钟借助主场之利在右路施压，但曼联防线并未给对手任何机会
3'姆希塔良分左路拉什福德！再回传身后卡里克！                   1'比利时劲旅第1分钟借助主场之利在右路施压，但曼联防线并未给对手任何机会
4'罗霍横敲拜利！再分中路博格巴！                   1'比利时劲旅第1分钟借助主场之利在右路施压，但曼联防线并未给对手任何机会
4'直塞禁区右侧！拉什福德拿到！往前带！被踢出边线！                   1'比利时劲旅第1分钟借助主场之利在右路施压，但曼联防线并未给对手任何机会
2'直接被断了！分身前伊布！遭遇逼抢！碰出界了！                   2'2分钟后，卡里克传球，拉什福德25码处劲射稍稍偏出右上角
3'努伊丁克长传冲吊禁区！左侧！直接抽射！被拜利挡出边线！                   2'2分钟后，卡里克传球，拉什福德25码处劲射稍稍偏出右上角
3'比赛继续！                   2'2分钟后，卡里克传球，拉什福德25码处劲射稍稍偏出右上角
3'左路传中特林！左脚直接打了！被解围出去！                   2'2分钟后，卡里克传球，拉什福德25码处劲射稍稍偏出右上角
3'姆希塔良分左路拉什福德！再回传身后卡里克！                   2'2分钟后，卡里克传球，拉什福德25码处劲射稍稍偏出右上角
4'罗霍横敲拜利！再分中路博格巴！                   2'2分钟后，卡里克传球，拉什福德25码处劲射稍稍偏出右上角
4'直塞禁区右侧！拉什福德拿到！往前带！被踢出边线！                   2'2分钟后，卡里克传球，拉什福德25码处劲射稍稍偏出右上角
5'姆希塔良中路直塞！直接被马丁内斯没收！                   2'2分钟后，卡里克传球，拉什福德25码处劲射稍稍偏出右上角
5'斯坦丘给到禁区左侧！直接被解围出底线！                   2'2分钟后，卡里克传球，拉什福德25码处劲射稍稍偏出右上角
5'角球！顶出来！外围！卡里克来一脚！                   2'2分钟后，卡里克传球，拉什福德25码处劲射稍稍偏出右上角
36'再回传身边！又低平球给右侧拜利！缓一下！给后场瓦伦西亚！                   36'曼联第36分钟取得领先，伊布分球右路，瓦伦西亚传中，拉什福德推射被鲁文勉强扑出，姆希塔良小禁区左侧补射空门入网
37'往前带！长传边路！传中！中路拉什福德打门！                   36'曼联第36分钟取得领先，伊布分球右路，瓦伦西亚传中，拉什福德推射被鲁文勉强扑出，姆希塔良小禁区左侧补射空门入网
37'马丁内斯一扑！禁区左侧姆希塔良补射！                   36'曼联第36分钟取得领先，伊布分球右路，瓦伦西亚传中，拉什福德推射被鲁文勉强扑出，姆希塔良小禁区左侧补射空门入网
37'进了进了进了进了！！！                   36'曼联第36分钟取得领先，伊布分球右路，瓦伦西亚传中，拉什福德推射被鲁文勉强扑出，姆希塔良小禁区左侧补射空门入网
