1'上半场比赛开始！                   1'双方第1分钟打出快节奏，卡索拉15码处劲射被德拉特在门线前挡出
1'首先开球的是莱斯特                   1'双方第1分钟打出快节奏，卡索拉15码处劲射被德拉特在门线前挡出
1'莱斯特左路带球进攻被破坏                   1'双方第1分钟打出快节奏，卡索拉15码处劲射被德拉特在门线前挡出
1'阿森纳长传转移给到左路                   1'双方第1分钟打出快节奏，卡索拉15码处劲射被德拉特在门线前挡出
2'蒙雷亚尔拿球选择先回敲                   1'双方第1分钟打出快节奏，卡索拉15码处劲射被德拉特在门线前挡出
2'阿森纳后场控球下来                   1'双方第1分钟打出快节奏，卡索拉15码处劲射被德拉特在门线前挡出
2'蒙雷亚尔挑传送到底线                   1'双方第1分钟打出快节奏，卡索拉15码处劲射被德拉特在门线前挡出
3'桑切斯接球的时候被撞开                   1'双方第1分钟打出快节奏，卡索拉15码处劲射被德拉特在门线前挡出
3'合理的冲撞                   1'双方第1分钟打出快节奏，卡索拉15码处劲射被德拉特在门线前挡出
3'阿森纳中场送直塞给到沃尔科特                   1'双方第1分钟打出快节奏，卡索拉15码处劲射被德拉特在门线前挡出
3'沃尔科特接球转身后到了禁区内                   1'双方第1分钟打出快节奏，卡索拉15码处劲射被德拉特在门线前挡出
4'面对门将搓远角稍稍高出                   1'双方第1分钟打出快节奏，卡索拉15码处劲射被德拉特在门线前挡出
4'边裁这边先举旗了                   1'双方第1分钟打出快节奏，卡索拉15码处劲射被德拉特在门线前挡出
4'慢镜头来看，这球确实越位了                   1'双方第1分钟打出快节奏，卡索拉15码处劲射被德拉特在门线前挡出
4'莱斯特中后卫最后提的那下非常关键                   1'双方第1分钟打出快节奏，卡索拉15码处劲射被德拉特在门线前挡出
4'阿森纳右路人球分过                   1'双方第1分钟打出快节奏，卡索拉15码处劲射被德拉特在门线前挡出
13'1-0！！                   13'莱斯特城第13分钟取得领先，德林沃特长传，马雷斯切入禁区左侧小角度射入远角
13'瓦尔迪！！                   13'莱斯特城第13分钟取得领先，德林沃特长传，马雷斯切入禁区左侧小角度射入远角
13'此时此刻值得来杯嘉士伯                   13'莱斯特城第13分钟取得领先，德林沃特长传，马雷斯切入禁区左侧小角度射入远角
14'拉姆塞前场接球内有些犹豫被断，莱斯特长传打反击，瓦尔迪停球下来到了禁区内，小角度推射远角破门！                   13'莱斯特城第13分钟取得领先，德林沃特长传，马雷斯切入禁区左侧小角度射入远角
14'马赫雷斯禁区外围打一脚被后卫挡出                   13'莱斯特城第13分钟取得领先，德林沃特长传，马雷斯切入禁区左侧小角度射入远角
15'阿森纳这边在后防上要有一些调整了                   13'莱斯特城第13分钟取得领先，德林沃特长传，马雷斯切入禁区左侧小角度射入远角
15'莱斯特突然的发力也是让阿森纳有些不适应                   13'莱斯特城第13分钟取得领先，德林沃特长传，马雷斯切入禁区左侧小角度射入远角
15'阿森纳拿球往中间挑                   13'莱斯特城第13分钟取得领先，德林沃特长传，马雷斯切入禁区左侧小角度射入远角
15'队友这球没有注意到                   13'莱斯特城第13分钟取得领先，德林沃特长传，马雷斯切入禁区左侧小角度射入远角
16'阿森纳禁区前沿直塞                   13'莱斯特城第13分钟取得领先，德林沃特长传，马雷斯切入禁区左侧小角度射入远角
16'沃尔科特接球后有些让了                   13'莱斯特城第13分钟取得领先，德林沃特长传，马雷斯切入禁区左侧小角度射入远角
16'舒梅切尔封住角度将球挡出底线                   13'莱斯特城第13分钟取得领先，德林沃特长传，马雷斯切入禁区左侧小角度射入远角
16'阿森纳角球送中路被莱斯特头球解围                   13'莱斯特城第13分钟取得领先，德林沃特长传，马雷斯切入禁区左侧小角度射入远角
16'阿森纳左路重新策动攻势                   13'莱斯特城第13分钟取得领先，德林沃特长传，马雷斯切入禁区左侧小角度射入远角
18'后卫封住了出球路线                   18'阿森纳第18分钟扳平比分，卡索拉反击中直传，反越位成功的沃尔科特禁区左肋10码处单刀推射击中右侧立柱内侧入网，1-1
18'莱斯特这边的打门又是打在横梁上！！                   18'阿森纳第18分钟扳平比分，卡索拉反击中直传，反越位成功的沃尔科特禁区左肋10码处单刀推射击中右侧立柱内侧入网，1-1
18'1-1！！                   18'阿森纳第18分钟扳平比分，卡索拉反击中直传，反越位成功的沃尔科特禁区左肋10码处单刀推射击中右侧立柱内侧入网，1-1
18'沃尔科特！！                   18'阿森纳第18分钟扳平比分，卡索拉反击中直传，反越位成功的沃尔科特禁区左肋10码处单刀推射击中右侧立柱内侧入网，1-1
18'此时此刻值得来杯嘉士伯                   18'阿森纳第18分钟扳平比分，卡索拉反击中直传，反越位成功的沃尔科特禁区左肋10码处单刀推射击中右侧立柱内侧入网，1-1
