3'萨帕塔将球处理出底线,拉齐奥获得角球.                   1'AC米兰第1分钟处于守势
3'拉齐奥球员米林科维奇大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是阿尔贝托.                   1'AC米兰第1分钟处于守势
16'射门!!!AC米兰球员恰尔汉奥卢大禁区左侧右脚射门,被对方守门员横身扑出.                   16'AC米兰第16分钟险些破门，卡拉布里亚禁区右侧下底传中，博里尼与马鲁希奇拼脚将球漏过，恰尔汉奥卢后点停球距门12米处抽射被斯特拉科沙一托击中右门柱弹回
16'AC米兰球员凯西大禁区外左脚射门,被防守球员封堵.                   16'AC米兰第16分钟险些破门，卡拉布里亚禁区右侧下底传中，博里尼与马鲁希奇拼脚将球漏过，恰尔汉奥卢后点停球距门12米处抽射被斯特拉科沙一托击中右门柱弹回
16'米林科维奇将球处理出底线,AC米兰获得角球.                   16'AC米兰第16分钟险些破门，卡拉布里亚禁区右侧下底传中，博里尼与马鲁希奇拼脚将球漏过，恰尔汉奥卢后点停球距门12米处抽射被斯特拉科沙一托击中右门柱弹回
28'拉齐奥球员米林科维奇一脚直塞球给因莫比莱,但是边裁举旗显示后者已经越位.                   28'拉齐奥第28分钟进球无效，米林科维奇-萨维奇左肋突破，与因莫比莱打出踢墙配合，在门前6米处外脚背弹射入网，但因莫比莱接球时越位在先
31'拉齐奥球员米林科维奇大禁区外右脚射门,被防守球员封堵.给他传球的是因莫比莱.                   28'拉齐奥第28分钟进球无效，米林科维奇-萨维奇左肋突破，与因莫比莱打出踢墙配合，在门前6米处外脚背弹射入网，但因莫比莱接球时越位在先
78'进球啦！！！AC米兰球员凯西大禁区外右脚射门,球从中路偏上飞进球门,球进了!助攻的是卡拉. 拉齐奥 0-1 AC米兰.                   78'AC米兰第78分钟打破僵局
49'华莱士将球处理出底线,AC米兰获得角球.                   49'AC米兰补时第4分钟被追平
50'卡拉为AC米兰在右路,赢得一个任意球.                   49'AC米兰补时第4分钟被追平
50'拉齐奥球员卢利奇拼抢犯规,对手获得控球权.                   49'AC米兰补时第4分钟被追平
50'苏索为AC米兰在右路,赢得一个任意球.                   49'AC米兰补时第4分钟被追平
50'拉齐奥球员卢利奇拼抢犯规,对手获得控球权.                   49'AC米兰补时第4分钟被追平
51'射门!!!AC米兰球员博里尼大禁区中央头球,被对方守门员横身扑出.给他传球的是苏索.                   49'AC米兰补时第4分钟被追平
