6'斯旺西左路边线发球给门将法比安斯基！                   6'利物浦开场第6分钟取得领先，萨拉赫传球，库蒂尼奥禁区弧顶外劲射右上角入网
6'法比安斯基大脚开球出去！                   6'利物浦开场第6分钟取得领先，萨拉赫传球，库蒂尼奥禁区弧顶外劲射右上角入网
6'埃姆雷詹中场抢断！                   6'利物浦开场第6分钟取得领先，萨拉赫传球，库蒂尼奥禁区弧顶外劲射右上角入网
6'埃姆雷詹回敲给到身后克拉万！                   6'利物浦开场第6分钟取得领先，萨拉赫传球，库蒂尼奥禁区弧顶外劲射右上角入网
6'克拉万低平球向前给！                   6'利物浦开场第6分钟取得领先，萨拉赫传球，库蒂尼奥禁区弧顶外劲射右上角入网
6'梅萨把球抢断下来！                   6'利物浦开场第6分钟取得领先，萨拉赫传球，库蒂尼奥禁区弧顶外劲射右上角入网
6'梅萨低平球向前给到阿尤！                   6'利物浦开场第6分钟取得领先，萨拉赫传球，库蒂尼奥禁区弧顶外劲射右上角入网
6'菲尔米诺前场把球抢断了！                   6'利物浦开场第6分钟取得领先，萨拉赫传球，库蒂尼奥禁区弧顶外劲射右上角入网
7'菲尔米诺斜传禁区前沿左侧的库蒂尼奥！                   6'利物浦开场第6分钟取得领先，萨拉赫传球，库蒂尼奥禁区弧顶外劲射右上角入网
7'库蒂尼奥接应皮球！外围远射！！！                   6'利物浦开场第6分钟取得领先，萨拉赫传球，库蒂尼奥禁区弧顶外劲射右上角入网
7'GOOOOOOOOOOOOOOOAL！！！                   6'利物浦开场第6分钟取得领先，萨拉赫传球，库蒂尼奥禁区弧顶外劲射右上角入网
7'利物浦1-0斯旺西！                   6'利物浦开场第6分钟取得领先，萨拉赫传球，库蒂尼奥禁区弧顶外劲射右上角入网
7'库蒂尼奥兜出一脚弧线球啊！                   6'利物浦开场第6分钟取得领先，萨拉赫传球，库蒂尼奥禁区弧顶外劲射右上角入网
9'诺顿斜线球给到禁区右侧！                   6'利物浦开场第6分钟取得领先，萨拉赫传球，库蒂尼奥禁区弧顶外劲射右上角入网
9'麦克伯尼分给右侧插上的劳特利奇！                   6'利物浦开场第6分钟取得领先，萨拉赫传球，库蒂尼奥禁区弧顶外劲射右上角入网
9'劳特利奇弧线球传中到 禁区后点！                   6'利物浦开场第6分钟取得领先，萨拉赫传球，库蒂尼奥禁区弧顶外劲射右上角入网
9'米尼奥莱稳稳把球抱住没收！                   6'利物浦开场第6分钟取得领先，萨拉赫传球，库蒂尼奥禁区弧顶外劲射右上角入网
52'法比安斯基大脚开球出去！                   52'利物浦第52分钟扩大比分，库蒂尼奥任意球斜传，菲尔米诺小禁区右侧垫射入网，2-0
52'直接传出了边线！                   52'利物浦第52分钟扩大比分，库蒂尼奥任意球斜传，菲尔米诺小禁区右侧垫射入网，2-0
52'利物浦后场边线发球给到中路克拉万！                   52'利物浦第52分钟扩大比分，库蒂尼奥任意球斜传，菲尔米诺小禁区右侧垫射入网，2-0
52'克拉万低平球向前给到库蒂尼奥！                   52'利物浦第52分钟扩大比分，库蒂尼奥任意球斜传，菲尔米诺小禁区右侧垫射入网，2-0
52'库蒂尼奥被费尔推倒！费尔的犯规！                   52'利物浦第52分钟扩大比分，库蒂尼奥任意球斜传，菲尔米诺小禁区右侧垫射入网，2-0
53'利物浦前场左路的任意球！                   52'利物浦第52分钟扩大比分，库蒂尼奥任意球斜传，菲尔米诺小禁区右侧垫射入网，2-0
53'开球弧线球传中！                   52'利物浦第52分钟扩大比分，库蒂尼奥任意球斜传，菲尔米诺小禁区右侧垫射入网，2-0
53'皮球到禁区后点！                   52'利物浦第52分钟扩大比分，库蒂尼奥任意球斜传，菲尔米诺小禁区右侧垫射入网，2-0
53'菲尔米诺插上一脚打门！！                   52'利物浦第52分钟扩大比分，库蒂尼奥任意球斜传，菲尔米诺小禁区右侧垫射入网，2-0
53'GOOOOOOOOOOOOAL！！！                   52'利物浦第52分钟扩大比分，库蒂尼奥任意球斜传，菲尔米诺小禁区右侧垫射入网，2-0
53'法比安斯基大脚开球到中场！                   52'利物浦第52分钟扩大比分，库蒂尼奥任意球斜传，菲尔米诺小禁区右侧垫射入网，2-0
53'费尔把球给右侧劳特利奇！                   52'利物浦第52分钟扩大比分，库蒂尼奥任意球斜传，菲尔米诺小禁区右侧垫射入网，2-0
53'维纳尔杜姆抢断下来！把球停出边线了啊！                   52'利物浦第52分钟扩大比分，库蒂尼奥任意球斜传，菲尔米诺小禁区右侧垫射入网，2-0
54' 斯旺西前场右路边线发球！被 张伯伦抢断下来！                   52'利物浦第52分钟扩大比分，库蒂尼奥任意球斜传，菲尔米诺小禁区右侧垫射入网，2-0
