15'进球啦！！！那不勒斯球员卡列洪大禁区外左脚射门,球从左上角飞进球门,球进了!助攻的是泽马伊利. 那不勒斯 1-0 卡塔尼亚.                   15'第15分钟，泽马伊利传球，卡列洪左脚弧线球挂左上角，1比0
18'莱格罗塔列为卡塔尼亚在对方半场,赢得一个任意球.                   15'第15分钟，泽马伊利传球，卡列洪左脚弧线球挂左上角，1比0
18'那不勒斯球员贝赫拉米拼抢犯规,对手获得控球权.                   15'第15分钟，泽马伊利传球，卡列洪左脚弧线球挂左上角，1比0
25'进球啦！！！卡塔尼亚球员卡斯特罗大禁区中央左脚射门,球从左下角飞进球门,球进了!助攻的是比拉吉. 那不勒斯 2-1 卡塔尼亚.                   25'第25分钟，比拉吉禁区左侧反越位低传，卡斯特罗后点距门10米处左脚推射入左下角，1比2，这是卡塔尼亚在德卡尼奥上任后首粒进球
26'卡塔尼亚球员伊兹科拼抢犯规,对手获得控球权.                   25'第25分钟，比拉吉禁区左侧反越位低传，卡斯特罗后点距门10米处左脚推射入左下角，1比2，这是卡塔尼亚在德卡尼奥上任后首粒进球
26'贝赫拉米为那不勒斯在对方半场,赢得一个任意球.                   25'第25分钟，比拉吉禁区左侧反越位低传，卡斯特罗后点距门10米处左脚推射入左下角，1比2，这是卡塔尼亚在德卡尼奥上任后首粒进球
27'阿尔米隆为卡塔尼亚在对方半场,赢得一个任意球.                   25'第25分钟，比拉吉禁区左侧反越位低传，卡斯特罗后点距门10米处左脚推射入左下角，1比2，这是卡塔尼亚在德卡尼奥上任后首粒进球
27'那不勒斯球员费尔南德斯拼抢犯规,对手获得控球权.                   25'第25分钟，比拉吉禁区左侧反越位低传，卡斯特罗后点距门10米处左脚推射入左下角，1比2，这是卡塔尼亚在德卡尼奥上任后首粒进球
27'卡塔尼亚球员莱格罗塔列拼抢犯规,对手获得控球权.                   25'第25分钟，比拉吉禁区左侧反越位低传，卡斯特罗后点距门10米处左脚推射入左下角，1比2，这是卡塔尼亚在德卡尼奥上任后首粒进球
27'伊瓜因为那不勒斯赢得一个任意球.                   25'第25分钟，比拉吉禁区左侧反越位低传，卡斯特罗后点距门10米处左脚推射入左下角，1比2，这是卡塔尼亚在德卡尼奥上任后首粒进球
54'射门!!!那不勒斯球员伊瓜因大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是卡列洪.                   54'第54分钟，卡列洪直传禁区右侧，伊瓜因斜射被安杜哈尔封出底线，卡列洪开出角球，费尔南德斯头球偏出右门柱
54'安杜哈尔将球处理出底线,那不勒斯获得角球.                   54'第54分钟，卡列洪直传禁区右侧，伊瓜因斜射被安杜哈尔封出底线，卡列洪开出角球，费尔南德斯头球偏出右门柱
