5'裴帅吊高球到禁区，杨智把球没收                   5'第5分钟，王晓龙中路远射打偏
6'王晓龙尝试一脚远射打偏了                   5'第5分钟，王晓龙中路远射打偏
6'我们看到周挺在看台上观战                   5'第5分钟，王晓龙中路远射打偏
6'今天他是做球监啊                   5'第5分钟，王晓龙中路远射打偏
7'亚泰获得前场任意球机会                   5'第5分钟，王晓龙中路远射打偏
8'刘晓东将球发到禁区里，曹添堡抢点头球顶偏了                   5'第5分钟，王晓龙中路远射打偏
10'朴成送身后球找格隆，格隆前程抽射被米田贺扑出                   10'第10分钟，国安中路快攻中朴成巧妙斜传亚泰禁区右侧，格隆前插攻门被米田贺扑出底线
11'北京国安队获得角球的机会                   10'第10分钟，国安中路快攻中朴成巧妙斜传亚泰禁区右侧，格隆前插攻门被米田贺扑出底线
11'张稀哲角球发到门前被防守队员解围                   10'第10分钟，国安中路快攻中朴成巧妙斜传亚泰禁区右侧，格隆前插攻门被米田贺扑出底线
11'亚泰开场之后打得倒是积极主动                   10'第10分钟，国安中路快攻中朴成巧妙斜传亚泰禁区右侧，格隆前插攻门被米田贺扑出底线
12'今天雷腾龙顶替周挺出任右后卫                   10'第10分钟，国安中路快攻中朴成巧妙斜传亚泰禁区右侧，格隆前插攻门被米田贺扑出底线
12'雷腾龙右路助攻上来，接应马季奇传球                   10'第10分钟，国安中路快攻中朴成巧妙斜传亚泰禁区右侧，格隆前插攻门被米田贺扑出底线
12'雷腾龙右路45度传中，卡努特半转身凌空打高了                   10'第10分钟，国安中路快攻中朴成巧妙斜传亚泰禁区右侧，格隆前插攻门被米田贺扑出底线
13'看来雷腾龙的传中有所进步                   10'第10分钟，国安中路快攻中朴成巧妙斜传亚泰禁区右侧，格隆前插攻门被米田贺扑出底线
13'前几场雷腾龙的传中给人的感觉就是没有准星，今天一上来第一脚传中感觉还是不错的                   10'第10分钟，国安中路快攻中朴成巧妙斜传亚泰禁区右侧，格隆前插攻门被米田贺扑出底线
19'卡努特回撤接球，伊斯梅洛夫跟防出来，犯规了                   19'第19分钟，国安通过流畅配合取得入球――徐云龙中场直线挑传策动攻势，王晓龙将球捅给左侧的张稀哲，后者斜传亚泰禁区右翼，卡努特右脚停球后面对米田贺左脚冷静施射破门，国安1-0领先
19'北京国安进球了                   19'第19分钟，国安通过流畅配合取得入球――徐云龙中场直线挑传策动攻势，王晓龙将球捅给左侧的张稀哲，后者斜传亚泰禁区右翼，卡努特右脚停球后面对米田贺左脚冷静施射破门，国安1-0领先
19'进球的是——卡努特！                   19'第19分钟，国安通过流畅配合取得入球――徐云龙中场直线挑传策动攻势，王晓龙将球捅给左侧的张稀哲，后者斜传亚泰禁区右翼，卡努特右脚停球后面对米田贺左脚冷静施射破门，国安1-0领先
20'进球回放：张稀哲禁区前搓传身后，卡努特前插左脚冷静推射远角破门                   19'第19分钟，国安通过流畅配合取得入球――徐云龙中场直线挑传策动攻势，王晓龙将球捅给左侧的张稀哲，后者斜传亚泰禁区右翼，卡努特右脚停球后面对米田贺左脚冷静施射破门，国安1-0领先
21'北京国安队很快取得了领先的优势                   19'第19分钟，国安通过流畅配合取得入球――徐云龙中场直线挑传策动攻势，王晓龙将球捅给左侧的张稀哲，后者斜传亚泰禁区右翼，卡努特右脚停球后面对米田贺左脚冷静施射破门，国安1-0领先
21'卡努特的停球射门很连贯很优雅                   19'第19分钟，国安通过流畅配合取得入球――徐云龙中场直线挑传策动攻势，王晓龙将球捅给左侧的张稀哲，后者斜传亚泰禁区右翼，卡努特右脚停球后面对米田贺左脚冷静施射破门，国安1-0领先
21'展现了自己过人的实力                   19'第19分钟，国安通过流畅配合取得入球――徐云龙中场直线挑传策动攻势，王晓龙将球捅给左侧的张稀哲，后者斜传亚泰禁区右翼，卡努特右脚停球后面对米田贺左脚冷静施射破门，国安1-0领先
22'格隆在边路带球，把球回传接应的张辛昕                   19'第19分钟，国安通过流畅配合取得入球――徐云龙中场直线挑传策动攻势，王晓龙将球捅给左侧的张稀哲，后者斜传亚泰禁区右翼，卡努特右脚停球后面对米田贺左脚冷静施射破门，国安1-0领先
22'张笑飞边路助攻上来，把球交给裴帅组织                   19'第19分钟，国安通过流畅配合取得入球――徐云龙中场直线挑传策动攻势，王晓龙将球捅给左侧的张稀哲，后者斜传亚泰禁区右翼，卡努特右脚停球后面对米田贺左脚冷静施射破门，国安1-0领先
27'伊斯梅洛夫带球助攻被格隆断球                   27'第27分钟，张文钊换至左侧快速突破，进入禁区后与徐云龙接触倒地，日本主裁判中村太示意不存在犯规
28'国安队后场长传找王晓龙，球传大了                   27'第27分钟，张文钊换至左侧快速突破，进入禁区后与徐云龙接触倒地，日本主裁判中村太示意不存在犯规
28'张文钊左路带球突破，最后在徐云龙的防守下把球丢了                   27'第27分钟，张文钊换至左侧快速突破，进入禁区后与徐云龙接触倒地，日本主裁判中村太示意不存在犯规
29'张文钊向裁判示意这是犯规，裁判没有理睬                   27'第27分钟，张文钊换至左侧快速突破，进入禁区后与徐云龙接触倒地，日本主裁判中村太示意不存在犯规
29'张文钊在边路的能力很是突出                   27'第27分钟，张文钊换至左侧快速突破，进入禁区后与徐云龙接触倒地，日本主裁判中村太示意不存在犯规
30'卡洛斯中路和张文钊做配合没有成功                   27'第27分钟，张文钊换至左侧快速突破，进入禁区后与徐云龙接触倒地，日本主裁判中村太示意不存在犯规
30'张笑飞在边路进攻的时候失误了                   27'第27分钟，张文钊换至左侧快速突破，进入禁区后与徐云龙接触倒地，日本主裁判中村太示意不存在犯规
32'卡努特挑传，朴成左路高速插上                   32'第32分钟，国安反击中再度制造威胁，卡努特中路斜传亚泰防线身后，朴成左侧斜插入禁区，面对门将与后卫围堵转身调整后小角度低射被米田贺挡在边网上
32'卡努特突入禁区，左路小角度射门被米田贺封出                   32'第32分钟，国安反击中再度制造威胁，卡努特中路斜传亚泰防线身后，朴成左侧斜插入禁区，面对门将与后卫围堵转身调整后小角度低射被米田贺挡在边网上
33'北京国安队获得角球的机会                   32'第32分钟，国安反击中再度制造威胁，卡努特中路斜传亚泰防线身后，朴成左侧斜插入禁区，面对门将与后卫围堵转身调整后小角度低射被米田贺挡在边网上
33'北京国安队角球发出来，第一点被后卫解围                   32'第32分钟，国安反击中再度制造威胁，卡努特中路斜传亚泰防线身后，朴成左侧斜插入禁区，面对门将与后卫围堵转身调整后小角度低射被米田贺挡在边网上
33'外围卡努特争抢的时候抬脚过高犯规了                   32'第32分钟，国安反击中再度制造威胁，卡努特中路斜传亚泰防线身后，朴成左侧斜插入禁区，面对门将与后卫围堵转身调整后小角度低射被米田贺挡在边网上
34'朴成中场防守张笑飞突破的时候犯规了                   32'第32分钟，国安反击中再度制造威胁，卡努特中路斜传亚泰防线身后，朴成左侧斜插入禁区，面对门将与后卫围堵转身调整后小角度低射被米田贺挡在边网上
34'卡努特中路推进把球分到了左路给了王晓龙                   32'第32分钟，国安反击中再度制造威胁，卡努特中路斜传亚泰防线身后，朴成左侧斜插入禁区，面对门将与后卫围堵转身调整后小角度低射被米田贺挡在边网上
35'王晓龙左路带球向前到禁区边上尝试一脚射门打高了                   32'第32分钟，国安反击中再度制造威胁，卡努特中路斜传亚泰防线身后，朴成左侧斜插入禁区，面对门将与后卫围堵转身调整后小角度低射被米田贺挡在边网上
35'张文钊右路带球遭遇张辛昕、王晓龙围抢，球丢了                   32'第32分钟，国安反击中再度制造威胁，卡努特中路斜传亚泰防线身后，朴成左侧斜插入禁区，面对门将与后卫围堵转身调整后小角度低射被米田贺挡在边网上
35'格隆回防拼抢的时候犯规了                   32'第32分钟，国安反击中再度制造威胁，卡努特中路斜传亚泰防线身后，朴成左侧斜插入禁区，面对门将与后卫围堵转身调整后小角度低射被米田贺挡在边网上
37'卡努特边路马赛回旋过人                   37'第37分钟，卡努特左边路以“马赛回旋”动作摆脱过人，王晓龙斜传亚泰门前，格隆到位但未能踢正皮球
37'王晓龙边路传中，格隆门前抢点差了一点点                   37'第37分钟，卡努特左边路以“马赛回旋”动作摆脱过人，王晓龙斜传亚泰门前，格隆到位但未能踢正皮球
37'卡努特今天踢球的感觉很好啊                   37'第37分钟，卡努特左边路以“马赛回旋”动作摆脱过人，王晓龙斜传亚泰门前，格隆到位但未能踢正皮球
38'郎征防守卡洛斯的时候犯规                   37'第37分钟，卡努特左边路以“马赛回旋”动作摆脱过人，王晓龙斜传亚泰门前，格隆到位但未能踢正皮球
38'郎征被黄牌警告                   37'第37分钟，卡努特左边路以“马赛回旋”动作摆脱过人，王晓龙斜传亚泰门前，格隆到位但未能踢正皮球
38'郎征面对强壮的卡洛斯也是心有余力不足                   37'第37分钟，卡努特左边路以“马赛回旋”动作摆脱过人，王晓龙斜传亚泰门前，格隆到位但未能踢正皮球
39'伊萨克换下卡洛斯                   37'第37分钟，卡努特左边路以“马赛回旋”动作摆脱过人，王晓龙斜传亚泰门前，格隆到位但未能踢正皮球
39'卡洛斯对这个换人相当不满                   37'第37分钟，卡努特左边路以“马赛回旋”动作摆脱过人，王晓龙斜传亚泰门前，格隆到位但未能踢正皮球
39'卡洛斯一直在向李树斌发泄不满                   37'第37分钟，卡努特左边路以“马赛回旋”动作摆脱过人，王晓龙斜传亚泰门前，格隆到位但未能踢正皮球
40'确实对于职业球员来讲，上半场就被换下场是一件很丢人的事情                   37'第37分钟，卡努特左边路以“马赛回旋”动作摆脱过人，王晓龙斜传亚泰门前，格隆到位但未能踢正皮球
46'上半场比赛接近尾声了                   46'1分钟后张笑飞左侧底线前穿裆突破雷腾龙后传中，张文钊中路抢点捅射被杨智没收
46'张稀哲左路挑传格隆，伊斯梅洛夫抢先解围                   46'1分钟后张笑飞左侧底线前穿裆突破雷腾龙后传中，张文钊中路抢点捅射被杨智没收
46'上半场补时一分钟                   46'1分钟后张笑飞左侧底线前穿裆突破雷腾龙后传中，张文钊中路抢点捅射被杨智没收
47'张文钊把球传入禁区找伊萨克，杨智出击把球得到                   46'1分钟后张笑飞左侧底线前穿裆突破雷腾龙后传中，张文钊中路抢点捅射被杨智没收
47'杨智和伊萨克撞到一起                   46'1分钟后张笑飞左侧底线前穿裆突破雷腾龙后传中，张文钊中路抢点捅射被杨智没收
47'杨智目前还是倒地不起啊                   46'1分钟后张笑飞左侧底线前穿裆突破雷腾龙后传中，张文钊中路抢点捅射被杨智没收
46'下半场开始了                   46'1分钟后张笑飞左侧底线前穿裆突破雷腾龙后传中，张文钊中路抢点捅射被杨智没收
46'张笑飞对王晓龙犯规                   46'1分钟后张笑飞左侧底线前穿裆突破雷腾龙后传中，张文钊中路抢点捅射被杨智没收
47'看看下半场亚泰队的进攻会不会有所改观                   46'1分钟后张笑飞左侧底线前穿裆突破雷腾龙后传中，张文钊中路抢点捅射被杨智没收
48'刘晓东边路拿球，徐云龙上去将球解围                   46'1分钟后张笑飞左侧底线前穿裆突破雷腾龙后传中，张文钊中路抢点捅射被杨智没收
48'张稀哲边路防守的时候犯规了                   46'1分钟后张笑飞左侧底线前穿裆突破雷腾龙后传中，张文钊中路抢点捅射被杨智没收
48'亚泰队获得前场任意球的机会                   46'1分钟后张笑飞左侧底线前穿裆突破雷腾龙后传中，张文钊中路抢点捅射被杨智没收
48'张文钊把球发到禁区里，裁判员吹了进攻队员犯规                   46'1分钟后张笑飞左侧底线前穿裆突破雷腾龙后传中，张文钊中路抢点捅射被杨智没收
49'今天的主裁判来自日本                   46'1分钟后张笑飞左侧底线前穿裆突破雷腾龙后传中，张文钊中路抢点捅射被杨智没收
46'上半场比赛接近尾声了                   46'1分钟后郎征外围攻门被挡偏出底线；国安角球冲击中，格隆倒钩攻门稍偏出
46'张稀哲左路挑传格隆，伊斯梅洛夫抢先解围                   46'1分钟后郎征外围攻门被挡偏出底线；国安角球冲击中，格隆倒钩攻门稍偏出
46'上半场补时一分钟                   46'1分钟后郎征外围攻门被挡偏出底线；国安角球冲击中，格隆倒钩攻门稍偏出
47'张文钊把球传入禁区找伊萨克，杨智出击把球得到                   46'1分钟后郎征外围攻门被挡偏出底线；国安角球冲击中，格隆倒钩攻门稍偏出
47'杨智和伊萨克撞到一起                   46'1分钟后郎征外围攻门被挡偏出底线；国安角球冲击中，格隆倒钩攻门稍偏出
47'杨智目前还是倒地不起啊                   46'1分钟后郎征外围攻门被挡偏出底线；国安角球冲击中，格隆倒钩攻门稍偏出
46'下半场开始了                   46'1分钟后郎征外围攻门被挡偏出底线；国安角球冲击中，格隆倒钩攻门稍偏出
46'张笑飞对王晓龙犯规                   46'1分钟后郎征外围攻门被挡偏出底线；国安角球冲击中，格隆倒钩攻门稍偏出
47'看看下半场亚泰队的进攻会不会有所改观                   46'1分钟后郎征外围攻门被挡偏出底线；国安角球冲击中，格隆倒钩攻门稍偏出
48'刘晓东边路拿球，徐云龙上去将球解围                   46'1分钟后郎征外围攻门被挡偏出底线；国安角球冲击中，格隆倒钩攻门稍偏出
48'张稀哲边路防守的时候犯规了                   46'1分钟后郎征外围攻门被挡偏出底线；国安角球冲击中，格隆倒钩攻门稍偏出
48'亚泰队获得前场任意球的机会                   46'1分钟后郎征外围攻门被挡偏出底线；国安角球冲击中，格隆倒钩攻门稍偏出
48'张文钊把球发到禁区里，裁判员吹了进攻队员犯规                   46'1分钟后郎征外围攻门被挡偏出底线；国安角球冲击中，格隆倒钩攻门稍偏出
49'今天的主裁判来自日本                   46'1分钟后郎征外围攻门被挡偏出底线；国安角球冲击中，格隆倒钩攻门稍偏出
51'北京国安队获得角球的机会                   51'易边后亚泰阵型进一步前压，下半场前6分钟持续将国安压制在半场；第51分钟，卡努特策动国安右路反击，王晓龙扣球内切后攻门被王万鹏挡出
51'王晓龙角球发出来，伊斯梅洛夫头球解围                   51'易边后亚泰阵型进一步前压，下半场前6分钟持续将国安压制在半场；第51分钟，卡努特策动国安右路反击，王晓龙扣球内切后攻门被王万鹏挡出
51'麦凯外围争抢的时候犯规了                   51'易边后亚泰阵型进一步前压，下半场前6分钟持续将国安压制在半场；第51分钟，卡努特策动国安右路反击，王晓龙扣球内切后攻门被王万鹏挡出
51'北京国安队获得前场任意球机会                   51'易边后亚泰阵型进一步前压，下半场前6分钟持续将国安压制在半场；第51分钟，卡努特策动国安右路反击，王晓龙扣球内切后攻门被王万鹏挡出
52'距离球门28米                   51'易边后亚泰阵型进一步前压，下半场前6分钟持续将国安压制在半场；第51分钟，卡努特策动国安右路反击，王晓龙扣球内切后攻门被王万鹏挡出
52'张稀哲发出任意球，第一点伊斯梅洛夫解围                   51'易边后亚泰阵型进一步前压，下半场前6分钟持续将国安压制在半场；第51分钟，卡努特策动国安右路反击，王晓龙扣球内切后攻门被王万鹏挡出
53'亚泰发动反击，杨智弃门出击在禁区外把球得到                   51'易边后亚泰阵型进一步前压，下半场前6分钟持续将国安压制在半场；第51分钟，卡努特策动国安右路反击，王晓龙扣球内切后攻门被王万鹏挡出
53'张文钊逼抢上来杨智轻巧地扣球过人过掉张文钊                   51'易边后亚泰阵型进一步前压，下半场前6分钟持续将国安压制在半场；第51分钟，卡努特策动国安右路反击，王晓龙扣球内切后攻门被王万鹏挡出
53'看来杨智的脚下活真不赖啊                   51'易边后亚泰阵型进一步前压，下半场前6分钟持续将国安压制在半场；第51分钟，卡努特策动国安右路反击，王晓龙扣球内切后攻门被王万鹏挡出
54'刘晓东边路传中，杨智出击把球摘下                   51'易边后亚泰阵型进一步前压，下半场前6分钟持续将国安压制在半场；第51分钟，卡努特策动国安右路反击，王晓龙扣球内切后攻门被王万鹏挡出
54'国安队发动反击，刘晓东战术犯规                   51'易边后亚泰阵型进一步前压，下半场前6分钟持续将国安压制在半场；第51分钟，卡努特策动国安右路反击，王晓龙扣球内切后攻门被王万鹏挡出
54'刘晓东被黄牌警告                   51'易边后亚泰阵型进一步前压，下半场前6分钟持续将国安压制在半场；第51分钟，卡努特策动国安右路反击，王晓龙扣球内切后攻门被王万鹏挡出
54'朴成传中到禁区，伊斯梅洛夫解围                   51'易边后亚泰阵型进一步前压，下半场前6分钟持续将国安压制在半场；第51分钟，卡努特策动国安右路反击，王晓龙扣球内切后攻门被王万鹏挡出
58'裴帅选择直接射门打在了人墙上弹出                   58'第58分钟，裴帅制造卡努特犯规，其距离球门30米任意球攻门被国安人墙封堵
58'亚泰在右路获得任意球的机会                   58'第58分钟，裴帅制造卡努特犯规，其距离球门30米任意球攻门被国安人墙封堵
59'张文钊将球发到禁区里，雷腾龙头球解围                   58'第58分钟，裴帅制造卡努特犯规，其距离球门30米任意球攻门被国安人墙封堵
59'亚泰队获得角球的机会                   58'第58分钟，裴帅制造卡努特犯规，其距离球门30米任意球攻门被国安人墙封堵
60'亚泰角球直接发到另一侧，伊萨克把球追上                   58'第58分钟，裴帅制造卡努特犯规，其距离球门30米任意球攻门被国安人墙封堵
60'伊萨克右路传中，王万鹏射门打高了                   58'第58分钟，裴帅制造卡努特犯规，其距离球门30米任意球攻门被国安人墙封堵
60'国安队准备要换人了                   58'第58分钟，裴帅制造卡努特犯规，其距离球门30米任意球攻门被国安人墙封堵
60'看样子是杨运要上场了                   58'第58分钟，裴帅制造卡努特犯规，其距离球门30米任意球攻门被国安人墙封堵
60'这段时间亚泰的攻势很凌厉                   58'第58分钟，裴帅制造卡努特犯规，其距离球门30米任意球攻门被国安人墙封堵
61'张文钊带球内切打门被防守队员挡出                   58'第58分钟，裴帅制造卡努特犯规，其距离球门30米任意球攻门被国安人墙封堵
61'王万鹏对格隆犯规，组织格隆带球反击                   58'第58分钟，裴帅制造卡努特犯规，其距离球门30米任意球攻门被国安人墙封堵
61'王万鹏对格隆犯规，阻止格隆带球反击                   58'第58分钟，裴帅制造卡努特犯规，其距离球门30米任意球攻门被国安人墙封堵
61'杨运换下卡努特                   58'第58分钟，裴帅制造卡努特犯规，其距离球门30米任意球攻门被国安人墙封堵
61'球迷们也是把热烈的掌声送给卡努特                   58'第58分钟，裴帅制造卡努特犯规，其距离球门30米任意球攻门被国安人墙封堵
62'换上杨运主要是能够加强防守                   62'第62分钟，张文钊中路远射被国安防线封堵
62'杨运在近几场比赛中防守端表现不错                   62'第62分钟，张文钊中路远射被国安防线封堵
63'国安队把球吊入禁区找格隆，格隆倒地了                   62'第62分钟，张文钊中路远射被国安防线封堵
63'点球                   62'第62分钟，张文钊中路远射被国安防线封堵
63'格隆胸部停球进了禁区，王万鹏从背后拉倒了格隆                   62'第62分钟，张文钊中路远射被国安防线封堵
63'王万鹏被红牌罚出场                   62'第62分钟，张文钊中路远射被国安防线封堵
64'亚泰队真是屋漏偏锋连阴雨啊                   62'第62分钟，张文钊中路远射被国安防线封堵
64'北京国安队角球的机会                   62'第62分钟，张文钊中路远射被国安防线封堵
64'张稀哲来主罚                   62'第62分钟，张文钊中路远射被国安防线封堵
64'点球罚中！                   62'第62分钟，张文钊中路远射被国安防线封堵
65'进球回放：张稀哲点球罚球门左侧，米田贺虽然判断对方向但是球速比较快没有扑住                   62'第62分钟，张文钊中路远射被国安防线封堵
65'进球回放：张稀哲点球罚球门左侧，米田贺虽然判断对方向但是球速比较快没有扑住                   65'第65分钟，国安长传反击赢得点球――格隆禁区内停球转身时被王万鹏接触中推倒，裁判判定点球，并在亚泰球员抗议情况下果断将王万鹏红牌罚下；张稀哲操刀点球命中，国安2-0领先
66'北京国安队士气大振啊                   65'第65分钟，国安长传反击赢得点球――格隆禁区内停球转身时被王万鹏接触中推倒，裁判判定点球，并在亚泰球员抗议情况下果断将王万鹏红牌罚下；张稀哲操刀点球命中，国安2-0领先
66'王晓龙左路突入禁区小角度射门稍微偏出                   65'第65分钟，国安长传反击赢得点球――格隆禁区内停球转身时被王万鹏接触中推倒，裁判判定点球，并在亚泰球员抗议情况下果断将王万鹏红牌罚下；张稀哲操刀点球命中，国安2-0领先
67'这下亚泰队更难打了，落后两球还少打一人                   65'第65分钟，国安长传反击赢得点球――格隆禁区内停球转身时被王万鹏接触中推倒，裁判判定点球，并在亚泰球员抗议情况下果断将王万鹏红牌罚下；张稀哲操刀点球命中，国安2-0领先
68'张辛昕左路传中，第一点被防守队员解围                   65'第65分钟，国安长传反击赢得点球――格隆禁区内停球转身时被王万鹏接触中推倒，裁判判定点球，并在亚泰球员抗议情况下果断将王万鹏红牌罚下；张稀哲操刀点球命中，国安2-0领先
72'外围还是朴成，起脚远射打飞了                   72'第72分钟，朴成外围远射打高；片刻后张文钊远射则被雷腾龙封堵
73'亚泰队前场逼抢的时候犯规                   72'第72分钟，朴成外围远射打高；片刻后张文钊远射则被雷腾龙封堵
73'北京国安发动反击，朴成传球找格隆，格隆越位了                   72'第72分钟，朴成外围远射打高；片刻后张文钊远射则被雷腾龙封堵
74'现在一方面亚泰少打一人，一方面又要压上进攻，北京队反击的空间很大啊                   72'第72分钟，朴成外围远射打高；片刻后张文钊远射则被雷腾龙封堵
75'邵佳一准备要出场了                   72'第72分钟，朴成外围远射打高；片刻后张文钊远射则被雷腾龙封堵
75'张文钊内切打门被雷腾龙挡出                   72'第72分钟，朴成外围远射打高；片刻后张文钊远射则被雷腾龙封堵
48'刘晓东边路拿球，徐云龙上去将球解围                   48'经3分钟补时后，比分定格为2-0，国安主场奏凯
48'张稀哲边路防守的时候犯规了                   48'经3分钟补时后，比分定格为2-0，国安主场奏凯
48'亚泰队获得前场任意球的机会                   48'经3分钟补时后，比分定格为2-0，国安主场奏凯
48'张文钊把球发到禁区里，裁判员吹了进攻队员犯规                   48'经3分钟补时后，比分定格为2-0，国安主场奏凯
49'今天的主裁判来自日本                   48'经3分钟补时后，比分定格为2-0，国安主场奏凯
50'曹添堡挑传伊萨克，张辛昕解围                   48'经3分钟补时后，比分定格为2-0，国安主场奏凯
50'张笑飞左路传中，郎征头球解围                   48'经3分钟补时后，比分定格为2-0，国安主场奏凯
50'王晓龙右路突破到底线扣入禁区，左脚劲射打在伊斯梅洛夫身上出界                   48'经3分钟补时后，比分定格为2-0，国安主场奏凯
51'北京国安队获得角球的机会                   48'经3分钟补时后，比分定格为2-0，国安主场奏凯
51'王晓龙角球发出来，伊斯梅洛夫头球解围                   48'经3分钟补时后，比分定格为2-0，国安主场奏凯
51'麦凯外围争抢的时候犯规了                   48'经3分钟补时后，比分定格为2-0，国安主场奏凯
51'北京国安队获得前场任意球机会                   48'经3分钟补时后，比分定格为2-0，国安主场奏凯
