11'马德里竞技球员图兰拼抢犯规,对手获得控球权.                   8'瓦伦西亚8分钟内连入3球打出完美开局
11'奥塔门迪为瓦伦西亚赢得一个任意球.                   8'瓦伦西亚8分钟内连入3球打出完美开局
52'马德里竞技球员曼祖基奇大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是科凯.                   52'第7分钟，阿尔卡塞尔传球，戈麦斯强突小禁区左侧劲射破门
53'马德里竞技球员米兰达一脚直塞球给图兰,但是边裁举旗显示后者已经越位.                   52'第7分钟，阿尔卡塞尔传球，戈麦斯强突小禁区左侧劲射破门
55'瓦伦西亚球员皮亚蒂大禁区外右脚射门,被防守球员封堵.                   52'第7分钟，阿尔卡塞尔传球，戈麦斯强突小禁区左侧劲射破门
55'马德里竞技球员戈丁一脚直塞球给曼祖基奇,但是边裁举旗显示后者已经越位.                   52'第7分钟，阿尔卡塞尔传球，戈麦斯强突小禁区左侧劲射破门
29'射门!!!马德里竞技球员蒂亚戈大禁区外右脚射门,被对方守门员横身扑出.给他传球的是格里兹曼.                   29'马竞第29分钟扳回一城，格里兹曼传球，蒂亚戈20码处劲射被迭戈-阿尔维斯勉强扑出，曼祖基奇小禁区前头球补射入网
29'进球啦！！！马德里竞技球员曼祖基奇大禁区中央头球,球从左下角飞进球门,球进了! 瓦伦西亚 3-1 马德里竞技.                   29'马竞第29分钟扳回一城，格里兹曼传球，蒂亚戈20码处劲射被迭戈-阿尔维斯勉强扑出，曼祖基奇小禁区前头球补射入网
30'瓦伦西亚球员帕雷霍拼抢犯规,对手获得控球权.                   29'马竞第29分钟扳回一城，格里兹曼传球，蒂亚戈20码处劲射被迭戈-阿尔维斯勉强扑出，曼祖基奇小禁区前头球补射入网
30'科凯为马德里竞技在左路,赢得一个任意球.                   29'马竞第29分钟扳回一城，格里兹曼传球，蒂亚戈20码处劲射被迭戈-阿尔维斯勉强扑出，曼祖基奇小禁区前头球补射入网
32'瓦伦西亚球员帕雷霍拼抢犯规,对手获得控球权.                   29'马竞第29分钟扳回一城，格里兹曼传球，蒂亚戈20码处劲射被迭戈-阿尔维斯勉强扑出，曼祖基奇小禁区前头球补射入网
32'西凯拉为马德里竞技在左路,赢得一个任意球.                   29'马竞第29分钟扳回一城，格里兹曼传球，蒂亚戈20码处劲射被迭戈-阿尔维斯勉强扑出，曼祖基奇小禁区前头球补射入网
