1'上半场比赛开始了，先由摩纳哥开球                   1'双方第1分钟均有意主导节奏
1'今天摩纳哥主场身穿自己的红白相间球衣                   1'双方第1分钟均有意主导节奏
1'阿森纳身穿客场蓝色球衣                   1'双方第1分钟均有意主导节奏
2'阿森纳第一回合主场1-3落败，所以今天必须大胜才有机会翻盘                   1'双方第1分钟均有意主导节奏
2'摩纳哥今天肯定以稳为主，今天他们只要打进一球，阿森纳就必须打进3个                   1'双方第1分钟均有意主导节奏
3'摩纳哥左边路突破后传球到中路给贝尔巴托夫                   1'双方第1分钟均有意主导节奏
3'贝尔巴托夫禁区里停球后把球做给了禁区线上的队友，推射高出横梁                   1'双方第1分钟均有意主导节奏
3'阿森纳现在似乎客场作战还在找感觉                   1'双方第1分钟均有意主导节奏
4'阿森纳前场把球分到左侧组织                   1'双方第1分钟均有意主导节奏
4'厄齐尔拿球寻找队友接应                   1'双方第1分钟均有意主导节奏
4'阿森纳禁区前沿短传，球被摩纳哥后卫破坏                   1'双方第1分钟均有意主导节奏
23'任意球传到禁区里，摩纳哥后卫一蹭，门前的科斯切尔尼弹射打在了横梁上！！！                   23'第23分钟，阿布登努尔头球解围任意球传中失误，科斯切尔尼近距离凌空捅射打中横梁，但裁判判罚越位在先
24'但边裁示意科斯切尔尼越位！！                   23'第23分钟，阿布登努尔头球解围任意球传中失误，科斯切尔尼近距离凌空捅射打中横梁，但裁判判罚越位在先
24'慢镜头看第一点是对方的阿卜杜努尔蹭到的，不越位啊！                   23'第23分钟，阿布登努尔头球解围任意球传中失误，科斯切尔尼近距离凌空捅射打中横梁，但裁判判罚越位在先
25'摩纳哥22号孔德比亚沿左边路带球突破，被回追的桑切斯踢倒，犯规                   23'第23分钟，阿布登努尔头球解围任意球传中失误，科斯切尔尼近距离凌空捅射打中横梁，但裁判判罚越位在先
25'摩纳哥中场把球在转移到右侧，直塞套边的队友，球传出了底线                   23'第23分钟，阿布登努尔头球解围任意球传中失误，科斯切尔尼近距离凌空捅射打中横梁，但裁判判罚越位在先
26'桑切斯右边路的直塞球力量太轻，球被后卫拦截下来                   23'第23分钟，阿布登努尔头球解围任意球传中失误，科斯切尔尼近距离凌空捅射打中横梁，但裁判判罚越位在先
47'阿森纳中场断球后直传给维尔贝克，禁区里小角度低射被门将封住！                   47'2分钟后，阿布登努尔头球解围后倒地，维尔贝克禁区边缘内抽射打在阿布登努尔腿上偏转出底线
47'桑切斯突破到禁区里横传，但维尔贝克第一时间包抄的是后点                   47'2分钟后，阿布登努尔头球解围后倒地，维尔贝克禁区边缘内抽射打在阿布登努尔腿上偏转出底线
47'很好的一次进攻，但最后没有形成默契                   47'2分钟后，阿布登努尔头球解围后倒地，维尔贝克禁区边缘内抽射打在阿布登努尔腿上偏转出底线
47'阿森纳的进攻还是很耐心，并没有一味的提速                   47'2分钟后，阿布登努尔头球解围后倒地，维尔贝克禁区边缘内抽射打在阿布登努尔腿上偏转出底线
48'阿森纳中场起球长传到禁区前沿，球被后卫头球破坏                   47'2分钟后，阿布登努尔头球解围后倒地，维尔贝克禁区边缘内抽射打在阿布登努尔腿上偏转出底线
48'吉鲁前场反抢犯规了！                   47'2分钟后，阿布登努尔头球解围后倒地，维尔贝克禁区边缘内抽射打在阿布登努尔腿上偏转出底线
49'阿森纳中场继续组织，摩纳哥的进攻投入兵力不多，失误也比较多                   47'2分钟后，阿布登努尔头球解围后倒地，维尔贝克禁区边缘内抽射打在阿布登努尔腿上偏转出底线
49'阿森纳中场推进，厄齐尔短传试图交给禁区里的队友，球被后卫挡出底线，角球                   47'2分钟后，阿布登努尔头球解围后倒地，维尔贝克禁区边缘内抽射打在阿布登努尔腿上偏转出底线
50'角球传到门前，没有人碰到皮球                   47'2分钟后，阿布登努尔头球解围后倒地，维尔贝克禁区边缘内抽射打在阿布登努尔腿上偏转出底线
50'球在右边路被阿森纳传中，球被出击的门将没收                   47'2分钟后，阿布登努尔头球解围后倒地，维尔贝克禁区边缘内抽射打在阿布登努尔腿上偏转出底线
50'阿森纳打的不紧不慢，难道他们已经知道最后什么结果了吗                   47'2分钟后，阿布登努尔头球解围后倒地，维尔贝克禁区边缘内抽射打在阿布登努尔腿上偏转出底线
79'拉姆塞！！2-0                   79'阿森纳第79分钟扩大比分，蒙雷亚尔禁区左侧传中，沃尔科特14码处推射打中右侧立柱弹回，拉姆塞禁区右侧12码处射入远角，2-0
80'厄齐尔中路挑传到禁区左侧，蒙雷尔的传中，沃尔科特第一次射门打中门柱，后卫解围踢到了拉姆塞脚下，禁区里推射远角得分！！                   79'阿森纳第79分钟扩大比分，蒙雷亚尔禁区左侧传中，沃尔科特14码处推射打中右侧立柱弹回，拉姆塞禁区右侧12码处射入远角，2-0
80'这样阿森纳就2-0领先，距离晋级只剩1个进球了！                   79'阿森纳第79分钟扩大比分，蒙雷亚尔禁区左侧传中，沃尔科特14码处推射打中右侧立柱弹回，拉姆塞禁区右侧12码处射入远角，2-0
80'比赛来到了80分钟，看看阿森纳能否力挽狂澜！                   79'阿森纳第79分钟扩大比分，蒙雷亚尔禁区左侧传中，沃尔科特14码处推射打中右侧立柱弹回，拉姆塞禁区右侧12码处射入远角，2-0
81'摩纳哥还是死守啊，囤重病于禁区附近啊                   79'阿森纳第79分钟扩大比分，蒙雷亚尔禁区左侧传中，沃尔科特14码处推射打中右侧立柱弹回，拉姆塞禁区右侧12码处射入远角，2-0
81'摩纳哥前场进攻几乎没有威胁了                   79'阿森纳第79分钟扩大比分，蒙雷亚尔禁区左侧传中，沃尔科特14码处推射打中右侧立柱弹回，拉姆塞禁区右侧12码处射入远角，2-0
82'桑切斯中场突破时被对方撞倒，裁判没有吹罚                   79'阿森纳第79分钟扩大比分，蒙雷亚尔禁区左侧传中，沃尔科特14码处推射打中右侧立柱弹回，拉姆塞禁区右侧12码处射入远角，2-0
82'阿森纳的控球时间达到了61%                   79'阿森纳第79分钟扩大比分，蒙雷亚尔禁区左侧传中，沃尔科特14码处推射打中右侧立柱弹回，拉姆塞禁区右侧12码处射入远角，2-0
83'厄齐尔中路漂亮的转身过人，带球突破时被后卫铲倒，任意球                   83'第83分钟，厄齐尔任意球传中，桑切斯小禁区右侧头球攻门被苏巴西奇门线上救出
83'阿森纳用吉布斯换下蒙雷尔                   83'第83分钟，厄齐尔任意球传中，桑切斯小禁区右侧头球攻门被苏巴西奇门线上救出
84'任意球挑到后点，桑切斯和吉鲁抢到了一起，射门被门将在门线上挡出！角球                   83'第83分钟，厄齐尔任意球传中，桑切斯小禁区右侧头球攻门被苏巴西奇门线上救出
84'角球发前点，球被后卫顶出                   83'第83分钟，厄齐尔任意球传中，桑切斯小禁区右侧头球攻门被苏巴西奇门线上救出
84'阿森纳还在做最后的努力啊！                   83'第83分钟，厄齐尔任意球传中，桑切斯小禁区右侧头球攻门被苏巴西奇门线上救出
86'85分钟了，阿森纳还差一个进球才能翻盘                   83'第83分钟，厄齐尔任意球传中，桑切斯小禁区右侧头球攻门被苏巴西奇门线上救出
