1'上半场比赛开始！！                   1'开场不到1分钟，博里尼右路传中，安德列-席尔瓦前点8码处抽射打在边网
1'阿森纳开球，从画面的左侧向右进攻！                   1'开场不到1分钟，博里尼右路传中，安德列-席尔瓦前点8码处抽射打在边网
1'扎卡后场的过顶长传到前场                   1'开场不到1分钟，博里尼右路传中，安德列-席尔瓦前点8码处抽射打在边网
1'球被罗马尼奥利拦截！！                   1'开场不到1分钟，博里尼右路传中，安德列-席尔瓦前点8码处抽射打在边网
2'米兰前场进攻，右路的横传球到门前                   1'开场不到1分钟，博里尼右路传中，安德列-席尔瓦前点8码处抽射打在边网
2'安德烈-席尔瓦插上抢点抽射，打偏了                   1'开场不到1分钟，博里尼右路传中，安德列-席尔瓦前点8码处抽射打在边网
2'球打在了边网上！                   1'开场不到1分钟，博里尼右路传中，安德列-席尔瓦前点8码处抽射打在边网
2'开场1分钟，米兰客场就来了一次威胁进攻！                   1'开场不到1分钟，博里尼右路传中，安德列-席尔瓦前点8码处抽射打在边网
3'阿森纳中场的过顶球到前场右路                   1'开场不到1分钟，博里尼右路传中，安德列-席尔瓦前点8码处抽射打在边网
3'贝莱林插上奋力拿到                   1'开场不到1分钟，博里尼右路传中，安德列-席尔瓦前点8码处抽射打在边网
3'强突下底，内切后的倒三角回传到大禁区线上                   1'开场不到1分钟，博里尼右路传中，安德列-席尔瓦前点8码处抽射打在边网
3'回防的凯西抢在威尔谢尔之前，将球拦截                   1'开场不到1分钟，博里尼右路传中，安德列-席尔瓦前点8码处抽射打在边网
4'贝莱林右路拿球，横传中路给厄齐尔                   1'开场不到1分钟，博里尼右路传中，安德列-席尔瓦前点8码处抽射打在边网
4'转身带两步，再给威尔谢尔                   1'开场不到1分钟，博里尼右路传中，安德列-席尔瓦前点8码处抽射打在边网
4'分球左侧给到姆希塔良，强突直塞找维尔贝克                   1'开场不到1分钟，博里尼右路传中，安德列-席尔瓦前点8码处抽射打在边网
4'凯西回防，将球破坏                   1'开场不到1分钟，博里尼右路传中，安德列-席尔瓦前点8码处抽射打在边网
