2'射门!!!曼联球员克莱维利大禁区外右脚射门,被对方守门员横身扑出.给他传球的是维尔贝克.                   2'开场仅2分钟，维尔贝克传球，鲍威尔禁区弧边缘的射门偏转后被穆斯莱拉没收
4'鲍威尔为曼联赢得一个任意球.                   2'开场仅2分钟，维尔贝克传球，鲍威尔禁区弧边缘的射门偏转后被穆斯莱拉没收
4'加拉塔萨雷球员梅洛拼抢犯规,对手获得控球权.                   2'开场仅2分钟，维尔贝克传球，鲍威尔禁区弧边缘的射门偏转后被穆斯莱拉没收
5'射门!!!加拉塔萨雷球员伊尔马兹大禁区外右脚射门,被对方守门员横身扑出.                   2'开场仅2分钟，维尔贝克传球，鲍威尔禁区弧边缘的射门偏转后被穆斯莱拉没收
5'曼联球员布特纳 拼抢犯规,对手获得控球权.                   2'开场仅2分钟，维尔贝克传球，鲍威尔禁区弧边缘的射门偏转后被穆斯莱拉没收
5'伊南为加拉塔萨雷在右路,赢得一个任意球.                   2'开场仅2分钟，维尔贝克传球，鲍威尔禁区弧边缘的射门偏转后被穆斯莱拉没收
9'加拉塔萨雷球员阿姆拉巴特大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是阿尔滕托普.                   9'第9分钟，阿尔滕托普传球，阿姆拉巴特左路25码处劲射偏出近角
11'布特纳 为曼联在左路,赢得一个任意球.                   9'第9分钟，阿尔滕托普传球，阿姆拉巴特左路25码处劲射偏出近角
11'加拉塔萨雷球员梅洛拼抢犯规,对手获得控球权.                   9'第9分钟，阿尔滕托普传球，阿姆拉巴特左路25码处劲射偏出近角
20'曼联球员拉斐尔拼抢犯规,对手获得控球权.                   20'第20分钟，拉斐尔边路对阿姆拉巴特犯规被罚黄牌，伊南左路任意球传中，无人防守的伊尔马兹前点8码处头球攻门稍稍高出
20'阿姆拉巴特为加拉塔萨雷在左路,赢得一个任意球.                   20'第20分钟，拉斐尔边路对阿姆拉巴特犯规被罚黄牌，伊南左路任意球传中，无人防守的伊尔马兹前点8码处头球攻门稍稍高出
20'黄牌！曼联球员拉斐尔因为恶意犯规,被主裁判出示黄牌.                   20'第20分钟，拉斐尔边路对阿姆拉巴特犯规被罚黄牌，伊南左路任意球传中，无人防守的伊尔马兹前点8码处头球攻门稍稍高出
21'加拉塔萨雷球员伊尔马兹大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是伊南.                   20'第20分钟，拉斐尔边路对阿姆拉巴特犯规被罚黄牌，伊南左路任意球传中，无人防守的伊尔马兹前点8码处头球攻门稍稍高出
