6'奥萨苏纳球员达米亚拼抢犯规,对手获得控球权.                   6'第6分钟，桑切斯禁区右侧的射门稍稍高出
6'桑切斯为巴塞罗那在右路,赢得一个任意球.                   6'第6分钟，桑切斯禁区右侧的射门稍稍高出
6'巴塞罗那球员桑切斯大禁区右侧尝试右脚射门,可惜皮球稍稍高出球门.                   6'第6分钟，桑切斯禁区右侧的射门稍稍高出
8'马斯切拉诺将球处理出底线,奥萨苏纳获得角球.                   6'第6分钟，桑切斯禁区右侧的射门稍稍高出
9'奥萨苏纳球员阿里瓦斯拼抢犯规,对手获得控球权.                   6'第6分钟，桑切斯禁区右侧的射门稍稍高出
9'阿尔巴为巴塞罗那赢得一个任意球.                   6'第6分钟，桑切斯禁区右侧的射门稍稍高出
9'射门!!!奥萨苏纳球员阿门特罗斯大禁区外左脚射门,被对方守门员横身扑出.给他传球的是塞胡多.                   6'第6分钟，桑切斯禁区右侧的射门稍稍高出
9'奥萨苏纳球员阿门特罗斯一脚直塞球给列拉,但是边裁举旗显示后者已经越位.                   6'第6分钟，桑切斯禁区右侧的射门稍稍高出
11'巴塞罗那球员佩德罗大禁区中央尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是桑切斯.                   11'第11分钟，桑切斯传中，佩德罗抢点射门偏出
13'巴塞罗那球员马斯切拉诺手球犯规,对手获得球权.                   11'第11分钟，桑切斯传中，佩德罗抢点射门偏出
13'马斯切拉诺将球处理出底线,奥萨苏纳获得角球.                   11'第11分钟，桑切斯传中，佩德罗抢点射门偏出
14'奥萨苏纳球员塞胡多大禁区右侧尝试右脚射门,可惜皮球高出右上角球门.给他传球的是托雷斯.                   11'第11分钟，桑切斯传中，佩德罗抢点射门偏出
18'进球啦！！！巴塞罗那球员梅西球门线跟前左脚射门,球从左下角飞进球门,球进了!助攻的是桑切斯. 巴塞罗那 1-0 奥萨苏纳.                   18'巴萨第18分钟取得领先，哈维传球，桑切斯禁区右侧传中，梅西前点近距离垫射入网
20'巴塞罗那球员桑切斯大禁区中央尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是梅西.                   18'巴萨第18分钟取得领先，哈维传球，桑切斯禁区右侧传中，梅西前点近距离垫射入网
22'进球啦！！！巴塞罗那球员桑切斯大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是阿尔巴. 巴塞罗那 2-0 奥萨苏纳.                   22'巴萨第22分钟扩大比分，伊涅斯塔传球，阿尔巴禁区左侧传中，桑切斯小禁区边缘推射破门
24'阿里瓦斯为奥萨苏纳赢得一个任意球.                   22'巴萨第22分钟扩大比分，伊涅斯塔传球，阿尔巴禁区左侧传中，桑切斯小禁区边缘推射破门
24'巴塞罗那球员梅西拼抢犯规,对手获得控球权.                   22'巴萨第22分钟扩大比分，伊涅斯塔传球，阿尔巴禁区左侧传中，桑切斯小禁区边缘推射破门
