3'曼城中后场倒脚                   3'开场仅3分钟，萨巴莱塔右路下底回传，纳斯里12码处扫射偏出
3'右边路纳瓦斯倒三角传球，萨巴莱卡拿球后交给纳斯里                   3'开场仅3分钟，萨巴莱塔右路下底回传，纳斯里12码处扫射偏出
4'纳斯里的扣射偏出                   3'开场仅3分钟，萨巴莱塔右路下底回传，纳斯里12码处扫射偏出
4'很精彩的配合                   3'开场仅3分钟，萨巴莱塔右路下底回传，纳斯里12码处扫射偏出
4'水晶宫左路传球被破坏出边线                   3'开场仅3分钟，萨巴莱塔右路下底回传，纳斯里12码处扫射偏出
4'水晶宫左路三打三没过去                   3'开场仅3分钟，萨巴莱塔右路下底回传，纳斯里12码处扫射偏出
5'又是打左路，水晶宫传单刀球没进去                   3'开场仅3分钟，萨巴莱塔右路下底回传，纳斯里12码处扫射偏出
6'水晶宫中圈弧获得任意球机会                   3'开场仅3分钟，萨巴莱塔右路下底回传，纳斯里12码处扫射偏出
6'直线吊到禁区，打出来，外围再打                   3'开场仅3分钟，萨巴莱塔右路下底回传，纳斯里12码处扫射偏出
19'水晶宫右路的传中球被后卫破坏出了底线，角球                   19'水晶宫第19分钟迎来首次机会，庞彻恩开出角球，杰迪纳克前点小禁区边缘头球攻门被乔-哈特出击扑出
19'角球开向禁区内，哈特把球挡出                   19'水晶宫第19分钟迎来首次机会，庞彻恩开出角球，杰迪纳克前点小禁区边缘头球攻门被乔-哈特出击扑出
19'米尔纳左路的反击，传中球被后卫顶出                   19'水晶宫第19分钟迎来首次机会，庞彻恩开出角球，杰迪纳克前点小禁区边缘头球攻门被乔-哈特出击扑出
20'米尔纳左路的反击，传中球被后卫顶出                   19'水晶宫第19分钟迎来首次机会，庞彻恩开出角球，杰迪纳克前点小禁区边缘头球攻门被乔-哈特出击扑出
20'博拉西右路拿球突破图雷防守犯规了                    19'水晶宫第19分钟迎来首次机会，庞彻恩开出角球，杰迪纳克前点小禁区边缘头球攻门被乔-哈特出击扑出
21'任意球打到禁区内，到后点，头球摆渡，中路再顶，博拉西倒钩稍稍偏出                   19'水晶宫第19分钟迎来首次机会，庞彻恩开出角球，杰迪纳克前点小禁区边缘头球攻门被乔-哈特出击扑出
22'水晶宫获得任意球机会                   19'水晶宫第19分钟迎来首次机会，庞彻恩开出角球，杰迪纳克前点小禁区边缘头球攻门被乔-哈特出击扑出
29'这次进攻的传递打到了20脚以上                   29'第29分钟，坎贝尔接博拉西耶直传，但乔-哈特及时出击迫使对方失去射门机会
29'水金宫的反击了                   29'第29分钟，坎贝尔接博拉西耶直传，但乔-哈特及时出击迫使对方失去射门机会
29'直塞到禁区内，坎贝尔摆脱门将的时候球先出了底线                   29'第29分钟，坎贝尔接博拉西耶直传，但乔-哈特及时出击迫使对方失去射门机会
30'克拉罗夫拿球被铲倒了，可是主裁判没有理会                   29'第29分钟，坎贝尔接博拉西耶直传，但乔-哈特及时出击迫使对方失去射门机会
30'比赛进行到了30分钟                   29'第29分钟，坎贝尔接博拉西耶直传，但乔-哈特及时出击迫使对方失去射门机会
31'曼城右路配合                   29'第29分钟，坎贝尔接博拉西耶直传，但乔-哈特及时出击迫使对方失去射门机会
31'纳瓦斯球没停好                   29'第29分钟，坎贝尔接博拉西耶直传，但乔-哈特及时出击迫使对方失去射门机会
32'曼城今天的进攻打的太漂亮了                   29'第29分钟，坎贝尔接博拉西耶直传，但乔-哈特及时出击迫使对方失去射门机会
43'邦臣犯规吃到黄牌                   43'第43分钟，亚亚-图雷直传，萨巴莱塔小禁区前挑射擦柱偏出
43'曼城再次错失良机                   43'第43分钟，亚亚-图雷直传，萨巴莱塔小禁区前挑射擦柱偏出
44'图雷直塞，萨巴拉卡恰到好处拍马赶到                   43'第43分钟，亚亚-图雷直传，萨巴莱塔小禁区前挑射擦柱偏出
44'可惜挑射稍稍偏出                   43'第43分钟，亚亚-图雷直传，萨巴莱塔小禁区前挑射擦柱偏出
45'曼城卷土重来，克拉罗夫左路平传，门前头球一蹭，萨巴莱卡的射门又偏了                   43'第43分钟，亚亚-图雷直传，萨巴莱塔小禁区前挑射擦柱偏出
