1'随着裁判一声哨响！比赛开始                   1'第1分钟两队打的比较谨慎
1'权健中圈开球                   1'第1分钟两队打的比较谨慎
1'泰达开场就左路拿球下底传中，出了底线                   1'第1分钟两队打的比较谨慎
2'权健队球门球，中场拼抢很激烈                   1'第1分钟两队打的比较谨慎
2'权健中场控球，泰达逼抢，踢出边线                   1'第1分钟两队打的比较谨慎
3'阿奇姆彭犯规，权健控制皮球                   1'第1分钟两队打的比较谨慎
4'帕托头球后蹭，杨旭没有拿到球                   1'第1分钟两队打的比较谨慎
4'泰达木热合买提江中场附近犯规，权健球权                   1'第1分钟两队打的比较谨慎
10'禁区前王永珀铲球犯规，踢到了惠家康                   10'第10分钟，泰达前场任意球机会，赵英杰主罚一脚抽射打在人墙上，跟进再射打偏
10'泰达获得前场任意球，赵英杰准备主罚                   10'第10分钟，泰达前场任意球机会，赵英杰主罚一脚抽射打在人墙上，跟进再射打偏
11'打到人墙身上，再次射门踢出边线                   10'第10分钟，泰达前场任意球机会，赵英杰主罚一脚抽射打在人墙上，跟进再射打偏
12'张修维发出边线球，权健继续控球                   10'第10分钟，泰达前场任意球机会，赵英杰主罚一脚抽射打在人墙上，跟进再射打偏
18'阿奇姆彭中场被踢，权健王杰被裁判口头警告                   18'第18分钟，阿奇姆彭禁区右侧拿球横敲到中路，乔纳森得球射门，偏出了球门
18'阿奇姆彭禁区右侧拿球横敲到中路，乔纳森得球射门，偏出了球门                   18'第18分钟，阿奇姆彭禁区右侧拿球横敲到中路，乔纳森得球射门，偏出了球门
19'张鹭开出球门球，踢出了边界                   18'第18分钟，阿奇姆彭禁区右侧拿球横敲到中路，乔纳森得球射门，偏出了球门
20'惠家康左侧边路拿球，分给乔纳森，乔纳森传中，被权健球员破坏                   18'第18分钟，阿奇姆彭禁区右侧拿球横敲到中路，乔纳森得球射门，偏出了球门
21'巴斯蒂安斯中场对杨旭犯规，权健队任意球                   18'第18分钟，阿奇姆彭禁区右侧拿球横敲到中路，乔纳森得球射门，偏出了球门
27'张修维铲球再次踢到赵英杰，双方火药味十足啊                   27'第27分钟，阿奇姆彭右路带球分给赵英杰，后者利用个人能力突入禁区，但是横传球出了边线
27'杨旭拿球被木热合买提江拉倒，犯规                   27'第27分钟，阿奇姆彭右路带球分给赵英杰，后者利用个人能力突入禁区，但是横传球出了边线
28'权健今天传球失误有点多                   27'第27分钟，阿奇姆彭右路带球分给赵英杰，后者利用个人能力突入禁区，但是横传球出了边线
28'阿奇姆彭分到赵英杰，泰达右侧边路下底传中，传大了球出了边线                   27'第27分钟，阿奇姆彭右路带球分给赵英杰，后者利用个人能力突入禁区，但是横传球出了边线
29'张诚传球找杨旭，杨旭处在越位位置                   27'第27分钟，阿奇姆彭右路带球分给赵英杰，后者利用个人能力突入禁区，但是横传球出了边线
30'阿奇姆彭回撤到中场拿球，权健队在中场再次犯规                   27'第27分钟，阿奇姆彭右路带球分给赵英杰，后者利用个人能力突入禁区，但是横传球出了边线
40'泰达中场长传，找到乔纳森，张鹭出击头球将球顶出禁区                   39'第39分钟，泰达中场长传找到乔纳森，张鹭出击头球将球顶出禁区
41'球进了！杨旭！但是助理裁判判罚越位了进球无效！                   39'第39分钟，泰达中场长传找到乔纳森，张鹭出击头球将球顶出禁区
42'杨旭的进球很精彩！虽然越位，但是打出了反击机会                   39'第39分钟，泰达中场长传找到乔纳森，张鹭出击头球将球顶出禁区
43'比分依旧是0比0                   43'第43分钟，泰达队左路突入到禁区，惠家康小禁区处停球，横向摆脱转身打门被挡出
43'泰达队左路突入到禁区，惠家康小禁区处停球，横向摆脱，打门                   43'第43分钟，泰达队左路突入到禁区，惠家康小禁区处停球，横向摆脱转身打门被挡出
44'被权健队后卫封堵出禁区                   43'第43分钟，泰达队左路突入到禁区，惠家康小禁区处停球，横向摆脱转身打门被挡出
44'张修维被泰达队赵英杰踢倒                   43'第43分钟，泰达队左路突入到禁区，惠家康小禁区处停球，横向摆脱转身打门被挡出
45'赵英杰被裁判口头警告，权健中圈处任意球                   43'第43分钟，泰达队左路突入到禁区，惠家康小禁区处停球，横向摆脱转身打门被挡出
45'帕托长传，踢出底线，球门球                   43'第43分钟，泰达队左路突入到禁区，惠家康小禁区处停球，横向摆脱转身打门被挡出
46'双方中场拼抢十分激烈，火药味十足                   43'第43分钟，泰达队左路突入到禁区，惠家康小禁区处停球，横向摆脱转身打门被挡出
46'下半场补时3分钟                   43'第43分钟，泰达队左路突入到禁区，惠家康小禁区处停球，横向摆脱转身打门被挡出
