1'贝内文托球员卡塔尔迪拼抢犯规,对手获得控球权.                   1'第1分钟，博纳文图拉在门前25米处主罚任意球被布里尼奥利没收
1'蒙托利沃为AC米兰在对方半场,赢得一个任意球.                   1'第1分钟，博纳文图拉在门前25米处主罚任意球被布里尼奥利没收
2'射门!!!AC米兰球员博纳文图拉大禁区外右脚射门,被对方守门员横身扑出.                   1'第1分钟，博纳文图拉在门前25米处主罚任意球被布里尼奥利没收
3'贝内文托球员卢嘉勒一脚直塞球给维托利奥,但是边裁举旗显示后者已经越位.                   1'第1分钟，博纳文图拉在门前25米处主罚任意球被布里尼奥利没收
4'AC米兰球员博纳文图拉大禁区中央尝试头球,可惜皮球高出球门.给他传球的是凯西.                   1'第1分钟，博纳文图拉在门前25米处主罚任意球被布里尼奥利没收
4'贝内文托球员普斯卡斯拼抢犯规,对手获得控球权.                   1'第1分钟，博纳文图拉在门前25米处主罚任意球被布里尼奥利没收
4'博努奇为AC米兰赢得一个任意球.                   1'第1分钟，博纳文图拉在门前25米处主罚任意球被布里尼奥利没收
32'贝内文托球员维托利奥大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是M-达力桑德罗.                   32'贝内文托第32分钟险些破门，莱蒂齐亚长传，达利山德罗右路起球，后点无人盯防的帕里吉尼距门6米处头球偏出
34'罗德里格斯将球处理出底线,贝内文托获得角球.                   32'贝内文托第32分钟险些破门，莱蒂齐亚长传，达利山德罗右路起球，后点无人盯防的帕里吉尼距门6米处头球偏出
38'AC米兰球员博纳文图拉小禁区左侧头球,被防守球员封堵.给他传球的是凯西.                   38'第38分钟，博里尼右侧掷入边线球，凯西倚住后卫转身切入禁区，在身体失去平衡的情况下仍然将球传出，博纳文图拉后点距门7米处头球攻门，卡利尼奇与后卫争顶，吉姆西蒂门线头球解围不远，博纳文图拉冲顶入近角，1比0
38'AC米兰球员卡利尼奇球门线跟前头球,被防守球员封堵.给他传球的是博纳文图拉.                   38'第38分钟，博里尼右侧掷入边线球，凯西倚住后卫转身切入禁区，在身体失去平衡的情况下仍然将球传出，博纳文图拉后点距门7米处头球攻门，卡利尼奇与后卫争顶，吉姆西蒂门线头球解围不远，博纳文图拉冲顶入近角，1比0
38'进球啦！！！AC米兰球员博纳文图拉小禁区左侧头球,球从左下角飞进球门,球进了! 贝内文托 0-1 AC米兰.                   38'第38分钟，博里尼右侧掷入边线球，凯西倚住后卫转身切入禁区，在身体失去平衡的情况下仍然将球传出，博纳文图拉后点距门7米处头球攻门，卡利尼奇与后卫争顶，吉姆西蒂门线头球解围不远，博纳文图拉冲顶入近角，1比0
50'穆萨基奥将球处理出底线,贝内文托获得角球.                   50'下半时开始5分钟，贝内文托追平比分
50'射门!!!贝内文托球员莱蒂齐亚大禁区外右脚射门,被对方守门员横身扑出.                   50'下半时开始5分钟，贝内文托追平比分
50'进球啦！！！贝内文托球员普斯卡斯大禁区中央右脚射门,球从右下角飞进球门,球进了! 贝内文托 1-1 AC米兰.                   50'下半时开始5分钟，贝内文托追平比分
54'黄牌！贝内文托球员卢嘉勒因为恶意犯规,被主裁判出示黄牌.                   52'仅过7分钟，AC米兰再度超出
75'莱蒂齐亚为贝内文托在对方半场,赢得一个任意球.                   75'AC米兰第75分钟遭遇打击，莱蒂齐亚后场拿球长途奔袭，面对罗马尼奥利铲球倒地，罗马尼奥利吃到第2张黄牌被罚下
75'AC米兰球员罗马尼奥利拼抢犯规,对手获得控球权.                   75'AC米兰第75分钟遭遇打击，莱蒂齐亚后场拿球长途奔袭，面对罗马尼奥利铲球倒地，罗马尼奥利吃到第2张黄牌被罚下
75'AC米兰球员罗马尼奥利因为恶意犯规,被裁判出示了第二张黄牌.                   75'AC米兰第75分钟遭遇打击，莱蒂齐亚后场拿球长途奔袭，面对罗马尼奥利铲球倒地，罗马尼奥利吃到第2张黄牌被罚下
77'贝内文托球员普斯卡斯大禁区中央尝试头球,可惜皮球高出球门.给他传球的是卡塔尔迪.                   75'AC米兰第75分钟遭遇打击，莱蒂齐亚后场拿球长途奔袭，面对罗马尼奥利铲球倒地，罗马尼奥利吃到第2张黄牌被罚下
78'贝内文托球员安德烈-科斯塔拼抢犯规,对手获得控球权.                   75'AC米兰第75分钟遭遇打击，莱蒂齐亚后场拿球长途奔袭，面对罗马尼奥利铲球倒地，罗马尼奥利吃到第2张黄牌被罚下
78'卡利尼奇为AC米兰赢得一个任意球.                   75'AC米兰第75分钟遭遇打击，莱蒂齐亚后场拿球长途奔袭，面对罗马尼奥利铲球倒地，罗马尼奥利吃到第2张黄牌被罚下
50'穆萨基奥将球处理出底线,贝内文托获得角球.                   50'场边示意补时5分钟
50'射门!!!贝内文托球员莱蒂齐亚大禁区外右脚射门,被对方守门员横身扑出.                   50'场边示意补时5分钟
50'进球啦！！！贝内文托球员普斯卡斯大禁区中央右脚射门,球从右下角飞进球门,球进了! 贝内文托 1-1 AC米兰.                   50'场边示意补时5分钟
50'穆萨基奥将球处理出底线,贝内文托获得角球.                   50'AC米兰补时第5分钟被追平
50'射门!!!贝内文托球员莱蒂齐亚大禁区外右脚射门,被对方守门员横身扑出.                   50'AC米兰补时第5分钟被追平
50'进球啦！！！贝内文托球员普斯卡斯大禁区中央右脚射门,球从右下角飞进球门,球进了! 贝内文托 1-1 AC米兰.                   50'AC米兰补时第5分钟被追平
