2'重庆力帆获得一个前场右路的任意球机会                   2'第2分钟，王栋开出角球，刘宇头球攻门顶高
3'王栋角球发出来，刘宇头球攻门顶高了                   2'第2分钟，王栋开出角球，刘宇头球攻门顶高
4'回头富力获得一个右路的任意球机会                   2'第2分钟，王栋开出角球，刘宇头球攻门顶高
4'富力首开纪录，唐淼！                   2'第2分钟，王栋开出角球，刘宇头球攻门顶高
4'是李岩的远射球进！                   2'第2分钟，王栋开出角球，刘宇头球攻门顶高
5'汪嵩任意球传中，刘宇头球解围到弧顶位置，李岩迎球怒射打进球门右下角！                   2'第2分钟，王栋开出角球，刘宇头球攻门顶高
8'富力中场断球，于洋传上来，张远力压后卫打门被阿德阿挡住                   8'第8分钟，富力中场断球于洋传上来，张远力压后卫打门被阿杜阿挡住
8'力帆左路的进攻，刘宇的传中被张耀坤倒地铲出底线                   8'第8分钟，富力中场断球于洋传上来，张远力压后卫打门被阿杜阿挡住
9'力帆左路的角球机会                   8'第8分钟，富力中场断球于洋传上来，张远力压后卫打门被阿杜阿挡住
9'王栋的传中，刘殿座单拳将球打出禁区                   8'第8分钟，富力中场断球于洋传上来，张远力压后卫打门被阿杜阿挡住
9'王栋中场控球，转移到右路，刘宇回一下                   8'第8分钟，富力中场断球于洋传上来，张远力压后卫打门被阿杜阿挡住
9'王栋接应回传时被卢琳挡出边线                   8'第8分钟，富力中场断球于洋传上来，张远力压后卫打门被阿杜阿挡住
10'陈雷马上扳平了比分                   8'第8分钟，富力中场断球于洋传上来，张远力压后卫打门被阿杜阿挡住
11'准确来说应该是唐淼的乌龙球！                   8'第8分钟，富力中场断球于洋传上来，张远力压后卫打门被阿杜阿挡住
16'刘卫东接应转身传中被于洋铲出来                   16'第16分钟，刘卫东接应转身传中被于洋铲出来，阿杜阿左路跟上来直接远射被刘殿座扑出
16'阿德阿左路上来直接远射，刘殿座将球抱住                   16'第16分钟，刘卫东接应转身传中被于洋铲出来，阿杜阿左路跟上来直接远射被刘殿座扑出
17'卢琳中场远距离的凌空抽射，球稍稍高出横梁                   16'第16分钟，刘卫东接应转身传中被于洋铲出来，阿杜阿左路跟上来直接远射被刘殿座扑出
17'张远右路回传                   16'第16分钟，刘卫东接应转身传中被于洋铲出来，阿杜阿左路跟上来直接远射被刘殿座扑出
18'汪嵩右路的挑传，叶楚贵下底传中，阿德阿倒地将球铲出底线                   16'第16分钟，刘卫东接应转身传中被于洋铲出来，阿杜阿左路跟上来直接远射被刘殿座扑出
18'富力的于洋到前场争高球撞倒了阿德阿                   16'第16分钟，刘卫东接应转身传中被于洋铲出来，阿杜阿左路跟上来直接远射被刘殿座扑出
19'孙继海长传上来，张晨龙头球顶到第一点                   16'第16分钟，刘卫东接应转身传中被于洋铲出来，阿杜阿左路跟上来直接远射被刘殿座扑出
