2'绿城准备快发，被主裁判吹停，重发                   2'比赛不到2分钟，杭州绿城第一次有威胁进攻就打开场上局面
2'绿城的任意球开到禁区，太低了，直接被富力球员解围                   2'比赛不到2分钟，杭州绿城第一次有威胁进攻就打开场上局面
2'进球了                   2'比赛不到2分钟，杭州绿城第一次有威胁进攻就打开场上局面
2'汪嵩~~~~                   2'比赛不到2分钟，杭州绿城第一次有威胁进攻就打开场上局面
3'1分30秒，本赛季最快进球                   2'比赛不到2分钟，杭州绿城第一次有威胁进攻就打开场上局面
3'绿城左路的传中，阿甘打门被程月磊扑出，球弹地而起，汪嵩门前补射得手                   2'比赛不到2分钟，杭州绿城第一次有威胁进攻就打开场上局面
4'富力中场的抢断，将球转移到左路给插上的张耀坤                   2'比赛不到2分钟，杭州绿城第一次有威胁进攻就打开场上局面
4'张耀坤拿球横带，斜传球被绿城球员抢断                   2'比赛不到2分钟，杭州绿城第一次有威胁进攻就打开场上局面
4'绿城前场的传接配合，马佐拉停球过大，直接出了边线                   2'比赛不到2分钟，杭州绿城第一次有威胁进攻就打开场上局面
5'今天杭州下着雨，雨中作战，对双方来说都是一种考验                   2'比赛不到2分钟，杭州绿城第一次有威胁进攻就打开场上局面
5'富力前场的进攻，赢得任意球机会                   2'比赛不到2分钟，杭州绿城第一次有威胁进攻就打开场上局面
5'吴伟安的任意球吊到禁区，第一点被绿城球员解围                   2'比赛不到2分钟，杭州绿城第一次有威胁进攻就打开场上局面
6'高增翔拿到第二落点，再传，绿城后卫解围出底线                   6'第6分钟，杭州绿城右路策动进攻，马佐拉突破下底传中，阿甘摆脱防守抢点头球攻门，可惜球高出了横梁
6'富力获得角球机会，直接被姜波摘桃子了                   6'第6分钟，杭州绿城右路策动进攻，马佐拉突破下底传中，阿甘摆脱防守抢点头球攻门，可惜球高出了横梁
7'富力右路的进攻，达维带球面对汪嵩的防守                   6'第6分钟，杭州绿城右路策动进攻，马佐拉突破下底传中，阿甘摆脱防守抢点头球攻门，可惜球高出了横梁
7'禁区右侧45度斜传禁区，石柯在雅库布之前头球解围                   6'第6分钟，杭州绿城右路策动进攻，马佐拉突破下底传中，阿甘摆脱防守抢点头球攻门，可惜球高出了横梁
8'绿城的反击，阿甘的机会啊                   6'第6分钟，杭州绿城右路策动进攻，马佐拉突破下底传中，阿甘摆脱防守抢点头球攻门，可惜球高出了横梁
8'可惜了，门前包抄的打门，更像解围                   6'第6分钟，杭州绿城右路策动进攻，马佐拉突破下底传中，阿甘摆脱防守抢点头球攻门，可惜球高出了横梁
8'马佐拉前场拿球，吴伟安上抢被吹拉人犯规                   6'第6分钟，杭州绿城右路策动进攻，马佐拉突破下底传中，阿甘摆脱防守抢点头球攻门，可惜球高出了横梁
9'马佐拉任意球直接交回后场，来组织进攻                   6'第6分钟，杭州绿城右路策动进攻，马佐拉突破下底传中，阿甘摆脱防守抢点头球攻门，可惜球高出了横梁
9'绿城左路的直传球被富力球员拦截                   6'第6分钟，杭州绿城右路策动进攻，马佐拉突破下底传中，阿甘摆脱防守抢点头球攻门，可惜球高出了横梁
9'李喆后场过顶长传找前插的达维                   6'第6分钟，杭州绿城右路策动进攻，马佐拉突破下底传中，阿甘摆脱防守抢点头球攻门，可惜球高出了横梁
9'马佐拉任意球直接交回后场，来组织进攻                   9'第9分钟，阿甘右路突破斜传禁区内，高迪与广州富力后卫相撞后倒地，但主裁判并没有表现
9'绿城左路的直传球被富力球员拦截                   9'第9分钟，阿甘右路突破斜传禁区内，高迪与广州富力后卫相撞后倒地，但主裁判并没有表现
9'李喆后场过顶长传找前插的达维                   9'第9分钟，阿甘右路突破斜传禁区内，高迪与广州富力后卫相撞后倒地，但主裁判并没有表现
10'可惜球又高又快，直接从达维头顶飞出边线                   9'第9分钟，阿甘右路突破斜传禁区内，高迪与广州富力后卫相撞后倒地，但主裁判并没有表现
10'绿城在冈田武史的调教下，进攻火力明显进步不少啊                   9'第9分钟，阿甘右路突破斜传禁区内，高迪与广州富力后卫相撞后倒地，但主裁判并没有表现
10'吴伟安后场抢断，短传交给拉斐尔                   9'第9分钟，阿甘右路突破斜传禁区内，高迪与广州富力后卫相撞后倒地，但主裁判并没有表现
11'拉斐尔自己拿球单骑闯关，到了前场被绿城三名球员包夹放倒                   9'第9分钟，阿甘右路突破斜传禁区内，高迪与广州富力后卫相撞后倒地，但主裁判并没有表现
11'主裁给了富力前场任意球机会                   9'第9分钟，阿甘右路突破斜传禁区内，高迪与广州富力后卫相撞后倒地，但主裁判并没有表现
11'富力任意球开到禁区，雅库布头球                   9'第9分钟，阿甘右路突破斜传禁区内，高迪与广州富力后卫相撞后倒地，但主裁判并没有表现
12'见高不见远，姜波出击将球稳稳没收                   9'第9分钟，阿甘右路突破斜传禁区内，高迪与广州富力后卫相撞后倒地，但主裁判并没有表现
12'吴伟安左路拿球，边路传中                   9'第9分钟，阿甘右路突破斜传禁区内，高迪与广州富力后卫相撞后倒地，但主裁判并没有表现
17'高增翔之前争抢中有点受伤，出场治疗                   17'第17分钟，马佐拉禁区前沿突破造对手犯规，杭州绿城获得前场位置极佳任意球机会，汪嵩主罚任意球直接射门，球打在人墙上没有威胁
