9'福斯特长传上来，阿斯皮利奎塔顶一下                   9'第9分钟，凯帕传球失误，德乌洛费乌脚后跟传球迪尼被吕迪格拦截解围
9'迪尼控球回传给卡鲍埃                   9'第9分钟，凯帕传球失误，德乌洛费乌脚后跟传球迪尼被吕迪格拦截解围
9'交给霍莱巴斯                   9'第9分钟，凯帕传球失误，德乌洛费乌脚后跟传球迪尼被吕迪格拦截解围
9'斜长传，威廉断球交给路易斯                   9'第9分钟，凯帕传球失误，德乌洛费乌脚后跟传球迪尼被吕迪格拦截解围
9'分左侧的阿隆索                   9'第9分钟，凯帕传球失误，德乌洛费乌脚后跟传球迪尼被吕迪格拦截解围
9'回传给凯帕                   9'第9分钟，凯帕传球失误，德乌洛费乌脚后跟传球迪尼被吕迪格拦截解围
9'传球打在了德乌洛费乌身上                   9'第9分钟，凯帕传球失误，德乌洛费乌脚后跟传球迪尼被吕迪格拦截解围
9'还好德乌洛费乌没有找回皮球                   9'第9分钟，凯帕传球失误，德乌洛费乌脚后跟传球迪尼被吕迪格拦截解围
10'切尔西反击，科瓦契奇直传                   9'第9分钟，凯帕传球失误，德乌洛费乌脚后跟传球迪尼被吕迪格拦截解围
10'威廉速度很快，强行超车                   9'第9分钟，凯帕传球失误，德乌洛费乌脚后跟传球迪尼被吕迪格拦截解围
10'威廉晃过了门将福斯特，打空门                   9'第9分钟，凯帕传球失误，德乌洛费乌脚后跟传球迪尼被吕迪格拦截解围
10'可惜击中了门柱                   9'第9分钟，凯帕传球失误，德乌洛费乌脚后跟传球迪尼被吕迪格拦截解围
10'球出了底线                   9'第9分钟，凯帕传球失误，德乌洛费乌脚后跟传球迪尼被吕迪格拦截解围
10'沃特福德的卡巴塞勒撞到了门柱上                   9'第9分钟，凯帕传球失误，德乌洛费乌脚后跟传球迪尼被吕迪格拦截解围
11'队医入场为卡巴塞勒做紧急治疗                   9'第9分钟，凯帕传球失误，德乌洛费乌脚后跟传球迪尼被吕迪格拦截解围
47'看进球                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
47'科瓦契奇中场上抢成功交给阿扎尔                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
47'阿扎尔单刀了，带球进了禁区扣过了门将打空门球进！                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
48'镜头给到了坐在替补席的法布雷加斯                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
48'霍莱巴斯控球交给杜科雷                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
48'分右侧的塞马                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
48'斜传禁区                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
48'吕迪格顶漏了                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
48'杜科雷上来有机会，小角度打门被凯帕封出                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
