1'上半场比赛开始！                   1'顿涅茨克矿工仍为小组第二努力，他们第1分钟展开积极攻势
1'上半场由顿涅茨克矿工开球                   1'顿涅茨克矿工仍为小组第二努力，他们第1分钟展开积极攻势
1'长传上来，球权归于曼城                   1'顿涅茨克矿工仍为小组第二努力，他们第1分钟展开积极攻势
1'阿达拉比奥约分边给达尼洛                   1'顿涅茨克矿工仍为小组第二努力，他们第1分钟展开积极攻势
2'拉基茨基后场控球                   1'顿涅茨克矿工仍为小组第二努力，他们第1分钟展开积极攻势
2'直传被断                   1'顿涅茨克矿工仍为小组第二努力，他们第1分钟展开积极攻势
2'费尔南迪尼奥分右路被对方顶出边线                   1'顿涅茨克矿工仍为小组第二努力，他们第1分钟展开积极攻势
2'达尼洛右路控球，回传给亚亚图雷                   1'顿涅茨克矿工仍为小组第二努力，他们第1分钟展开积极攻势
3'转移到左路，萨内回传，京多安直传                   1'顿涅茨克矿工仍为小组第二努力，他们第1分钟展开积极攻势
3'被拦截                   1'顿涅茨克矿工仍为小组第二努力，他们第1分钟展开积极攻势
3'京多安就地反抢时犯规                   1'顿涅茨克矿工仍为小组第二努力，他们第1分钟展开积极攻势
3'甩肘击倒了泰森                   1'顿涅茨克矿工仍为小组第二努力，他们第1分钟展开积极攻势
4'顿涅茨克矿工前场断球                   1'顿涅茨克矿工仍为小组第二努力，他们第1分钟展开积极攻势
4'泰森的远射，可惜打高了                   1'顿涅茨克矿工仍为小组第二努力，他们第1分钟展开积极攻势
4'达尼洛回传给费尔南迪尼奥，交给曼加拉                   1'顿涅茨克矿工仍为小组第二努力，他们第1分钟展开积极攻势
4'右侧这位是阿达拉比奥约                   1'顿涅茨克矿工仍为小组第二努力，他们第1分钟展开积极攻势
4'长传上来，热苏斯右肋部控球，过不了拉基茨基                   1'顿涅茨克矿工仍为小组第二努力，他们第1分钟展开积极攻势
26'弗雷德接应，转移给了左路的泰森                   26'矿工第26分钟取得领先，马尔洛斯传球，伯纳德禁区左侧18码处弧线球射入右上死角
26'交给伯纳德                   26'矿工第26分钟取得领先，马尔洛斯传球，伯纳德禁区左侧18码处弧线球射入右上死角
26'再横传给马罗斯                   26'矿工第26分钟取得领先，马尔洛斯传球，伯纳德禁区左侧18码处弧线球射入右上死角
26'分给伯纳德                   26'矿工第26分钟取得领先，马尔洛斯传球，伯纳德禁区左侧18码处弧线球射入右上死角
26'伯纳德在禁区左侧急停右脚内侧打出弧线球，球绕过对方门将打进了球门右上角！                   26'矿工第26分钟取得领先，马尔洛斯传球，伯纳德禁区左侧18码处弧线球射入右上死角
27'本小组另一场比赛，那不勒斯暂时1：0领先，不过只要矿工不输球，出线的就是矿工                   26'矿工第26分钟取得领先，马尔洛斯传球，伯纳德禁区左侧18码处弧线球射入右上死角
28'镜头给到了巴西队主教练蒂特                   26'矿工第26分钟取得领先，马尔洛斯传球，伯纳德禁区左侧18码处弧线球射入右上死角
28'今天双方都有极多的巴西球员                   26'矿工第26分钟取得领先，马尔洛斯传球，伯纳德禁区左侧18码处弧线球射入右上死角
28'马罗斯右路带球，突进到禁区内，费尔南迪尼奥补防过来将球解围                   26'矿工第26分钟取得领先，马尔洛斯传球，伯纳德禁区左侧18码处弧线球射入右上死角
28'矿工气势上来了                   26'矿工第26分钟取得领先，马尔洛斯传球，伯纳德禁区左侧18码处弧线球射入右上死角
29'矿工前场断球                   26'矿工第26分钟取得领先，马尔洛斯传球，伯纳德禁区左侧18码处弧线球射入右上死角
29'泰森中路带球送禁区左侧                   26'矿工第26分钟取得领先，马尔洛斯传球，伯纳德禁区左侧18码处弧线球射入右上死角
29'伯纳德上前推射，打得太正了被埃德森封出                   26'矿工第26分钟取得领先，马尔洛斯传球，伯纳德禁区左侧18码处弧线球射入右上死角
29'射门对比，矿工已经5次射门3次射正                   26'矿工第26分钟取得领先，马尔洛斯传球，伯纳德禁区左侧18码处弧线球射入右上死角
32'护球很稳                   32'矿工第32分钟扩大比分，马尔洛斯长传反越位成功的伊斯梅利形成单刀，埃德森出击失误落空，伊斯梅利禁区左侧轻松打入空门，2-0
32'回传给奥尔德茨                   32'矿工第32分钟扩大比分，马尔洛斯长传反越位成功的伊斯梅利形成单刀，埃德森出击失误落空，伊斯梅利禁区左侧轻松打入空门，2-0
32'细心看，今天双方的首发阵容里面各有4名巴西球员                   32'矿工第32分钟扩大比分，马尔洛斯长传反越位成功的伊斯梅利形成单刀，埃德森出击失误落空，伊斯梅利禁区左侧轻松打入空门，2-0
33'矿工再进一球，伊斯梅利！                   32'矿工第32分钟扩大比分，马尔洛斯长传反越位成功的伊斯梅利形成单刀，埃德森出击失误落空，伊斯梅利禁区左侧轻松打入空门，2-0
33'明显地顿涅茨克矿工对于晋级非常渴望                   32'矿工第32分钟扩大比分，马尔洛斯长传反越位成功的伊斯梅利形成单刀，埃德森出击失误落空，伊斯梅利禁区左侧轻松打入空门，2-0
34'马罗斯反击中在后场斜长传打对方身后，伊斯梅利插上形成单刀，盘过了冲出禁区的曼城门将埃德森，推射空门球进                   32'矿工第32分钟扩大比分，马尔洛斯长传反越位成功的伊斯梅利形成单刀，埃德森出击失误落空，伊斯梅利禁区左侧轻松打入空门，2-0
34'这样矿工的出线就稳了                   32'矿工第32分钟扩大比分，马尔洛斯长传反越位成功的伊斯梅利形成单刀，埃德森出击失误落空，伊斯梅利禁区左侧轻松打入空门，2-0
35'而且本级另一场比赛，那不勒斯被费耶诺德扳成了1：1                   32'矿工第32分钟扩大比分，马尔洛斯长传反越位成功的伊斯梅利形成单刀，埃德森出击失误落空，伊斯梅利禁区左侧轻松打入空门，2-0
35'伊斯梅利也是一名巴西球员                   32'矿工第32分钟扩大比分，马尔洛斯长传反越位成功的伊斯梅利形成单刀，埃德森出击失误落空，伊斯梅利禁区左侧轻松打入空门，2-0
42'菲尔福登直传，热苏斯插上                   42'第42分钟，福登直传，热苏斯禁区左侧单刀机会被门将拦下
42'晃动，但没有晃过皮亚托夫                   42'第42分钟，福登直传，热苏斯禁区左侧单刀机会被门将拦下
42'皮亚托夫将球封出                   42'第42分钟，福登直传，热苏斯禁区左侧单刀机会被门将拦下
43'萨内右路得球交给达尼洛                   42'第42分钟，福登直传，热苏斯禁区左侧单刀机会被门将拦下
43'回传给费尔南迪尼奥                   42'第42分钟，福登直传，热苏斯禁区左侧单刀机会被门将拦下
43'直传失误了                   42'第42分钟，福登直传，热苏斯禁区左侧单刀机会被门将拦下
43'不断地短传                   42'第42分钟，福登直传，热苏斯禁区左侧单刀机会被门将拦下
43'弗雷德突进，分给伯纳德                   42'第42分钟，福登直传，热苏斯禁区左侧单刀机会被门将拦下
43'回传给斯捷潘内科                   42'第42分钟，福登直传，热苏斯禁区左侧单刀机会被门将拦下
43'直传交给泰森                   42'第42分钟，福登直传，热苏斯禁区左侧单刀机会被门将拦下
43'泰森变向后劲射，球稍稍高出横梁                   42'第42分钟，福登直传，热苏斯禁区左侧单刀机会被门将拦下
44'弗雷德断球，带球上前场，交给泰森                   42'第42分钟，福登直传，热苏斯禁区左侧单刀机会被门将拦下
45'泰森直传，费雷拉打门，太正了，埃德森将球接住                   42'第42分钟，福登直传，热苏斯禁区左侧单刀机会被门将拦下
45'曼城获得一个右路的角球                   42'第42分钟，福登直传，热苏斯禁区左侧单刀机会被门将拦下
45'战术角球                   42'第42分钟，福登直传，热苏斯禁区左侧单刀机会被门将拦下
45'萨内下底传中，球先出底线                   42'第42分钟，福登直传，热苏斯禁区左侧单刀机会被门将拦下
92'球落在热苏斯脚下                   92'曼城第92分钟挽回颜面，布特科禁区内绊倒热苏斯，阿圭罗主罚点球命中，1-2
92'晃动，被布特科绊倒                   92'曼城第92分钟挽回颜面，布特科禁区内绊倒热苏斯，阿圭罗主罚点球命中，1-2
92'点球                   92'曼城第92分钟挽回颜面，布特科禁区内绊倒热苏斯，阿圭罗主罚点球命中，1-2
92'阿圭罗主罚                   92'曼城第92分钟挽回颜面，布特科禁区内绊倒热苏斯，阿圭罗主罚点球命中，1-2
93'阿圭罗抽射球门右上角，皮亚托夫几乎没有反应，球进了！                   92'曼城第92分钟挽回颜面，布特科禁区内绊倒热苏斯，阿圭罗主罚点球命中，1-2
94'布特科掷界外球                   92'曼城第92分钟挽回颜面，布特科禁区内绊倒热苏斯，阿圭罗主罚点球命中，1-2
94'被断了                   92'曼城第92分钟挽回颜面，布特科禁区内绊倒热苏斯，阿圭罗主罚点球命中，1-2
94'曼加拉传右路                   92'曼城第92分钟挽回颜面，布特科禁区内绊倒热苏斯，阿圭罗主罚点球命中，1-2
94'全场比赛结束！                   92'曼城第92分钟挽回颜面，布特科禁区内绊倒热苏斯，阿圭罗主罚点球命中，1-2
