1'上半场比赛开始了，先由桑德兰开球                   1'曼联第1分钟连续角球施压，但鲁尼10码处头球攻门偏出
1'今天桑德兰身穿浅蓝色球衣                   1'曼联第1分钟连续角球施压，但鲁尼10码处头球攻门偏出
1'桑德兰开球后长传到前场，斯莫林头球回传给德赫亚差点失误啊！                   1'曼联第1分钟连续角球施压，但鲁尼10码处头球攻门偏出
1'对方前锋迪福也是逼得很凶！                   1'曼联第1分钟连续角球施压，但鲁尼10码处头球攻门偏出
2'曼联在中场左路控球，鲁尼拿球分给边路的阿什利杨                   1'曼联第1分钟连续角球施压，但鲁尼10码处头球攻门偏出
2'阿什利杨边路下底传中，球被后卫挡了一下，球被门将出击没收                   1'曼联第1分钟连续角球施压，但鲁尼10码处头球攻门偏出
2'桑德兰中场控球，把球控制住，节奏放额比较慢                   1'曼联第1分钟连续角球施压，但鲁尼10码处头球攻门偏出
3'桑德兰队中有多名前曼联球员                   1'曼联第1分钟连续角球施压，但鲁尼10码处头球攻门偏出
3'不知道今天桑德兰会不会在客场给曼联带来些麻烦                   1'曼联第1分钟连续角球施压，但鲁尼10码处头球攻门偏出
3'曼联在中场组织，鲁尼拿球转身过掉防守球员                   1'曼联第1分钟连续角球施压，但鲁尼10码处头球攻门偏出
3'鲁尼把球还是分给边路的阿什利杨                   1'曼联第1分钟连续角球施压，但鲁尼10码处头球攻门偏出
4'阿什利杨下底传中，球被后卫挡出底线，角球                   1'曼联第1分钟连续角球施压，但鲁尼10码处头球攻门偏出
4'迪马利亚角球传到前点，埃雷拉脚后跟一弹，球被后卫挡出，再次角球                   1'曼联第1分钟连续角球施压，但鲁尼10码处头球攻门偏出
4'迪马利亚角球还是传前点，鲁尼头球攻门，偏出！！                   1'曼联第1分钟连续角球施压，但鲁尼10码处头球攻门偏出
20'迪马利亚禁区外控球，被对方2名后卫夹击，球丢了                   20'迪马利亚前20分钟多次丢球，甚至回传失误给迪福断下，但桑德兰的快攻并未形成得分机会
20'桑德兰反击，中路迪福拿球后分到右路给队友                   20'迪马利亚前20分钟多次丢球，甚至回传失误给迪福断下，但桑德兰的快攻并未形成得分机会
21'约翰逊带球横向突破到禁区线上，试图扣过后卫，但并没有做出射门动作，球被回防后卫把球捅走                   20'迪马利亚前20分钟多次丢球，甚至回传失误给迪福断下，但桑德兰的快攻并未形成得分机会
22'斯莫林右边路试图斜传禁区，球打在后卫背上弹出了底线，角球                   20'迪马利亚前20分钟多次丢球，甚至回传失误给迪福断下，但桑德兰的快攻并未形成得分机会
