8'那不勒斯球员贝赫拉米一脚直塞球给伊瓜因,但是边裁举旗显示后者已经越位.                   8'开场8分钟，哈姆西克直传，伊瓜因禁区右侧斜射被普焦尼封出
8'射门!!!那不勒斯球员伊瓜因大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是哈姆西克.                   8'开场8分钟，哈姆西克直传，伊瓜因禁区右侧斜射被普焦尼封出
23'哈特马吉为切沃赢得一个任意球.                   23'第23分钟，海特马伊右路长传，帕洛斯基左脚近射入左下角，1比1
23'那不勒斯球员哈姆西克拼抢犯规,对手获得控球权.                   23'第23分钟，海特马伊右路长传，帕洛斯基左脚近射入左下角，1比1
24'进球啦！！！切沃球员帕洛斯基球门线跟前左脚射门,球从左下角飞进球门,球进了!助攻的是哈特马吉. 切沃 1-1 那不勒斯.                   23'第23分钟，海特马伊右路长传，帕洛斯基左脚近射入左下角，1比1
25'切沃球员帕洛斯基拼抢犯规,对手获得控球权.                   23'第23分钟，海特马伊右路长传，帕洛斯基左脚近射入左下角，1比1
25'苏尼加为那不勒斯赢得一个任意球.                   23'第23分钟，海特马伊右路长传，帕洛斯基左脚近射入左下角，1比1
26'雷纳将球处理出底线,切沃获得角球.                   23'第23分钟，海特马伊右路长传，帕洛斯基左脚近射入左下角，1比1
46'切沃球员康斯坦特拼抢犯规,对手获得控球权.                   46'仅过1分钟，帕洛斯基抓住马乔失误打门击中左门柱
46'因勒为那不勒斯赢得一个任意球.                   46'仅过1分钟，帕洛斯基抓住马乔失误打门击中左门柱
48'切沃哈特马吉受伤倒地,比赛暂停                   46'仅过1分钟，帕洛斯基抓住马乔失误打门击中左门柱
48'暂停结束,球员们重新开始比赛.                   46'仅过1分钟，帕洛斯基抓住马乔失误打门击中左门柱
49'泰罗为切沃在对方半场,赢得一个任意球.                   46'仅过1分钟，帕洛斯基抓住马乔失误打门击中左门柱
49'那不勒斯球员贝赫拉米拼抢犯规,对手获得控球权.                   46'仅过1分钟，帕洛斯基抓住马乔失误打门击中左门柱
38'那不勒斯球员伊瓜因大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是哈姆西克.                   38'第38分钟，伊瓜因断球与哈姆西克踢墙配合，禁区右侧低射偏出远门柱
39'马乔将球处理出底线,切沃获得角球.                   38'第38分钟，伊瓜因断球与哈姆西克踢墙配合，禁区右侧低射偏出远门柱
40'切沃球员萨尔多大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是拉多万诺维奇.                   38'第38分钟，伊瓜因断球与哈姆西克踢墙配合，禁区右侧低射偏出远门柱
40'进球啦！！！切沃球员帕洛斯基球门右侧小角度右脚射门,球从中路飞进球门,球进了! 切沃 2-2 那不勒斯.                   38'第38分钟，伊瓜因断球与哈姆西克踢墙配合，禁区右侧低射偏出远门柱
52'那不勒斯球员因勒大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是伊瓜因.                   52'下半时开始7分钟，因勒禁区边缘左脚射门偏出左门柱
53'切沃球员萨尔多大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是哈特马吉.                   52'下半时开始7分钟，因勒禁区边缘左脚射门偏出左门柱
54'帕普将球处理出底线,那不勒斯获得角球.                   52'下半时开始7分钟，因勒禁区边缘左脚射门偏出左门柱
55'那不勒斯球员因勒大禁区外右脚射门,被防守球员封堵.给他传球的是因西涅.                   52'下半时开始7分钟，因勒禁区边缘左脚射门偏出左门柱
64'进球啦！！！那不勒斯球员哈姆西克大禁区中央右脚射门,球从右上角飞进球门,球进了! 切沃 2-3 那不勒斯.                   64'第64分钟，伊瓜因禁区左侧传中，后卫前点铲球解围差点自摆乌龙，虽然门将普焦尼将球铲出，但哈姆西克小禁区边缘补射入网，3比2
65'那不勒斯换人,泽马伊利换下贝赫拉米                   64'第64分钟，伊瓜因禁区左侧传中，后卫前点铲球解围差点自摆乌龙，虽然门将普焦尼将球铲出，但哈姆西克小禁区边缘补射入网，3比2
66'切沃球员德拉梅拼抢犯规,对手获得控球权.                   64'第64分钟，伊瓜因禁区左侧传中，后卫前点铲球解围差点自摆乌龙，虽然门将普焦尼将球铲出，但哈姆西克小禁区边缘补射入网，3比2
66'卡列洪为那不勒斯在右路,赢得一个任意球.                   64'第64分钟，伊瓜因禁区左侧传中，后卫前点铲球解围差点自摆乌龙，虽然门将普焦尼将球铲出，但哈姆西克小禁区边缘补射入网，3比2
70'射门!!!那不勒斯球员伊瓜因大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是因西涅.                   70'第70分钟，因西涅左肋拿球巧妙挑传，伊瓜因在门前9米处左脚凌空推射被普焦尼一扑后补射入网，4比2
70'进球啦！！！那不勒斯球员伊瓜因球门线跟前右脚射门,球从中路飞进球门,球进了! 切沃 2-4 那不勒斯.                   70'第70分钟，因西涅左肋拿球巧妙挑传，伊瓜因在门前9米处左脚凌空推射被普焦尼一扑后补射入网，4比2
72'B-塞萨尔为切沃赢得一个任意球.                   70'第70分钟，因西涅左肋拿球巧妙挑传，伊瓜因在门前9米处左脚凌空推射被普焦尼一扑后补射入网，4比2
72'那不勒斯球员伊瓜因拼抢犯规,对手获得控球权.                   70'第70分钟，因西涅左肋拿球巧妙挑传，伊瓜因在门前9米处左脚凌空推射被普焦尼一扑后补射入网，4比2
73'哈特马吉为切沃赢得一个任意球.                   70'第70分钟，因西涅左肋拿球巧妙挑传，伊瓜因在门前9米处左脚凌空推射被普焦尼一扑后补射入网，4比2
73'那不勒斯球员哈姆西克拼抢犯规,对手获得控球权.                   70'第70分钟，因西涅左肋拿球巧妙挑传，伊瓜因在门前9米处左脚凌空推射被普焦尼一扑后补射入网，4比2
73'布里托斯将球处理出底线,切沃获得角球.                   70'第70分钟，因西涅左肋拿球巧妙挑传，伊瓜因在门前9米处左脚凌空推射被普焦尼一扑后补射入网，4比2
