4'西布罗姆维奇球员布伦特球门左侧小角度尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是J-莫里森.                   4'第4分钟，凯文-诺兰传球，乔-科尔禁区右侧12码处射入近角
4'进球啦！！！西汉姆联球员乔-科尔大禁区右侧右脚射门,球从右下角飞进球门,球进了!助攻的是诺兰. 西汉姆联 1-0 西布罗姆维奇.                   4'第4分钟，凯文-诺兰传球，乔-科尔禁区右侧12码处射入近角
48'贾维斯为西汉姆联在左路,赢得一个任意球.                   48'西汉姆3分钟连入2球也反超比分，第65分钟，诺兰传球，马伊加右路禁区边缘外反弹球射入远角，这是他近13个月以来的首粒联赛入球
48'西布罗姆维奇球员穆隆布拼抢犯规,对手获得控球权.                   48'西汉姆3分钟连入2球也反超比分，第65分钟，诺兰传球，马伊加右路禁区边缘外反弹球射入远角，这是他近13个月以来的首粒联赛入球
48'黄牌！西布罗姆维奇球员穆隆布因为恶意犯规,被主裁判出示黄牌.                   48'西汉姆3分钟连入2球也反超比分，第65分钟，诺兰传球，马伊加右路禁区边缘外反弹球射入远角，这是他近13个月以来的首粒联赛入球
49'西汉姆联球员诺布尔大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   48'西汉姆3分钟连入2球也反超比分，第65分钟，诺兰传球，马伊加右路禁区边缘外反弹球射入远角，这是他近13个月以来的首粒联赛入球
51'里奇维尔将球处理出底线,西汉姆联获得角球.                   48'西汉姆3分钟连入2球也反超比分，第65分钟，诺兰传球，马伊加右路禁区边缘外反弹球射入远角，这是他近13个月以来的首粒联赛入球
51'射门!!!西汉姆联球员拉特大禁区外左脚射门,被对方守门员横身扑出.                   48'西汉姆3分钟连入2球也反超比分，第65分钟，诺兰传球，马伊加右路禁区边缘外反弹球射入远角，这是他近13个月以来的首粒联赛入球
51'西汉姆联球员诺布尔大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是梅加.                   48'西汉姆3分钟连入2球也反超比分，第65分钟，诺兰传球，马伊加右路禁区边缘外反弹球射入远角，这是他近13个月以来的首粒联赛入球
69'进球啦！！！西布罗姆维奇球员贝拉赫诺大禁区左侧左脚射门,球从左下角飞进球门,球进了!助攻的是布伦特. 西汉姆联 3-3 西布罗姆维奇.                   69'西布朗第69分钟扳平比分，布伦特传球，20岁小将贝拉希诺禁区左侧10码处射中远角立柱内侧入网，3-3
70'乔治-麦卡锡为西汉姆联赢得一个任意球.                   69'西布朗第69分钟扳平比分，布伦特传球，20岁小将贝拉希诺禁区左侧10码处射中远角立柱内侧入网，3-3
70'西布罗姆维奇球员贝拉赫诺拼抢犯规,对手获得控球权.                   69'西布朗第69分钟扳平比分，布伦特传球，20岁小将贝拉希诺禁区左侧10码处射中远角立柱内侧入网，3-3
70'西汉姆联球员梅加拼抢犯规,对手获得控球权.                   69'西布朗第69分钟扳平比分，布伦特传球，20岁小将贝拉希诺禁区左侧10码处射中远角立柱内侧入网，3-3
70'穆隆布为西布罗姆维奇赢得一个任意球.                   69'西布朗第69分钟扳平比分，布伦特传球，20岁小将贝拉希诺禁区左侧10码处射中远角立柱内侧入网，3-3
71'西汉姆联球员迪亚姆拼抢犯规,对手获得控球权.                   69'西布朗第69分钟扳平比分，布伦特传球，20岁小将贝拉希诺禁区左侧10码处射中远角立柱内侧入网，3-3
71'贝拉赫诺为西布罗姆维奇在对方半场,赢得一个任意球.                   69'西布朗第69分钟扳平比分，布伦特传球，20岁小将贝拉希诺禁区左侧10码处射中远角立柱内侧入网，3-3
72'西布罗姆维奇球员J-莫里森大禁区外右脚射门,被防守球员封堵.                   69'西布朗第69分钟扳平比分，布伦特传球，20岁小将贝拉希诺禁区左侧10码处射中远角立柱内侧入网，3-3
