3'上海上港球员武磊一脚直塞球给李运秋,但是边裁举旗显示后者已经越位.                   3'第3分钟，武磊右路直传，李运秋从外线跟进，不过边裁示意越位
3'江苏舜天球员李炽拼抢犯规,对手获得控球权.                   3'第3分钟，武磊右路直传，李运秋从外线跟进，不过边裁示意越位
3'阿多为上海上港赢得一个任意球.                   3'第3分钟，武磊右路直传，李运秋从外线跟进，不过边裁示意越位
6'江苏舜天球员刘建业拼抢犯规,对手获得控球权.                   3'第3分钟，武磊右路直传，李运秋从外线跟进，不过边裁示意越位
6'武磊为上海上港在右路,赢得一个任意球.                   3'第3分钟，武磊右路直传，李运秋从外线跟进，不过边裁示意越位
19'埃雷尔森将球处理出底线,上海上港获得角球.                   19'第19分钟，武磊中场接应队友直传，不停顿直接分到右边路，李运秋跟上传中被埃雷尔森挡出底线
20'上海上港球员王燊超大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.                   19'第19分钟，武磊中场接应队友直传，不停顿直接分到右边路，李运秋跟上传中被埃雷尔森挡出底线
21'江苏舜天球员周云拼抢犯规,对手获得控球权.                   19'第19分钟，武磊中场接应队友直传，不停顿直接分到右边路，李运秋跟上传中被埃雷尔森挡出底线
21'傅欢为上海上港赢得一个任意球.                   19'第19分钟，武磊中场接应队友直传，不停顿直接分到右边路，李运秋跟上传中被埃雷尔森挡出底线
25'江苏舜天球员李炽拼抢犯规,对手获得控球权.                   22'第22分钟，李运秋右边路突破下底，低平球横传被埃雷尔森解围
25'朱峥嵘为上海上港赢得一个任意球.                   22'第22分钟，李运秋右边路突破下底，低平球横传被埃雷尔森解围
28'射门!!!江苏舜天球员陆博飞大禁区中央头球,被对方守门员横身扑出.给他传球的是吉翔.                   28'第28分钟，吉翔右路高质量传中，陆博飞禁区内甩头攻门，颜骏凌侧身一扑，皮球击中门柱弹出
28'江苏舜天球员刘建业大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是李炽.                   28'第28分钟，吉翔右路高质量传中，陆博飞禁区内甩头攻门，颜骏凌侧身一扑，皮球击中门柱弹出
