5'国际米兰球员坎赛罗大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   5'开场5分钟，坎塞洛在门前28米处主罚任意球偏出左门柱
7'拉多万诺维奇将球处理出底线,国际米兰获得角球.                   5'开场5分钟，坎塞洛在门前28米处主罚任意球偏出左门柱
8'国际米兰球员布罗佐维奇大禁区外右脚射门,被防守球员封堵.                   5'开场5分钟，坎塞洛在门前28米处主罚任意球偏出左门柱
8'国际米兰球员布罗佐维奇一脚直塞球给伊卡尔迪,但是边裁举旗显示后者已经越位.                   5'开场5分钟，坎塞洛在门前28米处主罚任意球偏出左门柱
50'射门!!!国际米兰球员布罗佐维奇左侧远离球门处小角度右脚射门,被对方守门员横身扑出.                   50'国米第50分钟取得领先
50'索伦蒂诺将球处理出底线,国际米兰获得角球.                   50'国米第50分钟取得领先
50'射门!!!国际米兰球员布罗佐维奇大禁区外右脚射门,被对方守门员横身扑出.给他传球的是佩里西奇.                   50'国米第50分钟取得领先
50'进球啦！！！国际米兰球员伊卡尔迪大禁区中央右脚射门,球从中路飞进球门,球进了!助攻的是德安布罗西奥. 切沃 0-1 国际米兰.                   50'国米第50分钟取得领先
52'国际米兰受伤倒地,比赛暂停                   50'国米第50分钟取得领先
52'暂停结束,球员们重新开始比赛.                   50'国米第50分钟取得领先
52'(contentious referee decisions)Video Review: Goal. Referee decision on field cancelled.                   50'国米第50分钟取得领先
63'切沃球员卡斯特罗一脚直塞球给英格里斯,但是边裁举旗显示后者已经越位.                   62'国米第62分钟扩大比分
64'切沃球员贾凯里尼大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是Manuel Pucciarelli.                   62'国米第62分钟扩大比分
90'进球啦！！！切沃球员斯腾平斯基大禁区中央右脚射门,球从左下角飞进球门,球进了! 切沃 1-2 国际米兰.                   90'切沃第90分钟追回一分，贝西诺后场丢球，比尔萨直塞禁区右侧，斯捷平斯基在门前10米处转身扫射入远角，1比2
90'+2'切沃球员里戈尼一脚直塞球给英格里斯,但是边裁举旗显示后者已经越位.                   90'切沃第90分钟追回一分，贝西诺后场丢球，比尔萨直塞禁区右侧，斯捷平斯基在门前10米处转身扫射入远角，1比2
90'+5'切沃球员卡斯特罗大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是比尔萨.                   90'切沃第90分钟追回一分，贝西诺后场丢球，比尔萨直塞禁区右侧，斯捷平斯基在门前10米处转身扫射入远角，1比2
90'+5'切沃球员托莫维奇小禁区左侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是卡斯特罗.                   90'切沃第90分钟追回一分，贝西诺后场丢球，比尔萨直塞禁区右侧，斯捷平斯基在门前10米处转身扫射入远角，1比2
90'+6'下半场结束,切沃 1-2 国际米兰                   90'切沃第90分钟追回一分，贝西诺后场丢球，比尔萨直塞禁区右侧，斯捷平斯基在门前10米处转身扫射入远角，1比2
