1'利物浦球员库蒂尼奥大禁区中央右脚射门,被防守球员封堵.给他传球的是亨德森.
1'哈里曼将球处理出底线,利物浦获得角球.
2'利物浦球员库蒂尼奥球门线跟前头球,被防守球员封堵.给他传球的是唐宁.
2'德里将球处理出底线,利物浦获得角球.
2'德里将球处理出底线,利物浦获得角球.
3'皇家巡游者球员汤森德大禁区外左脚射门,被防守球员封堵.给他传球的是萨莫拉.
6'皇家巡游者球员朴智星大禁区外右脚射门,被防守球员封堵.给他传球的是汤森德.
8'朴智星为皇家巡游者赢得一个任意球.
8'利物浦球员亨德森拼抢犯规,对手获得控球权.
8'黄牌！利物浦球员亨德森因为恶意犯规,被主裁判出示黄牌.
12'皇家巡游者球员汤森德大禁区外左脚射门,被防守球员封堵.给他传球的是雷米.
14'希尔将球处理出底线,利物浦获得角球.
14'格林将球处理出底线,利物浦获得角球.
14'利物浦球员库蒂尼奥大禁区中央右脚射门,被防守球员封堵.
15'利物浦球员库蒂尼奥一脚直塞球给亨德森,但是边裁举旗显示后者已经越位.
16'A-特劳雷将球处理出底线,利物浦获得角球.
17'皇家巡游者球员姆比亚大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是汤森德.
18'利物浦球员库蒂尼奥大禁区外右脚射门,被防守球员封堵.给他传球的是Jordon Ibe.
18'德里将球处理出底线,利物浦获得角球.
18'利物浦球员格伦-约翰逊大禁区中央左脚射门,被防守球员封堵.给他传球的是唐宁.
21'利物浦球员唐宁大禁区外左脚射门,被防守球员封堵.给他传球的是卢卡斯.
23'进球啦！！！利物浦球员库蒂尼奥大禁区外右脚射门,球从左下角飞进球门,球进了!助攻的是Jordon Ibe. 利物浦 1-0 皇家巡游者.
27'哈里曼将球处理出底线,利物浦获得角球.
27'利物浦球员卡拉格手球犯规,对手获得球权.
28'哈里曼为皇家巡游者赢得一个任意球.
28'利物浦球员库蒂尼奥拼抢犯规,对手获得控球权.
28'皇家巡游者雷米受伤倒地,比赛暂停
30'暂停结束,球员们重新开始比赛.
31'皇家巡游者球员希尔拼抢犯规,对手获得控球权.
31'斯图里奇为利物浦在对方半场,赢得一个任意球.
32'黄牌！皇家巡游者球员希尔因为恶意犯规,被主裁判出示黄牌.
33'利物浦球员亨德森大禁区外右脚射门,被防守球员封堵.
34'皇家巡游者球员汤森德拼抢犯规,对手获得控球权.
34'格伦-约翰逊为利物浦在右路,赢得一个任意球.
34'利物浦球员卡拉格大禁区中央右脚射门,被防守球员封堵.给他传球的是唐宁.
35'皇家巡游者球员雷米大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是萨莫拉.
35'利物浦球员格伦-约翰逊大禁区外尝试左脚射门,可惜皮球高出球门.给他传球的是斯图里奇.
36'利物浦球员亨德森大禁区外右脚射门,被防守球员封堵.给他传球的是斯图里奇.
39'皇家巡游者球员汤森德大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是姆比亚.
40'萨莫拉为皇家巡游者在对方半场,赢得一个任意球.
40'利物浦球员卡拉格拼抢犯规,对手获得控球权.
43'利物浦球员何塞-恩里克大禁区中央尝试右脚射门,可惜皮球高出右上角球门.给他传球的是库蒂尼奥.
43'姆比亚为皇家巡游者在右路,赢得一个任意球.
43'利物浦球员Jordon Ibe拼抢犯规,对手获得控球权.
44'皇家巡游者球员姆比亚大禁区中央尝试头球,可惜皮球高出球门.
45'利物浦球员斯图里奇大禁区外尝试左脚射门,可惜皮球高出球门.给他传球的是亨德森.
45'+1'射门!!!利物浦球员库蒂尼奥大禁区外右脚射门,被对方守门员横身扑出.
45'+2'上半场结束,利物浦 1-0 皇家巡游者,稍事休息,我们一会来看看下半场两队的表现.
45'皇家巡游者换人,格拉内罗换下姆比亚
48'射门!!!利物浦球员何塞-恩里克大禁区外左脚射门,被对方守门员横身扑出.给他传球的是库蒂尼奥.
48'德里将球处理出底线,利物浦获得角球.
49'利物浦球员Jordon Ibe大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是亨德森.
51'射门!!!利物浦球员格伦-约翰逊大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是唐宁.
51'格林将球处理出底线,利物浦获得角球.
52'奥努哈将球处理出底线,利物浦获得角球.
