28'罗马球员Bruno Peres大禁区外右脚射门,命中门柱左侧立柱.                   28'开场28分钟，布鲁诺-佩雷斯左脚任意球击中左门柱
30'拉多万诺维奇为切沃在左路,赢得一个任意球.                   28'开场28分钟，布鲁诺-佩雷斯左脚任意球击中左门柱
30'罗马球员斯特罗特曼拼抢犯规,对手获得控球权.                   28'开场28分钟，布鲁诺-佩雷斯左脚任意球击中左门柱
30'切沃球员比尔萨拼抢犯规,对手获得控球权.                   28'开场28分钟，布鲁诺-佩雷斯左脚任意球击中左门柱
30'纳因戈兰为罗马赢得一个任意球.                   28'开场28分钟，布鲁诺-佩雷斯左脚任意球击中左门柱
31'英格里斯为切沃赢得一个任意球.                   28'开场28分钟，布鲁诺-佩雷斯左脚任意球击中左门柱
31'罗马球员维尔马伦拼抢犯规,对手获得控球权.                   28'开场28分钟，布鲁诺-佩雷斯左脚任意球击中左门柱
31'切沃球员比尔萨拼抢犯规,对手获得控球权.                   28'开场28分钟，布鲁诺-佩雷斯左脚任意球击中左门柱
31'沙拉维为罗马在左路,赢得一个任意球.                   28'开场28分钟，布鲁诺-佩雷斯左脚任意球击中左门柱
52'切沃球员F-科斯塔拼抢犯规,对手获得控球权.                   52'第52分钟，沙拉维突入禁区左侧传中被挡，球折射到哲科脚下，哲科在门前3米处左脚推射入网，罗马2比1反超
52'Bruno Peres为罗马赢得一个任意球.                   52'第52分钟，沙拉维突入禁区左侧传中被挡，球折射到哲科脚下，哲科在门前3米处左脚推射入网，罗马2比1反超
52'进球啦！！！罗马球员哲科球门线跟前左脚射门,球从右下角飞进球门,球进了! 罗马 2-1 切沃.                   52'第52分钟，沙拉维突入禁区左侧传中被挡，球折射到哲科脚下，哲科在门前3米处左脚推射入网，罗马2比1反超
