11'尤文图斯球员马尔基西奥大禁区外尝试左脚射门,可惜皮球高出球门.给他传球的是皮尔洛.                   11'第11分钟，马尔基西奥在门前30米处左脚大力抽射掠过横梁
12'锡耶纳球员安杰洛拼抢犯规,对手获得控球权.                   11'第11分钟，马尔基西奥在门前30米处左脚大力抽射掠过横梁
12'博切列为尤文图斯赢得一个任意球.                   11'第11分钟，马尔基西奥在门前30米处左脚大力抽射掠过横梁
13'锡耶纳球员菲利佩拼抢犯规,对手获得控球权.                   11'第11分钟，马尔基西奥在门前30米处左脚大力抽射掠过横梁
13'乔文科为尤文图斯在对方半场,赢得一个任意球.                   11'第11分钟，马尔基西奥在门前30米处左脚大力抽射掠过横梁
13'黄牌！锡耶纳球员菲利佩因为恶意犯规,被主裁判出示黄牌.                   11'第11分钟，马尔基西奥在门前30米处左脚大力抽射掠过横梁
14'进球啦！！！尤文图斯球员皮尔洛右脚射门,球从右下角飞进球门,球进了! 锡耶纳 0-1 尤文图斯.                   11'第11分钟，马尔基西奥在门前30米处左脚大力抽射掠过横梁
22'罗西纳为锡耶纳在右路,赢得一个任意球.                   22'第22分钟，基耶利尼手臂击倒罗西纳被判犯规，他发泄不满吃到黄牌
22'尤文图斯球员基耶利尼拼抢犯规,对手获得控球权.                   22'第22分钟，基耶利尼手臂击倒罗西纳被判犯规，他发泄不满吃到黄牌
22'黄牌！尤文图斯球员基耶利尼因为恶意犯规,被主裁判出示黄牌.                   22'第22分钟，基耶利尼手臂击倒罗西纳被判犯规，他发泄不满吃到黄牌
23'锡耶纳球员卡莱奥大禁区中央尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是泽-洛维.                   22'第22分钟，基耶利尼手臂击倒罗西纳被判犯规，他发泄不满吃到黄牌
25'维尔加索拉为锡耶纳赢得一个任意球.                   22'第22分钟，基耶利尼手臂击倒罗西纳被判犯规，他发泄不满吃到黄牌
25'尤文图斯球员乔文科拼抢犯规,对手获得控球权.                   22'第22分钟，基耶利尼手臂击倒罗西纳被判犯规，他发泄不满吃到黄牌
25'锡耶纳球员拼抢犯规,对手获得控球权.                   22'第22分钟，基耶利尼手臂击倒罗西纳被判犯规，他发泄不满吃到黄牌
25'为尤文图斯在对方半场,赢得一个任意球.                   22'第22分钟，基耶利尼手臂击倒罗西纳被判犯规，他发泄不满吃到黄牌
26'锡耶纳球员泽-洛维被主裁判出示了一张黄牌.                   26'第26分钟，泽-爱德华多遇到拦截倒地，他向裁判抗议却吃到黄牌
27'罗西纳为锡耶纳赢得一个任意球.                   26'第26分钟，泽-爱德华多遇到拦截倒地，他向裁判抗议却吃到黄牌
27'尤文图斯球员博切列拼抢犯规,对手获得控球权.                   26'第26分钟，泽-爱德华多遇到拦截倒地，他向裁判抗议却吃到黄牌
28'泽-洛维为锡耶纳赢得一个任意球.                   26'第26分钟，泽-爱德华多遇到拦截倒地，他向裁判抗议却吃到黄牌
28'尤文图斯球员巴尔扎利拼抢犯规,对手获得控球权.                   26'第26分钟，泽-爱德华多遇到拦截倒地，他向裁判抗议却吃到黄牌
28'锡耶纳球员罗德里格斯拼抢犯规,对手获得控球权.                   26'第26分钟，泽-爱德华多遇到拦截倒地，他向裁判抗议却吃到黄牌
28'比达尔为尤文图斯在对方半场,赢得一个任意球.                   26'第26分钟，泽-爱德华多遇到拦截倒地，他向裁判抗议却吃到黄牌
29'菲利佩为锡耶纳在对方半场,赢得一个任意球.                   26'第26分钟，泽-爱德华多遇到拦截倒地，他向裁判抗议却吃到黄牌
29'尤文图斯球员基耶利尼拼抢犯规,对手获得控球权.                   26'第26分钟，泽-爱德华多遇到拦截倒地，他向裁判抗议却吃到黄牌
36'尤文图斯球员乔文科大禁区左侧尝试左脚射门,可惜皮球高出球门.给他传球的是皮尔洛.                   36'第36分钟，皮尔洛挑传禁区左侧，乔文科胸部停球距门10米处左脚半凌空斜射高出
37'射门!!!尤文图斯球员武齐尼奇大禁区外右脚射门,被对方守门员横身扑出.给他传球的是比达尔.                   36'第36分钟，皮尔洛挑传禁区左侧，乔文科胸部停球距门10米处左脚半凌空斜射高出
38'锡耶纳球员帕齐拼抢犯规,对手获得控球权.                   36'第36分钟，皮尔洛挑传禁区左侧，乔文科胸部停球距门10米处左脚半凌空斜射高出
38'武齐尼奇为尤文图斯在对方半场,赢得一个任意球.                   36'第36分钟，皮尔洛挑传禁区左侧，乔文科胸部停球距门10米处左脚半凌空斜射高出
38'锡耶纳球员内托拼抢犯规,对手获得控球权.                   36'第36分钟，皮尔洛挑传禁区左侧，乔文科胸部停球距门10米处左脚半凌空斜射高出
38'马罗内为尤文图斯在对方半场,赢得一个任意球.                   36'第36分钟，皮尔洛挑传禁区左侧，乔文科胸部停球距门10米处左脚半凌空斜射高出
39'尤文图斯球员皮尔洛大禁区外右脚射门,命中门柱横梁.                   36'第36分钟，皮尔洛挑传禁区左侧，乔文科胸部停球距门10米处左脚半凌空斜射高出
39'维尔加索拉为锡耶纳赢得一个任意球.                   36'第36分钟，皮尔洛挑传禁区左侧，乔文科胸部停球距门10米处左脚半凌空斜射高出
39'尤文图斯球员比达尔拼抢犯规,对手获得控球权.                   36'第36分钟，皮尔洛挑传禁区左侧，乔文科胸部停球距门10米处左脚半凌空斜射高出
39'尤文图斯球员皮尔洛大禁区外右脚射门,命中门柱横梁.                   39'皮尔洛第39分钟险些梅开二度，内托放倒马罗内，皮尔洛在门前28米处弧线任意球越过人墙击中横梁
39'维尔加索拉为锡耶纳赢得一个任意球.                   39'皮尔洛第39分钟险些梅开二度，内托放倒马罗内，皮尔洛在门前28米处弧线任意球越过人墙击中横梁
39'尤文图斯球员比达尔拼抢犯规,对手获得控球权.                   39'皮尔洛第39分钟险些梅开二度，内托放倒马罗内，皮尔洛在门前28米处弧线任意球越过人墙击中横梁
40'罗西纳为锡耶纳在左路,赢得一个任意球.                   39'皮尔洛第39分钟险些梅开二度，内托放倒马罗内，皮尔洛在门前28米处弧线任意球越过人墙击中横梁
40'尤文图斯球员比达尔拼抢犯规,对手获得控球权.                   39'皮尔洛第39分钟险些梅开二度，内托放倒马罗内，皮尔洛在门前28米处弧线任意球越过人墙击中横梁
44'射门!!!尤文图斯球员马尔基西奥大禁区外右脚射门,被对方守门员横身扑出.给他传球的是皮尔洛.                   43'第43分钟，科斯米在场边喋喋不休，被马佐莱尼逐出技术区，科斯米仍然怒气冲冲，在老将罗西纳安慰劝说下才退场，他和孔蒂坐到同一包厢观战
44'佩格罗将球处理出底线,尤文图斯获得角球.                   43'第43分钟，科斯米在场边喋喋不休，被马佐莱尼逐出技术区，科斯米仍然怒气冲冲，在老将罗西纳安慰劝说下才退场，他和孔蒂坐到同一包厢观战
45'锡耶纳球员卡莱奥拼抢犯规,对手获得控球权.                   43'第43分钟，科斯米在场边喋喋不休，被马佐莱尼逐出技术区，科斯米仍然怒气冲冲，在老将罗西纳安慰劝说下才退场，他和孔蒂坐到同一包厢观战
45'基耶利尼为尤文图斯赢得一个任意球.                   43'第43分钟，科斯米在场边喋喋不休，被马佐莱尼逐出技术区，科斯米仍然怒气冲冲，在老将罗西纳安慰劝说下才退场，他和孔蒂坐到同一包厢观战
45'+1'锡耶纳球员卡莱奥拼抢犯规,对手获得控球权.                   43'第43分钟，科斯米在场边喋喋不休，被马佐莱尼逐出技术区，科斯米仍然怒气冲冲，在老将罗西纳安慰劝说下才退场，他和孔蒂坐到同一包厢观战
45'+1'基耶利尼为尤文图斯赢得一个任意球.                   43'第43分钟，科斯米在场边喋喋不休，被马佐莱尼逐出技术区，科斯米仍然怒气冲冲，在老将罗西纳安慰劝说下才退场，他和孔蒂坐到同一包厢观战
45'+1'罗西纳为锡耶纳赢得一个任意球.                   43'第43分钟，科斯米在场边喋喋不休，被马佐莱尼逐出技术区，科斯米仍然怒气冲冲，在老将罗西纳安慰劝说下才退场，他和孔蒂坐到同一包厢观战
45'+1'尤文图斯球员博切列拼抢犯规,对手获得控球权.                   43'第43分钟，科斯米在场边喋喋不休，被马佐莱尼逐出技术区，科斯米仍然怒气冲冲，在老将罗西纳安慰劝说下才退场，他和孔蒂坐到同一包厢观战
45'+1'黄牌！尤文图斯球员博切列因为恶意犯规,被主裁判出示黄牌.                   43'第43分钟，科斯米在场边喋喋不休，被马佐莱尼逐出技术区，科斯米仍然怒气冲冲，在老将罗西纳安慰劝说下才退场，他和孔蒂坐到同一包厢观战
45'+1'锡耶纳球员罗西纳被主裁判出示了一张黄牌.                   43'第43分钟，科斯米在场边喋喋不休，被马佐莱尼逐出技术区，科斯米仍然怒气冲冲，在老将罗西纳安慰劝说下才退场，他和孔蒂坐到同一包厢观战
45'+2'进球啦！！！锡耶纳球员卡莱奥大禁区中央头球,球从左下角飞进球门,球进了!助攻的是安杰洛. 锡耶纳 1-1 尤文图斯.                   43'第43分钟，科斯米在场边喋喋不休，被马佐莱尼逐出技术区，科斯米仍然怒气冲冲，在老将罗西纳安慰劝说下才退场，他和孔蒂坐到同一包厢观战
45'+3'上半场结束,锡耶纳 1-1 尤文图斯,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟，科斯米在场边喋喋不休，被马佐莱尼逐出技术区，科斯米仍然怒气冲冲，在老将罗西纳安慰劝说下才退场，他和孔蒂坐到同一包厢观战
45'尤文图斯换人,阿萨莫阿换下博切列                   43'第43分钟，科斯米在场边喋喋不休，被马佐莱尼逐出技术区，科斯米仍然怒气冲冲，在老将罗西纳安慰劝说下才退场，他和孔蒂坐到同一包厢观战
46'锡耶纳球员泽-洛维拼抢犯规,对手获得控球权.                   43'第43分钟，科斯米在场边喋喋不休，被马佐莱尼逐出技术区，科斯米仍然怒气冲冲，在老将罗西纳安慰劝说下才退场，他和孔蒂坐到同一包厢观战
46'皮尔洛为尤文图斯赢得一个任意球.                   43'第43分钟，科斯米在场边喋喋不休，被马佐莱尼逐出技术区，科斯米仍然怒气冲冲，在老将罗西纳安慰劝说下才退场，他和孔蒂坐到同一包厢观战
