45'界外球发出来，李海龙将球破坏出边线                   45'第45分钟，黄博文弧线球传中，高拉特甩头攻门顶入近角
45'李学鹏发界外球到禁区内，被破坏出来！                   45'第45分钟，黄博文弧线球传中，高拉特甩头攻门顶入近角
45'郑龙左路强突下底，李海龙将球破坏出底线                   45'第45分钟，黄博文弧线球传中，高拉特甩头攻门顶入近角
45'广州恒大队进球啦！高拉特！1-0                   45'第45分钟，黄博文弧线球传中，高拉特甩头攻门顶入近角
46'角球发到禁区内前点！高拉特前插打门！皮球应声入网！                   45'第45分钟，黄博文弧线球传中，高拉特甩头攻门顶入近角
46'王大雷挡了一下，还是进入网内                   45'第45分钟，黄博文弧线球传中，高拉特甩头攻门顶入近角
47'上半场补时2分钟                   45'第45分钟，黄博文弧线球传中，高拉特甩头攻门顶入近角
47'鲁能泰山队攻到胶场，被断                   45'第45分钟，黄博文弧线球传中，高拉特甩头攻门顶入近角
47'广州恒大队断球右路反击，张琳芃没能控好，球出边线                   45'第45分钟，黄博文弧线球传中，高拉特甩头攻门顶入近角
47'塔尔德利中场得球，对方抢球犯规！                   45'第45分钟，黄博文弧线球传中，高拉特甩头攻门顶入近角
47'任意球发出来，塔尔德利带球进攻，横传队友                   45'第45分钟，黄博文弧线球传中，高拉特甩头攻门顶入近角
46'下半场比赛开始                   45'第45分钟，黄博文弧线球传中，高拉特甩头攻门顶入近角
46'广州恒大队攻过中场，对方犯规                   45'第45分钟，黄博文弧线球传中，高拉特甩头攻门顶入近角
46'任意球发出来，郑龙挑传禁区，戴琳解围出来                   45'第45分钟，黄博文弧线球传中，高拉特甩头攻门顶入近角
46'王大雷大脚开球过中场，广州恒大队把球控下来                   45'第45分钟，黄博文弧线球传中，高拉特甩头攻门顶入近角
47'后场鲁能泰山队断球，右路直传，交给佩莱                   45'第45分钟，黄博文弧线球传中，高拉特甩头攻门顶入近角
47'佩莱带球突破，被黄博文挡出边线                   45'第45分钟，黄博文弧线球传中，高拉特甩头攻门顶入近角
48'李海龙右路突破丢球，反抢出底线                   45'第45分钟，黄博文弧线球传中，高拉特甩头攻门顶入近角
77'李学鹏抽筋倒在地上                   77'第77分钟，高拉特斜传造成张弛踢疵，替补登场的邹正停球后垫射破门
77'张琳芃示意要换人！看来李学鹏无法坚持                   77'第77分钟，高拉特斜传造成张弛踢疵，替补登场的邹正停球后垫射破门
77'刘健上场，先换下黄博文                   77'第77分钟，高拉特斜传造成张弛踢疵，替补登场的邹正停球后垫射破门
78'邹正上场，换下抽筋的李学鹏                   77'第77分钟，高拉特斜传造成张弛踢疵，替补登场的邹正停球后垫射破门
78'广州恒大队的角球机会                   77'第77分钟，高拉特斜传造成张弛踢疵，替补登场的邹正停球后垫射破门
